@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:40:59"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB1"
@ Q1 %le 0.299853389971
@ Q2 %le 0.331421650825
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds.liny"
*            NAME                 S             COUNT                 Y              STDY              YMDL            MUYMDL
$              %s               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1   -0.331148197097 1.48323969742e-08               0.0      0.1162609817
   "BPMYB.4L2.B1"            48.858                 1   -0.779588247946 1.48323969742e-08               0.0      0.1696003151
   "BPMWI.4L2.B1"           73.3255                 1    -1.52717453555 1.48323969742e-08               0.0      0.2045427787
   "BPMSX.4L2.B1"          123.4825                 1    -4.94765796692 1.48323969742e-08               0.0      0.2859021958
    "BPMS.2L2.B1"           161.394                 1    -8.18026629141 1.48323969742e-08               0.0      0.3294328583
   "BPMSW.1L2.B1"           171.328                 1    -4.00181088968 1.48323969742e-08               0.0      0.3473795232
   "BPMSW.1R2.B1"           214.518                 1     6.08924305199 1.48323969742e-08               0.0      0.7093334983
    "BPMS.2R2.B1"           224.452                 1     5.90934726617 1.48323969742e-08               0.0      0.7327587614
   "BPMSX.4R2.B1"          262.3635                 1      7.3040690121 1.48323969742e-08               0.0      0.7831637028
   "BPMWB.4R2.B1"          312.5965                 1     2.38632995597 1.48323969742e-08               0.0      0.8523756946
   "BPMYB.4R2.B1"           336.988                 1    0.518990622834 1.48323969742e-08               0.0      0.9035045484
    "BPMR.5R2.B1"           366.522                 1  -0.0164181909576 1.48323969742e-08               0.0      0.9382608249
     "BPM.6R2.B1"           439.818                 1   -0.238286236164 1.48323969742e-08               0.0       1.202622917
   "BPM_A.7R2.B1"           452.693                 1   -0.068289082104 1.48323969742e-08               0.0       1.233940504
     "BPM.8R2.B1"       494.1300106                 1      0.4052805698 1.48323969742e-08               0.0       1.328247327
     "BPM.9R2.B1"       533.1950212                 1    0.118002611395 1.48323969742e-08               0.0       1.433617497
    "BPM.10R2.B1"       573.6580318                 1  -0.0759632896782 1.48323969742e-08               0.0       1.545209058
    "BPM.11R2.B1"       625.4967424                 1   -0.114739940664 1.48323969742e-08               0.0       1.717704706
    "BPM.14R2.B1"       787.1172901                 1  -0.0630116194144 1.48323969742e-08               0.0       2.092608637
    "BPM.15R2.B1"        840.565806                 1  -0.0734119091909 1.48323969742e-08               0.0       2.224249713
    "BPM.16R2.B1"       894.0143219                 1    0.303345691753 1.48323969742e-08               0.0       2.331482339
    "BPM.17R2.B1"       947.4628378                 1  -0.0613099985873 1.48323969742e-08               0.0       2.459722589
    "BPM.18R2.B1"       1000.911354                 1    0.173541588862 1.48323969742e-08               0.0       2.571138337
    "BPM.19R2.B1"        1054.35987                 1  -0.0467905964156 1.48323969742e-08               0.0       2.703425811
    "BPM.20R2.B1"       1107.808386                 1    0.218221626823 1.48323969742e-08               0.0       2.811106284
    "BPM.21R2.B1"       1161.256901                 1   -0.353607356734 1.48323969742e-08               0.0       2.938797872
    "BPM.22R2.B1"       1214.705417                 1    0.345910274917 1.48323969742e-08               0.0       3.049673702
    "BPM.23R2.B1"       1268.153933                 1   0.0403059809361 1.48323969742e-08               0.0        3.18175462
    "BPM.24R2.B1"       1321.602449                 1   -0.215198485323 1.48323969742e-08               0.0       3.292640446
    "BPM.25R2.B1"       1375.050965                 1 -0.00799550633923 1.48323969742e-08               0.0       3.424727436
    "BPM.26R2.B1"       1428.499481                 1    0.314402170061 1.48323969742e-08               0.0       3.535603889
    "BPM.27R2.B1"       1481.947997                 1  0.00639355506909 1.48323969742e-08               0.0       3.667683855
    "BPM.28R2.B1"       1535.396513                 1  -0.0166259075307 1.48323969742e-08               0.0       3.778569141
    "BPM.29R2.B1"       1588.845029                 1     -0.1714569994 1.48323969742e-08               0.0       3.910657029
    "BPM.30R2.B1"       1642.293545                 1   -0.032579468299 1.48323969742e-08               0.0        4.02153409
    "BPM.31R2.B1"        1695.74206                 1    0.169059561432 1.48323969742e-08               0.0       4.153613221
    "BPM.32R2.B1"       1749.190576                 1   -0.457467408763 1.48323969742e-08               0.0       4.264497834
    "BPM.33R2.B1"       1802.639092                 1    0.240495424707 1.48323969742e-08               0.0       4.396586489
    "BPM.33L3.B1"       1909.536124                 1   0.0396273630073 1.48323969742e-08               0.0       4.639542719
    "BPM.32L3.B1"        1962.98464                 1    0.317209465959 1.48323969742e-08               0.0       4.750426547
    "BPM.31L3.B1"       2016.433156                 1   -0.557658938227 1.48323969742e-08               0.0       4.882515816
    "BPM.30L3.B1"       2069.881672                 1   -0.103244109427 1.48323969742e-08               0.0       4.993394442
    "BPM.29L3.B1"       2123.330188                 1   0.0132060347692 1.48323969742e-08               0.0        5.12547235
    "BPM.26L3.B1"       2283.675735                 1  -0.0184938890523 1.48323969742e-08               0.0       5.479324546
    "BPM.25L3.B1"       2337.124251                 1    0.173079157466 1.48323969742e-08               0.0       5.611402107
    "BPM.24L3.B1"       2390.572767                 1   -0.229096668579 1.48323969742e-08               0.0       5.722284128
    "BPM.23L3.B1"       2444.021283                 1   -0.210354397488 1.48323969742e-08               0.0       5.854374089
    "BPM.22L3.B1"       2497.469799                 1    0.276140080668 1.48323969742e-08               0.0       5.965254575
    "BPM.21L3.B1"       2550.918315                 1  -0.0303717733804 1.48323969742e-08               0.0        6.09733198
    "BPM.20L3.B1"       2604.366831                 1   -0.297658286776 1.48323969742e-08               0.0       6.204947961
    "BPM.19L3.B1"       2657.815347                 1  0.00711733438291 1.48323969742e-08               0.0       6.332831672
    "BPM.18L3.B1"       2711.263863                 1    0.378649488266 1.48323969742e-08               0.0       6.443801585
    "BPM.17L3.B1"       2764.712379                 1  -0.0164807192145 1.48323969742e-08               0.0        6.57640033
    "BPM.16L3.B1"       2818.160894                 1    0.168762436041 1.48323969742e-08               0.0       6.684541688
