@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:40:59"
@ Q1 %le 0.309853389971
@ Q2 %le 0.319421650825
@ RMSbetabeat %le 1.89006723691
@ RescalingFactor %le 1.04600291672
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds.linx"
*            NAME                 S             COUNT              BETX           BETXSTD           BETXMDL            MUXMDL           BETXRES        BETXSTDRES
$              %s               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     148.103224283               0.0        175.128565     0.03145312858     154.916404575               0.0
   "BPMYB.4L2.B1"            48.858                 1     74.2841598766               0.0       84.35832101     0.05851807485     77.7014478968               0.0
   "BPMWI.4L2.B1"           73.3255                 1     73.3913056387               0.0       83.45002126      0.1097876872     76.7675197597               0.0
   "BPMSX.4L2.B1"          123.4825                 1     161.845589833               0.0       170.5391556      0.1788502064     169.290959023               0.0
    "BPMS.2L2.B1"           161.394                 1     66.9283698786               0.0       63.40330267       0.229253766     70.0072701041               0.0
   "BPMSW.1L2.B1"           171.328                 1     54.5729985006               0.0        56.6340898      0.2526788187     57.0835156056               0.0
   "BPMSW.1R2.B1"           214.518                 1     54.7440572284               0.0        56.6345024      0.6146370966     57.2624435338               0.0
    "BPMS.2R2.B1"           224.452                 1     163.498384657               0.0       173.4266688       0.632582971      171.01978723               0.0
   "BPMSX.4R2.B1"          262.3635                 1     81.8593548561               0.0       100.2196997      0.6761117673       85.62512394               0.0
   "BPMWB.4R2.B1"          312.5965                 1     95.3094834116               0.0       104.9354204      0.7575836096     99.6939976392               0.0
   "BPMYB.4R2.B1"           336.988                 1     94.8211261204               0.0       101.2151279      0.7924101326     99.1831744883               0.0
     "BPM.6R2.B1"           439.818                 1      162.73550485               0.0       181.6208991       1.036087404     170.221812726               0.0
   "BPM_A.7R2.B1"           452.693                 1     80.9837934217               0.0       85.21587822        1.05258811     84.7092841259               0.0
     "BPM.8R2.B1"       494.1300106                 1     107.853210401               0.0       113.0897601       1.134746992     112.814772656               0.0
     "BPM.9R2.B1"       533.1950212                 1     16.0306280487               0.0       15.94722448       1.292805637     16.7680836957               0.0
    "BPM.10R2.B1"       573.6580318                 1     167.043020395               0.0       171.7411105       1.460281322      174.72748655               0.0
    "BPM.11R2.B1"       625.4967424                 1     32.5552886886               0.0       32.90159014       1.566688573     34.0529269228               0.0
    "BPM.14R2.B1"       787.1172901                 1     169.781174918               0.0         170.35043       1.960490566     177.591604168               0.0
    "BPM.15R2.B1"        840.565806                 1     34.1213360638               0.0       34.55300863       2.072703938      35.691017045               0.0
    "BPM.16R2.B1"       894.0143219                 1     162.966208135               0.0       168.8433479       2.207282493     170.463129035               0.0
    "BPM.17R2.B1"       947.4628378                 1     33.8507621756               0.0       33.10170512       2.323083936     35.4079959688               0.0
    "BPM.18R2.B1"       1000.911354                 1     170.046961996               0.0       170.3630625       2.460771013     177.869618227               0.0
    "BPM.19R2.B1"        1054.35987                 1     33.7571407518               0.0       34.55282647       2.572979721     35.3100676864               0.0
    "BPM.20R2.B1"       1107.808386                 1     163.178957553               0.0       168.8307202       2.707565464     170.685665547               0.0
    "BPM.21R2.B1"       1161.256901                 1     32.9665705987               0.0       33.10189183       2.823371809     34.4831290004               0.0
    "BPM.22R2.B1"       1214.705417                 1     167.502011961               0.0       170.3756854        2.96105144     175.207593068               0.0
    "BPM.23R2.B1"       1268.153933                 1     33.1471741941               0.0       33.11661624       3.076157208     34.6720408879               0.0
    "BPM.24R2.B1"       1321.602449                 1     173.050513384               0.0       170.3730582       3.213836773     181.011341739               0.0
    "BPM.26R2.B1"       1428.499481                 1     180.757336864               0.0       170.3757138       3.466622864     189.072701577               0.0
    "BPM.27R2.B1"       1481.947997                 1     32.4887452903               0.0       33.11659909       3.581728657     33.9833223341               0.0
    "BPM.28R2.B1"       1535.396513                 1     176.538698665               0.0       170.3730331       3.719408284     184.659993717               0.0
    "BPM.29R2.B1"       1588.845029                 1     33.6163446219               0.0       33.11640494       3.834515594     35.1627945238               0.0
    "BPM.30R2.B1"       1642.293545                 1     173.000552438               0.0       170.3757357       3.972194287     180.959082444               0.0
    "BPM.31R2.B1"        1695.74206                 1     33.4249546983               0.0       33.11658144       4.087300109     34.9626001055               0.0
    "BPM.33R2.B1"       1802.639092                 1     33.2866535678               0.0       33.11642281       4.340087075     34.8179367196               0.0
    "BPM.34R2.B1"       1856.087608                 1      173.05102499               0.0       170.3757509        4.47776571      181.01187688               0.0
    "BPM.33L3.B1"       1909.536124                 1     33.6670238389               0.0       33.11656339       4.592871563     35.2158051326               0.0
    "BPM.32L3.B1"        1962.98464                 1     166.544241457               0.0       170.3730027       4.730551308     174.205762326               0.0
    "BPM.31L3.B1"       2016.433156                 1     33.0404376837               0.0       33.11644104       4.845658554     34.5603941868               0.0
    "BPM.30L3.B1"       2069.881672                 1     166.217346672               0.0       170.3757594       4.983337132     173.863829428               0.0
    "BPM.29L3.B1"       2123.330188                 1     31.6480573705               0.0         33.116545       5.098443021     33.1039603179               0.0
    "BPM.28L3.B1"       2176.778704                 1     165.781033277               0.0       170.3729976        5.23612282     173.407444344               0.0
    "BPM.27L3.B1"        2230.22722                 1     33.5077792339               0.0       33.11645955       5.351230029     35.0492348113               0.0
    "BPM.26L3.B1"       2283.675735                 1     168.494790789               0.0       170.3757611       5.488908554     176.246042617               0.0
    "BPM.25L3.B1"       2337.124251                 1     34.6767600408               0.0       33.11652639       5.604014482      36.271992145               0.0
    "BPM.24L3.B1"       2390.572767                 1     168.675059899               0.0       170.3729992       5.741694333     176.434604632               0.0
    "BPM.23L3.B1"       2444.021283                 1     33.5045188734               0.0       33.11647824       5.856801501     35.0458244647               0.0
    "BPM.22L3.B1"       2497.469799                 1     172.409254188               0.0       170.3757561       5.994479976     180.340582749               0.0
    "BPM.21L3.B1"       2550.918315                 1     32.9358686649               0.0       33.11650764       6.109585946     34.4510146881               0.0
    "BPM.20L3.B1"       2604.366831                 1     163.845634132               0.0       168.7740195       6.248110946     171.383011193               0.0
    "BPM.19L3.B1"       2657.815347                 1     32.7152323937               0.0       34.54002499       6.360982089     34.2202285049               0.0
    "BPM.18L3.B1"       2711.263863                 1     178.248305539               0.0       170.4266924       6.494760431     186.448247494               0.0
