@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:40:59"
@ Q1 %le 0.309853389971
@ Q2 %le 0.319421650825
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds.linx"
*            NAME                 S             COUNT              BETX           SYSBETX          STATBETX           ERRBETX     CORR_ALFABETA              ALFX           SYSALFX          STATALFX           ERRALFX           BETXMDL           ALFXMDL            MUXMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     178.544066881               0.0               0.0   0.0528553512937               0.0     2.53350631618               0.0               0.0 0.000870205424978        175.128565       2.690097133     0.03145312858                35
   "BPMYB.4L2.B1"            48.858                 1     84.2247694136               0.0               0.0    0.010463199588               0.0        1.67036173               0.0               0.0 0.000292489120756       84.35832101       1.722651722     0.05851807485                42
   "BPMWI.4L2.B1"           73.3255                 1     81.7504734109               0.0               0.0  0.00873361278133               0.0   -0.295477132411               0.0               0.0 6.13517897447e-05       83.45002126     -0.4942360246      0.1097876872                34
   "BPMSX.4L2.B1"          123.4825                 1     149.281428381               0.0               0.0   0.0389769959234               0.0   -0.960306591044               0.0               0.0 0.000125381522325       170.5391556      -1.242094584      0.1788502064                34
    "BPMS.2L2.B1"           161.394                 1     57.7667278124               0.0               0.0    0.043087698196               0.0    0.231556773172               0.0               0.0  0.00532501296944       63.40330267      -1.298296023       0.229253766                42
   "BPMSW.1L2.B1"           171.328                 1     58.2906522652               0.0               0.0   0.0361074405932               0.0     2.11223378497               0.0               0.0 0.000685733978289        56.6340898       2.159488951      0.2526788187                34
   "BPMSW.1R2.B1"           214.518                 1     46.0114319605               0.0               0.0   0.0335844979226               0.0    -1.83645125581               0.0               0.0 0.000672072283636        56.6345024      -2.159498505      0.6146370966                34
    "BPMS.2R2.B1"           224.452                 1     194.046514776               0.0               0.0    0.154252302247               0.0    -18.7334905321               0.0               0.0   0.0193494856109       173.4266688      -10.83847471       0.632582971                42
   "BPMSX.4R2.B1"          262.3635                 1     96.8023997907               0.0               0.0   0.0205739138269               0.0    0.178184556596               0.0               0.0 0.000102017033944       100.2196997      0.2152920739      0.6761117673                34
   "BPMWB.4R2.B1"          312.5965                 1      101.28994054               0.0               0.0   0.0137891819635               0.0   -0.383646093102               0.0               0.0 0.000106810266039       104.9354204     -0.3091690223      0.7575836096                34
   "BPMYB.4R2.B1"           336.988                 1      102.68977592               0.0               0.0   0.0354979865077               0.0     2.01408222179               0.0               0.0   0.0011645048636       101.2151279       2.049233201      0.7924101326                34
     "BPM.6R2.B1"           439.818                 1     158.689061864               0.0               0.0    0.135879878304               0.0     3.63451153724               0.0               0.0  0.00594550434698       181.6208991       4.495719562       1.036087404                43
   "BPM_A.7R2.B1"           452.693                 1      78.381151392               0.0               0.0   0.0390975888296               0.0     2.47349125231               0.0               0.0  0.00278967419295       85.21587822       2.992049051        1.05258811                42
     "BPM.8R2.B1"       494.1300106                 1      114.62691623               0.0               0.0    0.100200464549               0.0    -1.10624636966               0.0               0.0  0.00250901173282       113.0897601      -1.026351501       1.134746992                42
     "BPM.9R2.B1"       533.1950212                 1     16.0745532277               0.0               0.0   0.0136477396668               0.0    0.248581790281               0.0               0.0 0.000350530897959       15.94722448      0.2479066568       1.292805637                34
    "BPM.10R2.B1"       573.6580318                 1     176.722387464               0.0               0.0    0.277100238069               0.0    -3.86412672628               0.0               0.0  0.00686561729461       171.7411105      -3.735870934       1.460281322                34
    "BPM.11R2.B1"       625.4967424                 1     31.4902914702               0.0               0.0   0.0617639715533               0.0     0.66301636317               0.0               0.0  0.00116149192302       32.90159014      0.6368100146       1.566688573                33
    "BPM.14R2.B1"       787.1172901                 1     163.236005949               0.0               0.0    0.287961097956               0.0    -2.24018984283               0.0               0.0   0.0124336573053         170.35043      -2.347473783       1.960490566                25
    "BPM.15R2.B1"        840.565806                 1      34.440759928               0.0               0.0   0.0476202130576               0.0     0.45624578888               0.0               0.0 0.000883731918692       34.55300863      0.5316580846       2.072703938                24
    "BPM.16R2.B1"       894.0143219                 1     167.890684396               0.0               0.0    0.269881205341               0.0      -2.261885754               0.0               0.0  0.00510849145507       168.8433479       -2.28480196       2.207282493                29
    "BPM.17R2.B1"       947.4628378                 1     33.3536308656               0.0               0.0   0.0447973530046               0.0    0.499906564217               0.0               0.0 0.000833656238603       33.10170512      0.5063851365       2.323083936                26
    "BPM.18R2.B1"       1000.911354                 1     171.382936169               0.0               0.0    0.272968062224               0.0    -2.34976137235               0.0               0.0  0.00516798690634       170.3630625        -2.3476305       2.460771013                20
    "BPM.19R2.B1"        1054.35987                 1     33.6793332605               0.0               0.0    0.046763244272               0.0    0.527471103713               0.0               0.0 0.000870255638811       34.55282647      0.5317312573       2.572979721                21
    "BPM.20R2.B1"       1107.808386                 1     167.430660524               0.0               0.0    0.277690659385               0.0    -2.29219236251               0.0               0.0  0.00526549002086       168.8307202      -2.284645441       2.707565464                21
    "BPM.21R2.B1"       1161.256901                 1     33.7104735078               0.0               0.0   0.0444068749425               0.0     0.51008955835               0.0               0.0 0.000826166858577       33.10189183      0.5063120432       2.823371809                27
    "BPM.22R2.B1"       1214.705417                 1     172.931707436               0.0               0.0    0.284537753692               0.0    -2.36420607058               0.0               0.0  0.00539883931382       170.3756854      -2.347786822        2.96105144                21
    "BPM.23R2.B1"       1268.153933                 1     32.7073538718               0.0               0.0    0.104106926785               0.0    0.524988586788               0.0               0.0  0.00194775609567       33.11661624      0.5160399952       3.076157208                21
    "BPM.24R2.B1"       1321.602449                 1     170.370981591               0.0               0.0    0.636116173552               0.0    -2.37755131483               0.0               0.0   0.0121596045683       170.3730582      -2.347745586       3.213836773                21
    "BPM.26R2.B1"       1428.499481                 1     164.751364595               0.0               0.0    0.283510255135               0.0    -2.24029437687               0.0               0.0  0.00568039748152       170.3757138       -2.34778667       3.466622864                21
    "BPM.27R2.B1"       1481.947997                 1     33.8574476941               0.0               0.0   0.0458541389805               0.0     0.45838955102               0.0               0.0 0.000850918172347       33.11659909      0.5160399607       3.581728657                22
    "BPM.28R2.B1"       1535.396513                 1     167.363323422               0.0               0.0    0.207892686419               0.0    -2.26669809858               0.0               0.0  0.00386272457927       170.3730331      -2.347745788       3.719408284                27
    "BPM.29R2.B1"       1588.845029                 1     33.4524282745               0.0               0.0   0.0518525865339               0.0    0.504690592451               0.0               0.0 0.000970172983302       33.11640494      0.5160218113       3.834515594                27
    "BPM.30R2.B1"       1642.293545                 1     171.689704575               0.0               0.0    0.469857459319               0.0    -2.34071933618               0.0               0.0  0.00898231133258       170.3757357      -2.347786419       3.972194287                23
    "BPM.31R2.B1"        1695.74206                 1     32.6788142512               0.0               0.0     0.13849749506               0.0    0.521886149364               0.0               0.0  0.00258550916976       33.11658144      0.5160398816       4.087300109                22
    "BPM.33R2.B1"       1802.639092                 1     33.3725372154               0.0               0.0   0.0490702672241               0.0    0.516068660684               0.0               0.0  0.00330547865707       33.11642281      0.5160219126       4.340087075                23
    "BPM.34R2.B1"       1856.087608                 1     171.109583533               0.0               0.0    0.255323499421               0.0    -2.35029955171               0.0               0.0  0.00477353534973       170.3757509      -2.347786068        4.47776571                22
    "BPM.33L3.B1"       1909.536124                 1      32.321456141               0.0               0.0   0.0317823780967               0.0    0.521930164494               0.0               0.0 0.000589940349772       33.11656339      0.5160397584       4.592871563                22
    "BPM.32L3.B1"        1962.98464                 1      173.80460449               0.0               0.0    0.247907120638               0.0    -2.43020819612               0.0               0.0  0.00468726957034       170.3730027       -2.34774649       4.730551308                28
    "BPM.31L3.B1"       2016.433156                 1      32.975269473               0.0               0.0   0.0415735328116               0.0    0.553066834387               0.0               0.0 0.000772106078349       33.11644104      0.5160220577       4.845658554                21
    "BPM.30L3.B1"       2069.881672                 1     171.306479777               0.0               0.0    0.248747928146               0.0     -2.3766275836               0.0               0.0  0.00470196852169       170.3757594      -2.347785619       4.983337132                21
    "BPM.29L3.B1"       2123.330188                 1     33.3014492772               0.0               0.0   0.0315151778163               0.0    0.529856463353               0.0               0.0 0.000586490818442         33.116545      0.5160395916       5.098443021                21
    "BPM.28L3.B1"       2176.778704                 1     170.797085482               0.0               0.0    0.249249711461               0.0    -2.35305860599               0.0               0.0  0.00471069762742       170.3729976      -2.347746986        5.23612282                21
    "BPM.27L3.B1"        2230.22722                 1     34.0730885495               0.0               0.0   0.0444155065841               0.0    0.515919158763               0.0               0.0  0.00082479369298       33.11645955       0.516022246       5.351230029                21
    "BPM.26L3.B1"       2283.675735                 1     166.095256377               0.0               0.0    0.271470798888               0.0    -2.25532992281               0.0               0.0  0.00514005549122       170.3757611      -2.347785075       5.488908554                21
    "BPM.25L3.B1"       2337.124251                 1     33.5924228858               0.0               0.0   0.0446494549684               0.0    0.483259664671               0.0               0.0 0.000830761718327       33.11652639       0.516039382       5.604014482                21
    "BPM.24L3.B1"       2390.572767                 1     172.160227493               0.0               0.0    0.271337756309               0.0    -2.35021784177               0.0               0.0  0.00513613702111       170.3729992      -2.347747577       5.741694333                21
    "BPM.23L3.B1"       2444.021283                 1      32.960248487               0.0               0.0   0.0448098551713               0.0    0.533008150398               0.0               0.0 0.000833823113372       33.11647824      0.5160224765       5.856801501                21
    "BPM.22L3.B1"       2497.469799                 1     171.716371016               0.0               0.0    0.272286046599               0.0    -2.37454254564               0.0               0.0  0.00515466131058       170.3757561      -2.347784439       5.994479976                21
    "BPM.21L3.B1"       2550.918315                 1     33.2852564817               0.0               0.0   0.0448010105892               0.0     0.52338113739               0.0               0.0 0.000833668581523       33.11650764      0.5160391308       6.109585946                21
    "BPM.20L3.B1"       2604.366831                 1     166.556098828               0.0               0.0    0.269558410003               0.0    -2.29141440816               0.0               0.0  0.00510267878426       168.7740195      -2.326832353       6.248110946                21
    "BPM.19L3.B1"       2657.815347                 1     35.2179860564               0.0               0.0   0.0469321076313               0.0    0.489617899677               0.0               0.0 0.000873432090829       34.54002499       0.522107244       6.360982089                21
    "BPM.18L3.B1"       2711.263863                 1     164.556103062               0.0               0.0    0.229692148508               0.0    -2.18747999266               0.0               0.0   0.0042877371394       170.4266924      -2.305521589       6.494760431                27
    "BPM.17L3.B1"       2764.712379                 1     32.6115791739               0.0               0.0    0.100861828263               0.0    0.486590082445               0.0               0.0  0.00188722195223       33.11556542      0.5159501311       6.609873695                23
    "BPM.16L3.B1"       2818.160894                 1      169.82503508               0.0               0.0    0.501922682886               0.0    -2.32516416258               0.0               0.0  0.00959569828308       168.7871945      -2.327029466       6.748394012                24
    "BPM.15L3.B1"        2871.60941                 1     32.6864353234               0.0               0.0    0.129045607951               0.0    0.523117470362               0.0               0.0  0.00240860590018       34.54096274      0.5221962244       6.861257971                32
    "BPM.13L3.B1"       2978.506442                 1     35.0728113915               0.0               0.0   0.0336743197714               0.0    0.550639871868               0.0               0.0  0.00315504153305       33.11463215      0.5158611703       7.110161452                34
    "BPM.12L3.B1"       3031.954958                 1     166.109955696               0.0               0.0    0.158207964874               0.0    -2.22370820323               0.0               0.0  0.00262296922252       171.5175732      -2.362831568       7.247251311                35
    "BPM.11L3.B1"       3085.403474                 1     28.5844954328               0.0               0.0   0.0182679254293               0.0    0.428145862289               0.0               0.0 0.000313949287508        28.2592413      0.4555938493       7.373708861                43
    "BPM.10L3.B1"       3138.184185                 1     170.390834474               0.0               0.0    0.147743923919               0.0    -2.49904587498               0.0               0.0  0.00246965421385       172.7569671      -2.549373265       7.522788108                44
     "BPM.9L3.B1"       3177.249195                 1     52.2118668055               0.0               0.0   0.0275762865552               0.0     1.11838610055               0.0               0.0  0.00063672865003       54.93815126       1.085298677       7.583724784                45
     "BPM.8L3.B1"       3217.712206                 1     197.035395005               0.0               0.0    0.110040370115               0.0      -3.049320143               0.0               0.0  0.00214646812989       175.5991319       -2.48555866       7.660416551                44
     "BPM.7L3.B1"       3256.776216                 1     54.5058333255               0.0               0.0    0.025548657184               0.0     1.39045793084               0.0               0.0 0.000592054046487       58.10046323       1.096214317       7.719364003                43
     "BPM.6L3.B1"       3329.415216                 1     221.471578627               0.0               0.0   0.0666876890213               0.0     3.06465904219               0.0               0.0 0.000821199157601       206.7756234       2.290629312       7.831510896                42
  "BPMWG.A5L3.B1"       3371.119716                 1     63.8322244524               0.0               0.0   0.0143125517179               0.0      1.3873861065               0.0               0.0 0.000259388248142       68.26217692       1.030677667       7.888594994                42
    "BPMW.5L3.B1"       3400.089716                 1     64.3142701041               0.0               0.0   0.0119794948648               0.0   -0.411693273607               0.0               0.0 0.000119808317958       56.59279169     -0.5634984794       7.971952656                42
   "BPMWE.4L3.B1"       3475.217716                 1     242.870373728               0.0               0.0   0.0599905092598               0.0    -1.73649044963               0.0               0.0  0.00057406067304       272.6641978      -2.312545154        8.07532486                44
    "BPMW.4L3.B1"       3502.762716                 1     210.289171927               0.0               0.0   0.0529994215892               0.0     2.35764529491               0.0               0.0 0.000779918220936       250.6035005       3.453416752       8.090528029                45
    "BPMW.4R3.B1"       3547.727716                 1     53.2287611989               0.0               0.0  0.00823174619319               0.0    0.898638001097               0.0               0.0  0.00013170890017       44.32448505       1.134129461       8.160679045                45
   "BPMWE.4R3.B1"       3575.272716                 1      28.175681951               0.0               0.0  0.00637213287941               0.0   -0.523854743036               0.0               0.0  5.7420816719e-05       30.72266468     -0.5357194778       8.308322669                45
    "BPMW.5R3.B1"       3650.400716                 1     361.870000125               0.0               0.0    0.079655276225               0.0    -4.45642615526               0.0               0.0 0.000657278409456       347.6581685      -3.682887484       8.437850831                36
  "BPMWJ.A5R3.B1"       3679.118716                 1     352.729723481               0.0               0.0   0.0676317034318               0.0     4.71347854331               0.0               0.0 0.000743500968706       302.5649998       4.227417524       8.450477678                36
   "BPMWC.6R3.B1"       3718.936716                 1     57.5151721556               0.0               0.0   0.0124337094899               0.0     1.76561442027               0.0               0.0 0.000140550563925       64.79675564       1.743958359       8.496370937                43
    "BPMR.6R3.B1"       3731.015216                 1     36.2535651158               0.0               0.0   0.0121981578478               0.0    0.259729239009               0.0               0.0 0.000353189839231       39.70879417      0.3059387216       8.536481749                43
     "BPM.8R3.B1"       3825.903227                 1     34.5010535465               0.0               0.0    0.026517522513               0.0    0.308552579379               0.0               0.0  0.00035041188953        35.2651492      0.2997553326       8.835957198                43
     "BPM.9R3.B1"       3864.968238                 1     123.556932201               0.0               0.0     0.11666939459               0.0     -1.9377739782               0.0               0.0  0.00283526844077       128.5117235      -1.994837028       8.940088827                21
    "BPM.10R3.B1"       3905.431248                 1     55.0781272621               0.0               0.0   0.0379957997061               0.0    0.554880240584               0.0               0.0 0.000906150345772       54.67179092      0.6264361896       9.014821952                42
    "BPM.11R3.B1"       3958.211959                 1      175.37516964               0.0               0.0    0.179214559895               0.0     -1.8305461665               0.0               0.0  0.00331221770609       183.5210003      -1.972514456       9.107876696                44
    "BPM.12R3.B1"       4012.935475                 1     45.4575241628               0.0               0.0   0.0370140075317               0.0    0.556243264463               0.0               0.0 0.000662518692054       42.56129302      0.5858132969       9.208659941                43
    "BPM.13R3.B1"       4066.383991                 1     161.493574463               0.0               0.0    0.255379454465               0.0    -1.80324677623               0.0               0.0  0.00485041496416       170.7795851      -2.098902737       9.325472939                33
    "BPM.14R3.B1"       4119.832506                 1     56.0996104956               0.0               0.0   0.0447749384779               0.0   0.0541064949753               0.0               0.0  0.00083361146521       33.11851399      0.5162056838       9.440563908                26
    "BPM.15R3.B1"       4173.281022                 1     49.7781077386               0.0               0.0    0.266669707782               0.0  -0.0547493645317               0.0               0.0  0.00505306830814       168.7497879      -2.326461462       9.579096744                33
    "BPM.16R3.B1"       4226.729538                 1     125.167301225               0.0               0.0   0.0466247816676               0.0    -1.89851874385               0.0               0.0 0.000868080518457       34.53801546       0.521940537       9.691981666                31
    "BPM.17R3.B1"       4280.178054                 1     183.200778386               0.0               0.0    0.229707736577               0.0    0.398822133431               0.0               0.0  0.00428838339792       170.4508792      -2.305891616       9.825752567                29
    "BPM.18R3.B1"        4333.62657                 1     19.9693488484               0.0               0.0   0.0989339586389               0.0    0.482650926839               0.0               0.0  0.00185115532858       33.11755551      0.5161166443        9.94085164                21
    "BPM.19R3.B1"       4387.075086                 1     186.861385402               0.0               0.0    0.770910425302               0.0    -2.69155602572               0.0               0.0   0.0147371039493        168.762939      -2.326658755       10.07937985                16
    "BPM.20R3.B1"       4440.523602                 1     32.2263352632               0.0               0.0     0.15742015531               0.0    0.583362339053               0.0               0.0  0.00294472287101       34.53896949      0.5220295583       10.19225756                20
