@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:40:59"
@ Q1 %le 0.309853389971
@ Q2 %le 0.319421650825
@ RMSbetabeat %le 0
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds.linx"
*            NAME                 S             COUNT              BETX           SYSBETX          STATBETX           ERRBETX     CORR_ALFABETA              ALFX           SYSALFX          STATALFX           ERRALFX           BETXMDL           ALFXMDL            MUXMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     179.117703954               0.0               0.0   0.0536388916922               0.0     2.72685710138               0.0               0.0 0.000871076100731        175.128565       2.690097133     0.03145312858                36
   "BPMYB.4L2.B1"            48.858                 1     84.4202702771               0.0               0.0    0.010344565967               0.0     1.76464543509               0.0               0.0 0.000295695010708       84.35832101       1.722651722     0.05851807485                43
   "BPMWI.4L2.B1"           73.3255                 1     82.0647002031               0.0               0.0  0.00848499687541               0.0   -0.202134841687               0.0               0.0 6.18001516998e-05       83.45002126     -0.4942360246      0.1097876872                35
   "BPMSX.4L2.B1"          123.4825                 1     148.068795246               0.0               0.0   0.0373399745921               0.0   -0.857811924662               0.0               0.0 0.000124155380972       170.5391556      -1.242094584      0.1788502064                35
    "BPMS.2L2.B1"           161.394                 1     61.3244836425               0.0               0.0   0.0613417709194               0.0   -0.124778509541               0.0               0.0  0.00690799437454       63.40330267      -1.298296023       0.229253766                42
   "BPMSW.1L2.B1"           171.328                 1     53.9598520837               0.0               0.0   0.0266220370074               0.0     1.68887064773               0.0               0.0 0.000233533760685        56.6340898       2.159488951      0.2526788187                34
   "BPMSW.1R2.B1"           214.518                 1     55.9039043441               0.0               0.0   0.0262234392747               0.0    -1.91200451862               0.0               0.0 0.000299829899548        56.6345024      -2.159498505      0.6146370966                34
    "BPMS.2R2.B1"           224.452                 1     182.514748581               0.0               0.0    0.183970398673               0.0    -11.7431243443               0.0               0.0   0.0236111360098       173.4266688      -10.83847471       0.632582971                42
   "BPMSX.4R2.B1"          262.3635                 1     101.090540171               0.0               0.0   0.0200256843423               0.0    0.214503470535               0.0               0.0 0.000228332835031       100.2196997      0.2152920739      0.6761117673                34
   "BPMWB.4R2.B1"          312.5965                 1     99.2459299905               0.0               0.0    0.017331448049               0.0   -0.453604348273               0.0               0.0 0.000252319521222       104.9354204     -0.3091690223      0.7575836096                34
