@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:40:59"
@ Q1 %le 0.299853389971
@ Q2 %le 0.331421650825
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds.liny"
*            NAME                 S             COUNT              BETY           SYSBETY          STATBETY           ERRBETY     CORR_ALFABETA              ALFY           SYSALFY          STATALFY           ERRALFY           BETYMDL           ALFYMDL            MUYMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     34.9299755616               0.0               0.0  0.00883848876057               0.0   -0.982212411984               0.0               0.0 3.48435705744e-05       36.79270806      -1.012453818      0.1253734494                43
   "BPMYB.4L2.B1"            48.858                 1     101.239059961               0.0               0.0   0.0274982634904               0.0    -2.11553738862               0.0               0.0 7.79102108439e-05       101.7337616      -2.144622191      0.1799473837                41
   "BPMWI.4L2.B1"           73.3255                 1     111.631419609               0.0               0.0   0.0129399476367               0.0    0.272328742832               0.0               0.0 8.64224536967e-05       109.1955534      0.2448795011      0.2140933253                35
   "BPMSX.4L2.B1"          123.4825                 1      98.055909016               0.0               0.0   0.0221252021784               0.0   -0.126990103401               0.0               0.0 4.79566394785e-05       109.0509593     -0.2419966722      0.2901034415                35
    "BPMS.2L2.B1"           161.394                 1      239.65600381               0.0               0.0    0.160626765364               0.0     12.8614259184               0.0               0.0   0.0108481993859       187.2656009       11.74073614      0.3301845247                42
   "BPMSW.1L2.B1"           171.328                 1     61.9224715038               0.0               0.0    0.040294914412               0.0     2.56562134472               0.0               0.0 9.36938147898e-05       60.57107152       2.363077673      0.3468791826                34
   "BPMSW.1R2.B1"           214.518                 1     51.5031837253               0.0               0.0   0.0473231561076               0.0    -2.18871421723               0.0               0.0 9.37532952875e-05       59.21667092      -2.331718548      0.7186849694                34
    "BPMS.2R2.B1"           224.452                 1     60.9021644429               0.0               0.0   0.0594573338802               0.0    0.913077065939               0.0               0.0  0.00177116708581       67.53675791       1.324541322       0.740873163                40
   "BPMSX.4R2.B1"          262.3635                 1     189.968787436               0.0               0.0   0.0407069403782               0.0     1.42055633593               0.0               0.0 6.91347212938e-05       185.5131129       1.340596217      0.7875864765                33
   "BPMWB.4R2.B1"          312.5965                 1      84.518588246               0.0               0.0  0.00838953157358               0.0    0.560042887657               0.0               0.0 8.63166152258e-05       88.87633786      0.5831745133      0.8515579821                33
   "BPMYB.4R2.B1"           336.988                 1     82.3003140388               0.0               0.0   0.0242117875133               0.0    -1.88947768599               0.0               0.0 0.000976305663597       85.96644093       -1.67202828      0.9005400248                41
    "BPMR.5R2.B1"           366.522                 1     197.527645346               0.0               0.0     0.10944056532               0.0     2.59093381874               0.0               0.0 0.000182682364782       174.5396444       2.584694135      0.9352754339                34
     "BPM.6R2.B1"           439.818                 1     38.5730616255               0.0               0.0   0.0143714562986               0.0    -1.57988432609               0.0               0.0 7.34763134126e-06       43.11908205      -1.941055619       1.212247596                42
   "BPM_A.7R2.B1"           452.693                 1     107.368159439               0.0               0.0    0.062741700215               0.0     -2.9467598854               0.0               0.0 2.65569295957e-05       111.4300463      -3.364650344       1.241982113                44
     "BPM.8R2.B1"       494.1300106                 1     42.5542401025               0.0               0.0   0.0248925504046               0.0    0.724913512786               0.0               0.0 0.000195888062264       40.18921261      0.6983333244       1.329086933                42
     "BPM.9R2.B1"       533.1950212                 1     118.410253168               0.0               0.0    0.131800034562               0.0     -1.8901421842               0.0               0.0 0.000881416830536       127.8156363      -1.951391582       1.430560351                33
    "BPM.10R2.B1"       573.6580318                 1     23.3068365932               0.0               0.0   0.0272676069401               0.0     0.58144146461               0.0               0.0 0.000186908917646       21.70338425      0.5591518683       1.549002685                41
    "BPM.11R2.B1"       625.4967424                 1     182.837480717               0.0               0.0    0.395189787707               0.0    -3.58222981682               0.0               0.0  0.00235395041843       187.1609046      -3.148602827       1.726662106                35
    "BPM.14R2.B1"       787.1172901                 1     33.3629427942               0.0               0.0   0.0443631464772               0.0    0.537653210759               0.0               0.0  0.00434381323036       32.62744691       0.446585948       2.100287046                42
    "BPM.15R2.B1"        840.565806                 1     179.292158612               0.0               0.0    0.300701035522               0.0    -2.58658930854               0.0               0.0 0.000925894937724       183.4556299      -2.537141299       2.232860629                35
    "BPM.16R2.B1"       894.0143219                 1     40.4060746972               0.0               0.0   0.0364308851579               0.0    0.643266236811               0.0               0.0 0.000337865252193       39.66783428      0.6517350696       2.332083326                43
    "BPM.17R2.B1"       947.4628378                 1     169.952935929               0.0               0.0    0.218216788615               0.0    -2.14816852713               0.0               0.0 0.000716779586304       164.6514988      -2.096525282       2.457365183                43
    "BPM.18R2.B1"       1000.911354                 1     30.9341887212               0.0               0.0   0.0360371083158               0.0    0.474666730315               0.0               0.0 0.000242597277441       32.23318057      0.4671203535        2.57716969                44
    "BPM.19R2.B1"        1054.35987                 1     185.065134672               0.0               0.0    0.275439584015               0.0    -2.50496909894               0.0               0.0  0.00090527149312       179.0138669      -2.490618658       2.713019887                45
    "BPM.20R2.B1"       1107.808386                 1      39.442742835               0.0               0.0   0.0350666977754               0.0    0.694699418781               0.0               0.0   0.0003011691572       39.93386784      0.6280164327       2.813269589                45
    "BPM.21R2.B1"       1161.256901                 1     176.516502184               0.0               0.0     0.21311115183               0.0      -2.152180023               0.0               0.0 0.000730404254962       169.3409837      -2.149845238       2.935822271                44
    "BPM.22R2.B1"       1214.705417                 1     31.1771083985               0.0               0.0   0.0456613654233               0.0     0.56556576026               0.0               0.0 0.000457946380633       32.09996833      0.4936141232       3.053861814                36
    "BPM.23R2.B1"       1268.153933                 1     175.583521205               0.0               0.0    0.277667414289               0.0     -2.4414907267               0.0               0.0 0.000962744297496       175.5018563      -2.449246888       3.191962427                44
    "BPM.24R2.B1"       1321.602449                 1     39.2765201624               0.0               0.0   0.0337906010704               0.0    0.601682388144               0.0               0.0  0.00032602033333       38.01840941      0.5922723388       3.296294469                44
    "BPM.25R2.B1"       1375.050965                 1     164.900318123               0.0               0.0     0.21370652306               0.0    -2.20090542542               0.0               0.0 0.000796405125602       171.8112234         -2.231294       3.421597518                44
    "BPM.26R2.B1"       1428.499481                 1      32.458142288               0.0               0.0   0.0309187566011               0.0    0.478014419996               0.0               0.0    0.000280200621       32.10343822      0.5086537375       3.538548466                36
    "BPM.27R2.B1"       1481.947997                 1     171.317985353               0.0               0.0    0.226151062724               0.0    -2.44966280693               0.0               0.0 0.000721196231937       172.9271282      -2.415774969        3.67803878                44
    "BPM.28R2.B1"       1535.396513                 1     38.2533731644               0.0               0.0   0.0303220566172               0.0     0.54908847012               0.0               0.0 0.000322275493009       37.96873847      0.5765795907       3.783361568                45
    "BPM.29R2.B1"       1588.845029                 1     177.745327688               0.0               0.0    0.185863751413               0.0    -2.27859645334               0.0               0.0 0.000698955478845       174.3946677      -2.266206876       3.907584224                45
    "BPM.30R2.B1"       1642.293545                 1     32.0802431891               0.0               0.0   0.0371252965474               0.0     0.54950941198               0.0               0.0 0.000480566233614       32.19892224      0.5248770454       4.023258739                45
    "BPM.31R2.B1"        1695.74206                 1     166.672141335               0.0               0.0    0.245800000825               0.0    -2.32043654988               0.0               0.0   0.0013352901535       170.3551466      -2.379693837       4.163905823                45
    "BPM.32R2.B1"       1749.190576                 1     37.9168021016               0.0               0.0   0.0450617340582               0.0    0.540829436986               0.0               0.0 0.000494172422683       37.82818718      0.5599524411       4.270396119                45
    "BPM.33R2.B1"       1802.639092                 1     181.315959135               0.0               0.0    0.363439508705               0.0    -2.31247914063               0.0               0.0  0.00239614479161       176.9350971       -2.30317444       4.393775845                45
    "BPM.33L3.B1"       1909.536124                 1     164.004873585               0.0               0.0    0.224683037896               0.0    -2.23343244962               0.0               0.0  0.00123075306141       167.8661122       -2.34212859        4.64956083                45
    "BPM.32L3.B1"        1962.98464                 1     36.3819649372               0.0               0.0   0.0396225617372               0.0    0.548814492585               0.0               0.0 0.000882076153898       37.60113828      0.5429093654       4.757367307                45
    "BPM.31L3.B1"       2016.433156                 1     183.719897481               0.0               0.0    0.244807343669               0.0    -2.41313568613               0.0               0.0  0.00150698645217       179.3532948      -2.341043952       4.880160159                45
    "BPM.30L3.B1"       2069.881672                 1     33.4963042794               0.0               0.0   0.0572207188463               0.0    0.609034751737               0.0               0.0  0.00055536621159        32.6512466      0.5588300756       4.992918316                45
    "BPM.29L3.B1"       2123.330188                 1     161.205033948               0.0               0.0    0.447466990178               0.0    -2.24419540307               0.0               0.0  0.00259460606387       165.5376394      -2.304250606       5.135008023                45
    "BPM.26L3.B1"       2283.675735                 1     33.7118724063               0.0               0.0   0.0480315294038               0.0    0.450292616196               0.0               0.0  0.00331593190342       32.99398235       0.575501059       5.477942111                45
    "BPM.25L3.B1"       2337.124251                 1     163.980289142               0.0               0.0     0.28546996129               0.0    -2.26019132435               0.0               0.0 0.000910706642672       163.4423356      -2.267241013       5.620259028                45
    "BPM.24L3.B1"       2390.572767                 1     35.2292187009               0.0               0.0   0.0368249090401               0.0    0.515385412325               0.0               0.0 0.000339300706508       36.91834384      0.5096976134       5.731002475                45
    "BPM.23L3.B1"       2444.021283                 1     186.831714951               0.0               0.0    0.220200644699               0.0     -2.4742527224               0.0               0.0 0.000813624501347       183.5275363      -2.414774061        5.85343381                45
    "BPM.22L3.B1"       2497.469799                 1     32.6445231019               0.0               0.0   0.0345736851849               0.0     0.61399421685               0.0               0.0 0.000258895755056       33.40096287      0.5912712721        5.96313543                45
    "BPM.21L3.B1"       2550.918315                 1     169.364348967               0.0               0.0    0.255036757212               0.0    -2.28877018681               0.0               0.0 0.000799125012565       161.6455375      -2.232253861       6.105333009                45
    "BPM.20L3.B1"       2604.366831                 1     36.7432518841               0.0               0.0   0.0466373331086               0.0      0.5252654829               0.0               0.0 0.000461619868703       38.26126251      0.5093520719       6.214482444                45
    "BPM.19L3.B1"       2657.815347                 1     187.346829874               0.0               0.0    0.234923420329               0.0    -2.43957366558               0.0               0.0   0.0010272778767        185.636807      -2.406795818       6.333334423                45
    "BPM.18L3.B1"       2711.263863                 1     34.8780921138               0.0               0.0   0.0526211562267               0.0    0.629380122937               0.0               0.0 0.000550284264797       34.12812293      0.6109443265       6.440932002                45
