@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:40:59"
@ FILES %s ""
*            NAME                 S                S1                S2             X3000            X3000i            X3000r          X3000RMS        X3000PHASE     X3000PHASERMS            X3000M           X3000Mi           X3000Mr       X3000MPHASE
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288            48.858           73.3255     3.59619702141    0.685277975142    -3.53030127802 1.48323969742e-08    0.469485414933 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMYB.4L2.B1"            48.858           73.3255          123.4825     3.53133472149   -0.718315696436     3.45750596174 1.48323969742e-08    0.967398466307 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMWI.4L2.B1"           73.3255          123.4825           161.394    0.667299405043   -0.524586388475    -0.41242892357 1.48323969742e-08    0.643960086331 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSX.4L2.B1"          123.4825           161.394           171.328     3.57423919764     3.35405094615    -1.23512270344 1.48323969742e-08    0.306155919464 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPMS.2L2.B1"           161.394           171.328           214.518     4.52636973138    -4.50380548517   -0.451396828634 1.48323969742e-08     0.73410168447 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSW.1L2.B1"           171.328           214.518           224.452     3.90645481703     2.71904353117     2.80485142443 1.48323969742e-08    0.122527894328 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSW.1R2.B1"           214.518           224.452          262.3635     3.62593829276    -2.10803157978    -2.95019174996 1.48323969742e-08    0.598742622627 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPMS.2R2.B1"           224.452          262.3635          312.5965     1.71256834932     1.25473598564     1.16555907505 1.48323969742e-08    0.130861487246 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSX.4R2.B1"          262.3635          312.5965           336.988    0.710740202258   -0.482390792432   -0.521968158495 1.48323969742e-08    0.618731647295 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMWB.4R2.B1"          312.5965           336.988           439.818    0.251411675454    0.233616280134   0.0929045973618 1.48323969742e-08    0.189759049353 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMYB.4R2.B1"           336.988           439.818           452.693    0.894398053038   -0.597630410136   -0.665421498119 1.48323969742e-08    0.616465953059 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.6R2.B1"           439.818           452.693       494.1300106    0.865768866479    0.415777046902    0.759397904549 1.48323969742e-08   0.0797252598367 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPM_A.7R2.B1"           452.693       494.1300106       533.1950212    0.260208969857   -0.146693781079   -0.214917757728 1.48323969742e-08     0.59532164939 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.8R2.B1"       494.1300106       533.1950212       573.6580318    0.174703473838    0.170697042378   0.0371997781511 1.48323969742e-08    0.215849529337 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.9R2.B1"       533.1950212       573.6580318       625.4967424    0.332760518295   -0.268358354558   -0.196757099173 1.48323969742e-08    0.649309947801 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.10R2.B1"       573.6580318       625.4967424       787.1172901    0.076949992831  -0.0748985375657   0.0176496591246 1.48323969742e-08    0.786832521972 1.48323969742e-08               0.0               0.0               0.0                 0
