@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:40:59"
@ CG %le 0.000543948021436
@ CG_std %le 5.09504273347e-07
@ QG %le -2.93706993126
@ Q1F %le 0.309853389971
@ Q2F %le 0.319421650825
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds"
*            NAME                 S             COUNT            F1001W            FWSTD1            F1001R            F1001I            F1010W            FWSTD2            F1010R            F1010I             Q1001          Q1001STD             Q1010          Q1010STD         MDLF1001R         MDLF1001I         MDLF1010R         MDLF1010I
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1   0.0166853711248  0.00105484131691 -0.00292622389871  -0.0164267715412   0.0195875472134  0.00076033578686   0.0143809211888  -0.0132989139256    0.721942845889    0.036138897265    0.881218215222   0.0372353356412               0.0               0.0               0.0               0.0
   "BPMWI.4L2.B1"           73.3255                 1   0.0540056144668 0.000258959123626 -0.00868941637979  -0.0533019740433    0.043857074331 0.000336107196535  -0.0245774782832  -0.0363234157275    0.724280428384   0.0544006628054    0.655323823225    0.115304294999               0.0               0.0               0.0               0.0
   "BPMSX.4L2.B1"          123.4825                 1   0.0745168573538 0.000544772712265   0.0704046424568  -0.0244120533837   0.0463378725884 0.000775588214782   0.0336489718006   0.0318582035397    0.946879335738     0.12046251216    0.120650268019   0.0264231393919               0.0               0.0               0.0               0.0
    "BPMS.2L2.B1"           161.394                 1    0.108878169118  0.00133855142125  -0.0908521885227    0.060002796194      0.1347140062  0.00161851679372    -0.13454844557  0.00667677027528    0.407104072798   0.0585003833648    0.492108641423    0.156549863622               0.0               0.0               0.0               0.0
   "BPMSX.4R2.B1"          262.3635                 1   0.0393305097257 0.000449800901011   0.0136084930573  -0.0369011912001   0.0180421224808 0.000581861698841  -0.0110562909409   0.0142575108011    0.806230732427    0.118768781267    0.354979312006    0.145445153812               0.0               0.0               0.0               0.0
   "BPMYB.4R2.B1"           336.988                 1   0.0921003736113  0.00076755796283   0.0526729214967  -0.0755515860876   0.0494334395264  0.00076162230306   0.0334524960231   0.0363949921449    0.846898248502     0.17041152081    0.131700828736    0.175658471792               0.0               0.0               0.0               0.0
     "BPM.6R2.B1"           439.818                 1   0.0365183177076 0.000668992349925   0.0230772933461   -0.028302403785   0.0119266204077  0.00160712274151 -0.00188182507939  -0.0117772241517    0.858870029836   0.0501954297753    0.724782578712    0.172560408862               0.0               0.0               0.0               0.0
   "BPM_A.7R2.B1"           452.693                 1   0.0342834000654 0.000290500795264    0.016981964156   -0.029781947778   0.0179446580794 0.000361345005617  -0.0147927479087  -0.0101580196347    0.832478390191   0.0698389907581    0.595769344896   0.0142997851568               0.0               0.0               0.0               0.0
     "BPM.8R2.B1"       494.1300106                 1   0.0350447076001 0.000309174216731   0.0180697732336  -0.0300269017061    0.015234258893 0.000133861299597  -0.0135314493654  0.00699875146653    0.836219294225   0.0520349185799    0.424030666003  0.00454049960647               0.0               0.0               0.0               0.0
     "BPM.9R2.B1"       533.1950212                 1   0.0344517201898 0.000269901243674   0.0076495694186  -0.0335917417194   0.0174884606097 0.000471765677327  0.00882619705865   0.0150978309694    0.785635349733   0.0772852772486    0.165803970479   0.0193097847782               0.0               0.0               0.0               0.0
    "BPM.10R2.B1"       573.6580318                 1   0.0291947394711 0.000311191434871 -0.00339696025561   -0.028996438985   0.0210071481199 0.000132774251293   0.0123061706813  -0.0170252293757    0.731439449784    0.082846885455    0.849611509379   0.0247932184247               0.0               0.0               0.0               0.0
    "BPM.11R2.B1"       625.4967424                 1   0.0322865877352 0.000287172238661    0.012953357999  -0.0295742162049   0.0190913074002 0.000169960075577  -0.0162520476688  -0.0100174330454     0.81570326957    0.063561390607    0.587913442999   0.0479479735936               0.0               0.0               0.0               0.0
    "BPM.14R2.B1"       787.1172901                 1   0.0373864532542 0.000323601839778   0.0126622530276  -0.0351768991697   0.0168104449113 0.000194249792485   0.0123206049928  -0.0114365095517    0.804991148374   0.0452160886994    0.880920048027   0.0377398597161               0.0               0.0               0.0               0.0
