@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:40:59"
@ CG %le 0.000543948021436
@ QG %le -2.93706993126
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds"
*            NAME                 S             COUNT            F1001W            FWSTD1            F1001R            F1001I            F1010W            FWSTD2            F1010R            F1010I             Q1001          Q1001STD             Q1010          Q1010STD         MDLF1001R         MDLF1001I         MDLF1010R         MDLF1010I
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1   0.0610783532686               0.0   0.0133574316284  -0.0595998679385   0.0196197624298               0.0   0.0141890207575  -0.0135501574805    0.789981587465   0.0131054650641    0.879175905093   0.0373826811703               0.0               0.0               0.0               0.0
   "BPMYB.4L2.B1"            48.858                 1    0.082908602993               0.0   0.0362227272903  -0.0745771444741   0.0574580027935               0.0   0.0123183262953  -0.0561220181596    0.835315798478    0.149613411548    0.784068660078    0.198544912136               0.0               0.0               0.0               0.0
   "BPMWI.4L2.B1"           73.3255                 1   0.0953459556811               0.0  0.00435086063935  -0.0952466339376   0.0458242732636               0.0  -0.0241990293058  -0.0389136351526    0.754580133388   0.0373568865906    0.662680227642    0.110168699655               0.0               0.0               0.0               0.0
   "BPMSX.4L2.B1"          123.4825                 1    0.099329071785               0.0   0.0774297777075  -0.0622165092707   0.0453590108772               0.0   0.0331207604016   0.0309912100147    0.897706737946   0.0645674059664    0.119653517974   0.0241774647225               0.0               0.0               0.0               0.0
    "BPMS.2L2.B1"           161.394                 1   0.0781704437188               0.0  -0.0766540032561   0.0153225995185    0.130838295857               0.0    -0.13058848832   0.0080812363621    0.459012780745   0.0175607522855    0.489861283445    0.161964914372               0.0               0.0               0.0               0.0
   "BPMSW.1L2.B1"           171.328                 1    0.146638278222               0.0   0.0597790990649   -0.133900126792   0.0796749269209               0.0   0.0765006043698  -0.0222654780077    0.823274755688    0.074590740861    0.955213046938    0.247027693049               0.0               0.0               0.0               0.0
   "BPMSW.1R2.B1"           214.518                 1   0.0830192935977               0.0   0.0042754523969  -0.0829091286667   0.0751843456153               0.0  -0.0521701750304    0.054138328963    0.745197103555    0.257777078952    0.371523529966    0.290541121489               0.0               0.0               0.0               0.0
    "BPMS.2R2.B1"           224.452                 1    0.085073697676               0.0 -0.00589048382317  -0.0848695247813   0.0144824733888               0.0  0.00624069602874  -0.0130688847472    0.746262505606   0.0624544428754    0.832843101107    0.350883662685               0.0               0.0               0.0               0.0
   "BPMSX.4R2.B1"          262.3635                 1   0.0793244703844               0.0   0.0164596593467  -0.0775980103865   0.0181961180755               0.0  -0.0104560093511   0.0148919636539    0.784166407939   0.0427484179709    0.344728237651    0.122373010588               0.0               0.0               0.0               0.0
   "BPMWB.4R2.B1"          312.5965                 1   0.0751688493354               0.0  0.00120178266417  -0.0751592418059   0.0109723753974               0.0  0.00078853598968    0.010944004425    0.758932696209   0.0221341401316    0.240827741198    0.267706076997               0.0               0.0               0.0               0.0
