@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:40:59"
@ CG %le 0.000543948021436
@ QG %le -2.93706993126
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds"
*            NAME                 S             COUNT            F1001W            FWSTD1            F1001R            F1001I            F1010W            FWSTD2            F1010R            F1010I             Q1001          Q1001STD             Q1010          Q1010STD         MDLF1001R         MDLF1001I         MDLF1010R         MDLF1010I
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1   0.0358054360603  0.00105484131691 -0.00627943615517  -0.0352505025928   0.0195471106699  0.00076033578686    0.014351233207  -0.0132714596402     1.54923005394    0.036138897265    0.879399027842   0.0372353356412               0.0               0.0               0.0               0.0
   "BPMWI.4L2.B1"           73.3255                 1    0.115891613152 0.000258959123626  -0.0186467738872   -0.114381658593   0.0437665357621 0.000336107196535  -0.0245267405232  -0.0362484296476     1.55424631399   0.0544006628054    0.653970972356    0.115304294999               0.0               0.0               0.0               0.0
   "BPMSX.4L2.B1"          123.4825                 1    0.159907055794 0.000544772712265    0.151082580362  -0.0523862615937   0.0462422126581 0.000775588214782   0.0335795068443   0.0317924354464     2.03192528707     0.12046251216    0.120401197537   0.0264231393919               0.0               0.0               0.0               0.0
    "BPMS.2L2.B1"           161.394                 1    0.233643608737  0.00133855142125   -0.194961334858    0.128761072588     0.13443590253  0.00161851679372   -0.134270683683  0.00666298674697     0.87361190467   0.0585003833648    0.491092732066    0.156549863622               0.0               0.0               0.0               0.0
   "BPMSX.4R2.B1"          262.3635                 1   0.0844000436471 0.000449800901011   0.0292027084322  -0.0791869256118    0.018004876313 0.000581861698841  -0.0110334663276   0.0142280775877     1.73010493587    0.118768781267    0.354246492515    0.145445153812               0.0               0.0               0.0               0.0
   "BPMYB.4R2.B1"           336.988                 1    0.197639837544  0.00076755796283    0.113031763492   -0.162127498674    0.049331389106  0.00076162230306   0.0333834366715   0.0363198583027     1.81737408533     0.17041152081    0.131428945471    0.175658471792               0.0               0.0               0.0               0.0
     "BPM.6R2.B1"           439.818                 1   0.0783653105423 0.000668992349925   0.0495219761771  -0.0607346340394   0.0119019990858  0.00160712274151 -0.00187794023864  -0.0117529112436     1.84306454483   0.0501954297753    0.723286337149    0.172560408862               0.0               0.0               0.0               0.0
   "BPM_A.7R2.B1"           452.693                 1   0.0735693608365 0.000290500795264    0.036441900346   -0.063909613933   0.0179076131172 0.000361345005617  -0.0147622097516  -0.0101370494132      1.7864302537   0.0698389907581    0.594539438325   0.0142997851568               0.0               0.0               0.0               0.0
     "BPM.8R2.B1"       494.1300106                 1   0.0752030642797 0.000309174216731   0.0387762492844  -0.0644352649446   0.0152028092804 0.000133861299597  -0.0135035150338  0.00698430324007     1.79445792652   0.0520349185799    0.423155296858  0.00454049960647               0.0               0.0               0.0               0.0
     "BPM.9R2.B1"       533.1950212                 1   0.0739305619992 0.000269901243674   0.0164153477113  -0.0720851188321   0.0174523574218 0.000471765677327  0.00880797625248   0.0150666629986     1.68590893611   0.0772852772486    0.165461684669   0.0193097847782               0.0               0.0               0.0               0.0
    "BPM.10R2.B1"       573.6580318                 1   0.0626495131341 0.000311191434871 -0.00728959771538  -0.0622239765773   0.0209637809515 0.000132774251293   0.0122807658156  -0.0169900824826     1.56960898594    0.082846885455    0.847857570901   0.0247932184247               0.0               0.0               0.0               0.0
    "BPM.11R2.B1"       625.4967424                 1   0.0692843655746 0.000287172238661   0.0277968424035  -0.0634638390382   0.0190518952944 0.000169960075577  -0.0162184969324 -0.00999675305096     1.75043222259    0.063561390607    0.586699754156   0.0479479735936               0.0               0.0               0.0               0.0
    "BPM.14R2.B1"       787.1172901                 1   0.0802282581251 0.000323601839778   0.0271721550434  -0.0754867365309   0.0167757414194 0.000194249792485    0.012295170329  -0.0114129000149      1.7274448903   0.0452160886994    0.879101476184   0.0377398597161               0.0               0.0               0.0               0.0
    "BPM.15R2.B1"        840.565806                 1   0.0686268783655 0.000227079806245   0.0304455939982  -0.0615037741955   0.0183775947329 0.000264824880487  -0.0168924336302 -0.00723751851223     1.76642616649    0.082271649641    0.563258648837   0.0457147311699               0.0               0.0               0.0               0.0
    "BPM.16R2.B1"       894.0143219                 1   0.0687626804683   0.0002347231401  0.00876658307371  -0.0682015633721   0.0106513532446 0.000163344000388 -0.00591030690943  0.00886112849344      1.6530994696   0.0315111184975    0.342910057293   0.0259616681559               0.0               0.0               0.0               0.0
    "BPM.17R2.B1"       947.4628378                 1   0.0767092932374 0.000216450369003   0.0131864914985  -0.0755674011128   0.0143606280856 0.000395925043911  0.00938117523338   0.0108729568312     1.66844179599   0.0350220965246    0.136418936371   0.0389937892342               0.0               0.0               0.0               0.0
    "BPM.18R2.B1"       1000.911354                 1   0.0823817908928 0.000369333638234   0.0135440285122  -0.0812608070497   0.0153003690267 0.000118701829178   0.0121130688219 -0.00934745184894     1.66584449041   0.0593929768075     0.89354941197   0.0124590680377               0.0               0.0               0.0               0.0
    "BPM.19R2.B1"        1054.35987                 1   0.0766011158212 0.000300928952865   0.0183465577316  -0.0743715991791   0.0193100144698 0.000329846760037  -0.0139226543406   -0.013380446739     1.69204125918    0.071119052031    0.620556058272  0.00448553963068               0.0               0.0               0.0               0.0
    "BPM.20R2.B1"       1107.808386                 1   0.0712183366049  0.00023785566181   0.0101317903803  -0.0704939592622   0.0123148483142 0.000427440384068 -0.00204086517381   0.0121445608543     1.65819164859   0.0254128115012    0.275927231035     0.15172744292               0.0               0.0               0.0               0.0
    "BPM.21R2.B1"       1161.256901                 1    0.092075216313 0.000316578966608   0.0339581684355  -0.0855843925934   0.0202274046101 0.000408187660732  0.00940884382501   0.0179059083863     1.73844492814    0.107640047197    0.172642461645    0.110194815059               0.0               0.0               0.0               0.0
    "BPM.22R2.B1"       1214.705417                 1   0.0555082043915 0.000361805257899  0.00601068876601  -0.0551818119975   0.0148638929836 9.20232725429e-05  0.00684266703784  -0.0131951969458      1.6464939032   0.0861053762097    0.824433450452   0.0623051346619               0.0               0.0               0.0               0.0
    "BPM.23R2.B1"       1268.153933                 1   0.0734487161827  0.00032284922805   0.0165385527367  -0.0715624914482   0.0155327836625 0.000357046157398  -0.0110097533829  -0.0109568562441     1.68700712977   0.0701109843548    0.623327285301  0.00913382209115               0.0               0.0               0.0               0.0
    "BPM.24R2.B1"       1321.602449                 1   0.0748358137736 0.000308146233248   0.0196107603486  -0.0722206141051   0.0179105210205 0.000258948124103 -0.00651036167098   0.0166853814502     1.69999473427    0.149970345433    0.308569760066   0.0955842746269               0.0               0.0               0.0               0.0
    "BPM.26R2.B1"       1428.499481                 1   0.0678932772471  0.00031032056229  -0.0116045058014  -0.0668941891382   0.0198046246377 0.000195050621814   0.0119465596509  -0.0157956598326      1.5507745267   0.0703627167994    0.851297039792   0.0243631470596               0.0               0.0               0.0               0.0
    "BPM.27R2.B1"       1481.947997                 1   0.0625481224199  0.00031652958857  0.00279814377676  -0.0624855023958   0.0166566605398 0.000321449132543  -0.0142612856484 -0.00860581617247     1.62472229367   0.0694632903152    0.585201687622  0.00287130287787               0.0               0.0               0.0               0.0
    "BPM.28R2.B1"       1535.396513                 1   0.0705002442955 0.000247390124076  -0.0197764846217  -0.0676696024943   0.0165731030433 0.000240755778233  -0.0114423773335    0.011989151156     1.51232944408   0.0599304241828    0.370520314677   0.0271822824484               0.0               0.0               0.0               0.0
    "BPM.29R2.B1"       1588.845029                 1   0.0719689909717 0.000156249989565  -0.0146440194628  -0.0704633830827   0.0181575999547 0.000278992690537   0.0114749806176   0.0140720736191     1.53945557101   0.0687776953001    0.140832833465  0.00104547968949               0.0               0.0               0.0               0.0
    "BPM.30R2.B1"       1642.293545                 1   0.0741739690326  0.00033365273406  -0.0186454245243  -0.0717922407113   0.0187234005755 0.000184484872738   0.0150557490422  -0.0111305952171     1.52265481868   0.0792382244452    0.896824705178  0.00624098569248               0.0               0.0               0.0               0.0
