@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:40:59"
@ DQMIN %le 0.00205526951478
@ DQMINE %le 0.00119392984192
@ FILES %s ""
*            NAME                 S              DETC             DETCE             GAMMA            GAMMAE               C11               C12               C21               C22
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le
     BPMYB.5L2.B1            28.288   0.0132057938322               0.0     1.00666902239               0.0   0.0927136340163  -0.0554603205874   0.0554603205874  -0.0927136340163
     BPMYB.4L2.B1            48.858   0.0140883399094               0.0      1.0071194852               0.0   0.0371730346262  -0.0977732817959   0.0977732817959  -0.0371730346262
     BPMWI.4L2.B1           73.3255   0.0272032389912               0.0     1.01388556996               0.0    0.114230429162   0.0402475436023  -0.0402475436023   -0.114230429162
     BPMSX.4L2.B1          123.4825   0.0302892061395               0.0     1.01549756205               0.0    0.189304423398   -0.224527603867    0.224527603867   -0.189304423398
      BPMS.2L2.B1           161.394   -0.046060300337                -1    0.977736076062                -1  -0.0141602839959    0.405256921014   -0.405256921014   0.0141602839959
     BPMSW.1L2.B1           171.328   0.0571541488566               0.0     1.02986346796               0.0    0.229936893083   -0.280698975984    0.280698975984   -0.229936893083
     BPMSW.1R2.B1           214.518  0.00493360796605               0.0     1.00247596936               0.0     0.27477356587   0.0960266169981  -0.0960266169981    -0.27477356587
      BPMS.2R2.B1           224.452   0.0273425373424               0.0     1.01395816876               0.0     0.14560569097 -0.000710201053284 0.000710201053284    -0.14560569097
     BPMSX.4R2.B1          262.3635   0.0232897454426               0.0     1.01185230718               0.0    0.187172387248  -0.0121496141992   0.0121496141992   -0.187172387248
     BPMWB.4R2.B1          312.5965    0.021641152474               0.0     1.01099943202               0.0     0.17410066607 -0.00402442205717  0.00402442205717    -0.17410066607
