@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:40:59"
@ Q1 %le 0.299853389971
@ MUX %le 0.0
@ Q2 %le 0.331421650825
@ MUY %le 0.0
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds.liny"
*            NAME             NAME2                 S                S1             COUNT            PHASEY            STDPHY            PHYMDL            MUYMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.5L2.B1"            28.288            28.288                 1               0.0                 0               0.0      0.1253734494
   "BPMYB.4L2.B1"    "BPMYB.5L2.B1"            48.858            28.288                 1    0.058345188721                 0      0.0545739343      0.1799473837
   "BPMWI.4L2.B1"    "BPMYB.5L2.B1"           73.3255            28.288                 1    0.089760576586                 0      0.0887198759      0.2140933253
   "BPMSX.4L2.B1"    "BPMYB.5L2.B1"          123.4825            28.288                 1    0.169849904674                 0      0.1647299921      0.2901034415
    "BPMS.2L2.B1"    "BPMYB.5L2.B1"           161.394            28.288                 1    0.207127373756                 0      0.2048110753      0.3301845247
   "BPMSW.1L2.B1"    "BPMYB.5L2.B1"           171.328            28.288                 1    0.222439393341                 0      0.2215057332      0.3468791826
   "BPMSW.1R2.B1"    "BPMYB.5L2.B1"           214.518            28.288                 1    0.592437775717                 0        0.59331152      0.7186849694
    "BPMS.2R2.B1"    "BPMYB.5L2.B1"           224.452            28.288                 1    0.618177898483                 0      0.6154997136       0.740873163
   "BPMSX.4R2.B1"    "BPMYB.5L2.B1"          262.3635            28.288                 1    0.663980396707                 0      0.6622130271      0.7875864765
   "BPMWB.4R2.B1"    "BPMYB.5L2.B1"          312.5965            28.288                 1     0.72892434787                 0      0.7261845327      0.8515579821
   "BPMYB.4R2.B1"    "BPMYB.5L2.B1"           336.988            28.288                 1     0.78145177352                 0      0.7751665754      0.9005400248
