@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:40:59"
@ Q1 %le 0.309853389971
@ MUX %le 64.30985339
@ Q2 %le 0.319421650825
@ MUY %le 61.3194216508
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds.liny"
*            NAME             NAME2                 S                S1             COUNT            PHASEY            STDPHY            PHYMDL            MUYMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.5L2.B1"            28.288            28.288                 1               0.0                 0               0.0      0.1162609817
   "BPMYB.4L2.B1"    "BPMYB.5L2.B1"            48.858            28.288                 1    0.057110587821                 0      0.0533393334      0.1696003151
   "BPMWI.4L2.B1"    "BPMYB.5L2.B1"           73.3255            28.288                 1    0.089322497686                 0       0.088281797      0.2045427787
   "BPMSX.4L2.B1"    "BPMYB.5L2.B1"          123.4825            28.288                 1    0.174761126674                 0      0.1696412141      0.2859021958
    "BPMS.2L2.B1"    "BPMYB.5L2.B1"           161.394            28.288                 1    0.215488175056                 0      0.2131718766      0.3294328583
   "BPMSW.1L2.B1"    "BPMYB.5L2.B1"           171.328            28.288                 1    0.232052201641                 0      0.2311185415      0.3473795232
   "BPMSW.1R2.B1"    "BPMYB.5L2.B1"           214.518            28.288                 1    0.592198772317                 0      0.5930725166      0.7093334983
    "BPMS.2R2.B1"    "BPMYB.5L2.B1"           224.452            28.288                 1    0.619175964583                 0      0.6164977797      0.7327587614
   "BPMSX.4R2.B1"    "BPMYB.5L2.B1"          262.3635            28.288                 1    0.668670090707                 0      0.6669027211      0.7831637028
   "BPMWB.4R2.B1"    "BPMYB.5L2.B1"          312.5965            28.288                 1     0.73885452807                 0      0.7361147129      0.8523756946
   "BPMYB.4R2.B1"    "BPMYB.5L2.B1"           336.988            28.288                 1     0.79352876482                 0      0.7872435667      0.9035045484
    "BPMR.5R2.B1"    "BPMYB.5L2.B1"           366.522            28.288                 1    0.826641253781                 0      0.8219998432      0.9382608249
     "BPM.6R2.B1"    "BPMYB.5L2.B1"           439.818            28.288                 1   0.0866387330963                 0      0.0863619353       1.202622917
   "BPM_A.7R2.B1"    "BPMYB.5L2.B1"           452.693            28.288                 1    0.120769140304                 0      0.1176795223       1.233940504
     "BPM.8R2.B1"    "BPMYB.5L2.B1"       494.1300106            28.288                 1    0.213080881263                 0      0.2119863453       1.328247327
     "BPM.9R2.B1"    "BPMYB.5L2.B1"       533.1950212            28.288                 1    0.320763505018                 0      0.3173565153       1.433617497
    "BPM.10R2.B1"    "BPMYB.5L2.B1"       573.6580318            28.288                 1    0.433062448975                 0      0.4289480763       1.545209058
    "BPM.11R2.B1"    "BPMYB.5L2.B1"       625.4967424            28.288                 1    0.608522525362                 0      0.6014437243       1.717704706
    "BPM.14R2.B1"    "BPMYB.5L2.B1"       787.1172901            28.288                 1    0.981366216845                 0      0.9763476553       2.092608637
    "BPM.15R2.B1"    "BPMYB.5L2.B1"        840.565806            28.288                 1    0.113512292336                 0      0.1079887313       2.224249713
    "BPM.16R2.B1"    "BPMYB.5L2.B1"       894.0143219            28.288                 1    0.220873827366                 0      0.2152213573       2.331482339
    "BPM.17R2.B1"    "BPMYB.5L2.B1"       947.4628378            28.288                 1    0.345802002746                 0      0.3434616073       2.459722589
    "BPM.18R2.B1"    "BPMYB.5L2.B1"       1000.911354            28.288                 1    0.456206173034                 0      0.4548773553       2.571138337
    "BPM.19R2.B1"    "BPMYB.5L2.B1"        1054.35987            28.288                 1    0.589908302608                 0      0.5871648293       2.703425811
    "BPM.20R2.B1"    "BPMYB.5L2.B1"       1107.808386            28.288                 1    0.695050261316                 0      0.6948453023       2.811106284
    "BPM.21R2.B1"    "BPMYB.5L2.B1"       1161.256901            28.288                 1     0.82194466214                 0      0.8225368903       2.938797872
    "BPM.22R2.B1"    "BPMYB.5L2.B1"       1214.705417            28.288                 1    0.931006737217                 0      0.9334127203       3.049673702
    "BPM.23R2.B1"    "BPMYB.5L2.B1"       1268.153933            28.288                 1   0.0673235911923                 0      0.0654936383        3.18175462
    "BPM.24R2.B1"    "BPMYB.5L2.B1"       1321.602449            28.288                 1      0.1765926873                 0      0.1763794643       3.292640446
    "BPM.25R2.B1"    "BPMYB.5L2.B1"       1375.050965            28.288                 1    0.309053440943                 0      0.3084664543       3.424727436
    "BPM.26R2.B1"    "BPMYB.5L2.B1"       1428.499481            28.288                 1    0.422757543096                 0      0.4193429073       3.535603889
    "BPM.27R2.B1"    "BPMYB.5L2.B1"       1481.947997            28.288                 1    0.553703738473                 0      0.5514228733       3.667683855
    "BPM.28R2.B1"    "BPMYB.5L2.B1"       1535.396513            28.288                 1    0.664785785252                 0      0.6623081593       3.778569141
    "BPM.29R2.B1"    "BPMYB.5L2.B1"       1588.845029            28.288                 1    0.794784892878                 0      0.7943960473       3.910657029
    "BPM.30R2.B1"    "BPMYB.5L2.B1"       1642.293545            28.288                 1    0.904663152021                 0      0.9052731083        4.02153409
    "BPM.31R2.B1"    "BPMYB.5L2.B1"        1695.74206            28.288                 1   0.0389938881703                 0      0.0373522393       4.153613221
    "BPM.32R2.B1"    "BPMYB.5L2.B1"       1749.190576            28.288                 1    0.151109588188                 0      0.1482368523       4.264497834
    "BPM.33R2.B1"    "BPMYB.5L2.B1"       1802.639092            28.288                 1    0.280945956631                 0      0.2803255073       4.396586489
    "BPM.33L3.B1"    "BPMYB.5L2.B1"       1909.536124            28.288                 1    0.522775410102                 0      0.5232817373       4.639542719
