@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:40:59"
@ Q1 %le 0.299853389971
@ MUX %le 0.0
@ Q2 %le 0.331421650825
@ MUY %le 0.0
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds.liny"
*            NAME             NAME2                 S                S1             COUNT            PHASEY            STDPHY            PHYMDL            MUYMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.4L2.B1"            28.288            48.858                 1    0.058345188721                 0      0.0545739343      0.1253734494
   "BPMYB.4L2.B1"    "BPMWI.4L2.B1"            48.858           73.3255                 1    0.031415387865                 0      0.0341459416      0.1799473837
   "BPMWI.4L2.B1"    "BPMSX.4L2.B1"           73.3255          123.4825                 1    0.080089328088                 0      0.0760101162      0.2140933253
   "BPMSX.4L2.B1"     "BPMS.2L2.B1"          123.4825           161.394                 1    0.037277469082                 0      0.0400810832      0.2901034415
    "BPMS.2L2.B1"    "BPMSW.1L2.B1"           161.394           171.328                 1    0.015312019585                 0      0.0166946579      0.3301845247
   "BPMSW.1L2.B1"    "BPMSW.1R2.B1"           171.328           214.518                 1    0.369998382376                 0      0.3718057868      0.3468791826
   "BPMSW.1R2.B1"     "BPMS.2R2.B1"           214.518           224.452                 1    0.025740122766                 0      0.0221881936      0.7186849694
    "BPMS.2R2.B1"    "BPMSX.4R2.B1"           224.452          262.3635                 1    0.045802498224                 0      0.0467133135       0.740873163
   "BPMSX.4R2.B1"    "BPMWB.4R2.B1"          262.3635          312.5965                 1    0.064943951163                 0      0.0639715056      0.7875864765
   "BPMWB.4R2.B1"    "BPMYB.4R2.B1"          312.5965           336.988                 1   0.0525274256499                 0      0.0489820427      0.8515579821
   "BPMYB.4R2.B1"     "BPMR.5R2.B1"           336.988           366.522                 1   0.0330916215604                 0      0.0347354091      0.9005400248
    "BPMR.5R2.B1"      "BPM.6R2.B1"           366.522           439.818                 1    0.272607549316                 0      0.2769721621      0.9352754339
     "BPM.6R2.B1"    "BPM_A.7R2.B1"           439.818           452.693                 1    0.032547337208                 0       0.029734517       1.212247596
   "BPM_A.7R2.B1"      "BPM.8R2.B1"           452.693       494.1300106                 1    0.085109737959                 0        0.08710482       1.241982113
     "BPM.8R2.B1"      "BPM.9R2.B1"       494.1300106       533.1950212                 1    0.103785871755                 0       0.101473418       1.329086933
     "BPM.9R2.B1"     "BPM.10R2.B1"       533.1950212       573.6580318                 1    0.119149716957                 0       0.118442334       1.430560351
    "BPM.10R2.B1"     "BPM.11R2.B1"       573.6580318       625.4967424                 1    0.180623849387                 0       0.177659421       1.549002685
    "BPM.11R2.B1"     "BPM.14R2.B1"       625.4967424       787.1172901                 1    0.371564700483                 0        0.37362494       1.726662106
    "BPM.14R2.B1"     "BPM.15R2.B1"       787.1172901        840.565806                 1    0.133078582491                 0       0.132573583       2.100287046
    "BPM.15R2.B1"     "BPM.16R2.B1"        840.565806       894.0143219                 1     0.09935160603                 0       0.099222697       2.232860629
    "BPM.16R2.B1"     "BPM.17R2.B1"       894.0143219       947.4628378                 1     0.12196978238                 0       0.125281857       2.332083326
    "BPM.17R2.B1"     "BPM.18R2.B1"       947.4628378       1000.911354                 1    0.118792929288                 0       0.119804507       2.457365183
    "BPM.18R2.B1"     "BPM.19R2.B1"       1000.911354        1054.35987                 1    0.137264852574                 0       0.135850197        2.57716969
    "BPM.19R2.B1"     "BPM.20R2.B1"        1054.35987       1107.808386                 1    0.097711187708                 0       0.100249702       2.713019887
    "BPM.20R2.B1"     "BPM.21R2.B1"       1107.808386       1161.256901                 1    0.121755494823                 0       0.122552682       2.813269589
    "BPM.21R2.B1"     "BPM.22R2.B1"       1161.256901       1214.705417                 1    0.116225788077                 0       0.118039543       2.935822271
    "BPM.22R2.B1"     "BPM.23R2.B1"       1214.705417       1268.153933                 1    0.142336548975                 0       0.138100613       3.053861814
    "BPM.23R2.B1"     "BPM.24R2.B1"       1268.153933       1321.602449                 1    0.102715312108                 0       0.104332042       3.191962427
    "BPM.24R2.B1"     "BPM.25R2.B1"       1321.602449       1375.050965                 1    0.125676812643                 0       0.125303049       3.296294469
    "BPM.25R2.B1"     "BPM.26R2.B1"       1375.050965       1428.499481                 1    0.119778597153                 0       0.116950948       3.421597518
    "BPM.26R2.B1"     "BPM.27R2.B1"       1428.499481       1481.947997                 1    0.138356543377                 0       0.139490314       3.538548466
    "BPM.27R2.B1"     "BPM.28R2.B1"       1481.947997       1535.396513                 1    0.105519548779                 0       0.105322788        3.67803878
    "BPM.28R2.B1"     "BPM.29R2.B1"       1535.396513       1588.845029                 1    0.122133875626                 0       0.124222656       3.783361568
    "BPM.29R2.B1"     "BPM.30R2.B1"       1588.845029       1642.293545                 1    0.114675713143                 0       0.115674515       3.907584224
    "BPM.30R2.B1"     "BPM.31R2.B1"       1642.293545        1695.74206                 1    0.142898689149                 0       0.140647084       4.023258739
    "BPM.31R2.B1"     "BPM.32R2.B1"        1695.74206       1749.190576                 1    0.107721383018                 0       0.106490296       4.163905823
    "BPM.32R2.B1"     "BPM.33R2.B1"       1749.190576       1802.639092                 1    0.121127439443                 0       0.123379726       4.270396119
    "BPM.33R2.B1"     "BPM.33L3.B1"       1802.639092       1909.536124                 1    0.254658208471                 0       0.255784985       4.393775845
    "BPM.33L3.B1"     "BPM.32L3.B1"       1909.536124        1962.98464                 1    0.111644523846                 0       0.107806477        4.64956083
    "BPM.32L3.B1"     "BPM.31L3.B1"        1962.98464       2016.433156                 1    0.123493712089                 0       0.122792852       4.757367307
    "BPM.31L3.B1"     "BPM.30L3.B1"       2016.433156       2069.881672                 1    0.109307206268                 0       0.112758157       4.880160159
    "BPM.30L3.B1"     "BPM.29L3.B1"       2069.881672       2123.330188                 1    0.142484289929                 0       0.142089707       4.992918316
    "BPM.29L3.B1"     "BPM.26L3.B1"       2123.330188       2283.675735                 1    0.346455434999                 0       0.342934088       5.135008023
    "BPM.26L3.B1"     "BPM.25L3.B1"       2283.675735       2337.124251                 1    0.140576104407                 0       0.142316917       5.477942111
    "BPM.25L3.B1"     "BPM.24L3.B1"       2337.124251       2390.572767                 1    0.112934046725                 0       0.110743447       5.620259028
    "BPM.24L3.B1"     "BPM.23L3.B1"       2390.572767       2444.021283                 1    0.125044192195                 0       0.122431335       5.731002475
    "BPM.23L3.B1"     "BPM.22L3.B1"       2444.021283       2497.469799                 1    0.108264329884                 0        0.10970162        5.85343381
    "BPM.22L3.B1"     "BPM.21L3.B1"       2497.469799       2550.918315                 1     0.14132092695                 0       0.142197579        5.96313543
    "BPM.21L3.B1"     "BPM.20L3.B1"       2550.918315       2604.366831                 1    0.108003776628                 0       0.109149435       6.105333009
    "BPM.20L3.B1"     "BPM.19L3.B1"       2604.366831       2657.815347                 1    0.122611173179                 0       0.118851979       6.214482444
    "BPM.19L3.B1"     "BPM.18L3.B1"       2657.815347       2711.263863                 1    0.105561465022                 0       0.107597579       6.333334423
    "BPM.18L3.B1"     "BPM.17L3.B1"       2711.263863       2764.712379                 1    0.141678075762                 0       0.141926934       6.440932002
    "BPM.17L3.B1"     "BPM.16L3.B1"       2764.712379       2818.160894                 1    0.110336161321                 0       0.111837251       6.582858936
    "BPM.16L3.B1"     "BPM.14L3.B1"       2818.160894       2925.057926                 1    0.225876556363                 0       0.224552225       6.694696187
    "BPM.14L3.B1"     "BPM.13L3.B1"       2925.057926       2978.506442                 1    0.137161522181                 0        0.14076668       6.919248412
    "BPM.13L3.B1"     "BPM.12L3.B1"       2978.506442       3031.954958                 1     0.11898680938                 0       0.120068844       7.060015092
    "BPM.12L3.B1"     "BPM.11L3.B1"       3031.954958       3085.403474                 1    0.127947535099                 0       0.124622279       7.180083936
    "BPM.11L3.B1"     "BPM.10L3.B1"       3085.403474       3138.184185                 1    0.104211824941                 0       0.101855306       7.304706215
    "BPM.10L3.B1"      "BPM.9L3.B1"       3138.184185       3177.249195                 1    0.119916360585                 0       0.122864417       7.406561521
     "BPM.9L3.B1"      "BPM.8L3.B1"       3177.249195       3217.712206                 1    0.175490568419                 0       0.174248806       7.529425938
     "BPM.8L3.B1"      "BPM.7L3.B1"       3217.712206       3256.776216                 1    0.161056410271                 0       0.161609299       7.703674744
     "BPM.7L3.B1"      "BPM.6L3.B1"       3256.776216       3329.415216                 1    0.118439242628                 0       0.120050394       7.865284043
     "BPM.6L3.B1"   "BPMWG.A5L3.B1"       3329.415216       3371.119716                 1    0.049770922983                 0       0.050448034       7.985334437
  "BPMWG.A5L3.B1"     "BPMW.5L3.B1"       3371.119716       3400.089716                 1   0.0171481021458                 0        0.01697708       8.035782471
    "BPMW.5L3.B1"    "BPMWE.4L3.B1"       3400.089716       3475.217716                 1   0.0815800779767                 0       0.078715883       8.052759551
   "BPMWE.4L3.B1"     "BPMW.4L3.B1"       3475.217716       3502.762716                 1      0.0425146252                 0        0.04659238       8.131475434
    "BPMW.4L3.B1"     "BPMW.4R3.B1"       3502.762716       3547.727716                 1    0.033385266356                 0       0.034404188       8.178067814
    "BPMW.4R3.B1"    "BPMWE.4R3.B1"       3547.727716       3575.272716                 1    0.011196467239                 0       0.010805024       8.212472002
   "BPMWE.4R3.B1"     "BPMW.5R3.B1"       3575.272716       3650.400716                 1    0.067647272769                 0       0.068322962       8.223277026
    "BPMW.5R3.B1"   "BPMWJ.A5R3.B1"       3650.400716       3679.118716                 1    0.057344882421                 0       0.058567031       8.291599988
  "BPMWJ.A5R3.B1"    "BPMWC.6R3.B1"       3679.118716       3718.936716                 1    0.043814464269                 0       0.042891385       8.350167019
   "BPMWC.6R3.B1"     "BPMR.6R3.B1"       3718.936716       3731.015216                 1    0.006499426171                 0       0.007501521       8.393058404
    "BPMR.6R3.B1"    "BPM_A.7R3.B1"       3731.015216       3786.839216                 1    0.072502129068                 0       0.072852301       8.400559925
   "BPM_A.7R3.B1"      "BPM.8R3.B1"       3786.839216       3825.903227                 1    0.065258317935                 0       0.066714684       8.473412226
