@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250/Beam1@Turn@2017_09_11@19_02_33_250.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:40:59"
@ f2h_factor %le 0.0963530566911
@ p_f2h_factor %le 587.256532969
@ FILES %s ""
*            NAME                 S            AMP_20         AMP_20std          PHASE_20       PHASE_20std             f3000          f3000std      phase_f_3000   phase_f_3000std             h3000         h3000_std      phase_h_3000  phase_h_3000_std
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
     BPMWB.4R5.B1       10340.87015  0.00121798519456               0.0   0.0126237177379   0.0126237177379    0.118587618983               0.0    0.256949501673               0.0     1.23076135886               0.0 0.000416533099951               0.0
      BPM.12L3.B1       3031.954958  0.00199100120782               0.0   0.0915827769404   0.0915827769404    0.193851365093               0.0    0.215028409348               0.0     2.01188599252               0.0    0.958495440775               0.0
      BPM.25R7.B1       18037.25725  0.00230307486082               0.0    0.745998277716    0.745998277716    0.224236029554               0.0    0.881406301953               0.0     2.32723316992               0.0     0.62487333338               0.0
      BPM.16L2.B1       26145.16812  0.00301393364728               0.0    0.467012179555    0.467012179555    0.293447914311               0.0    0.570870914306               0.0     3.04554857301               0.0    0.314337945733               0.0
       BPM.8R3.B1       3825.903227   0.0020332239492               0.0    0.695657231738    0.695657231738    0.197962329979               0.0    0.843190880542               0.0      2.0545516331               0.0    0.586657911969               0.0
       BPM.9L5.B1       9841.817628  0.00332738071148               0.0    0.100024370829    0.100024370829    0.323966299252               0.0    0.154321264697               0.0     3.36228356813               0.0    0.897788296124               0.0
      BPM.23R3.B1        4600.86915   0.0272867453926               0.0    0.221128870702    0.221128870702     2.65674014788               0.0     0.21636018777               0.0     27.5729721413               0.0    0.959827219197               0.0
      BPM.22L3.B1       2497.469799  0.00155066911322               0.0    0.715000370447    0.715000370447    0.150978976418               0.0    0.850553218331               0.0     1.56693499514               0.0    0.594020249759               0.0
      BPM.20R4.B1       7772.376818 0.000846743978824               0.0     0.46282999624     0.46282999624   0.0824421781033               0.0    0.603860914515               0.0    0.855625975288               0.0    0.347327945942               0.0
    BPMWA.B5R4.B1       6890.438933  0.00065475320517               0.0    0.412786038892    0.412786038892   0.0637492343663               0.0    0.583136481307               0.0    0.661621297295               0.0    0.326603512734               0.0
      BPM.27L2.B1        25557.2018  0.00167192924944               0.0    0.178101239981    0.178101239981    0.162785319301               0.0    0.308551151252               0.0     1.68946710038               0.0   0.0520181826794               0.0
      BPM.19R6.B1       14383.68076  0.00200351471339               0.0    0.640501911187    0.640501911187    0.195069727054               0.0    0.758294711161               0.0     2.02453075962               0.0    0.501761742588               0.0
      BPM.19L4.B1       5990.530563 0.000920251311398               0.0    0.648024502336    0.648024502336   0.0895991284396               0.0    0.788016556974               0.0    0.929904369582               0.0    0.531483588401               0.0
      BPM.20R2.B1       1107.808386  0.00199177162341               0.0    0.615662650987    0.615662650987    0.193926375651               0.0    0.749070687954               0.0     2.01266448944               0.0    0.492537719381               0.0
