@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ Q1 %le 0.309858916597
@ Q2 %le 0.31942165071
@ RMSbetabeat %le 1.87871856889
@ RescalingFactor %le 1.00422852685
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds.linx"
*            NAME                 S             COUNT              BETX           BETXSTD           BETXMDL            MUXMDL           BETXRES        BETXSTDRES
$              %s               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     157.838941688               0.0        175.128565     0.03145312858     158.506367891               0.0
   "BPMYB.4L2.B1"            48.858                 1     75.2820923768               0.0       84.35832101     0.05851807485     75.6004247258               0.0
   "BPMWI.4L2.B1"           73.3255                 1     69.4151904627               0.0       83.45002126      0.1097876872     69.7087144594               0.0
   "BPMSX.4L2.B1"          123.4825                 1     142.970986282               0.0       170.5391556      0.1788502064     143.575542936               0.0
    "BPMS.2L2.B1"           161.394                 1     60.0078256337               0.0       63.40330267       0.229253766     60.2615703356               0.0
   "BPMSW.1L2.B1"           171.328                 1     50.6806522547               0.0        56.6340898      0.2526788187     50.8949567536               0.0
   "BPMSW.1R2.B1"           214.518                 1     54.6611002771               0.0        56.6345024      0.6146370966     54.8922362072               0.0
    "BPMS.2R2.B1"           224.452                 1     164.263707621               0.0       173.4266688       0.632582971      164.95830112               0.0
   "BPMSX.4R2.B1"          262.3635                 1       81.77590325               0.0       100.2196997      0.6761117673     82.1216948526               0.0
   "BPMWB.4R2.B1"          312.5965                 1     96.1911321167               0.0       104.9354204      0.7575836096     96.5978789016               0.0
   "BPMYB.4R2.B1"           336.988                 1     95.5983476714               0.0       101.2151279      0.7924101326     96.0025878514               0.0
    "BPMR.5R2.B1"           366.522                 1     35.8725985754               0.0       32.77197257      0.8883971562     36.0242868217               0.0
     "BPM.6R2.B1"           439.818                 1     164.240455693               0.0       181.6208991       1.036087404      164.93495087               0.0
   "BPM_A.7R2.B1"           452.693                 1     80.8661934414               0.0       85.21587822        1.05258811     81.2081383116               0.0
