@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ Q1 %le 0.309858916597
@ Q2 %le 0.31942165071
@ RMSbetabeat %le 0.11238137627
@ RescalingFactor %le 1.01836645655
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds.liny"
*            NAME                 S             COUNT              BETY           BETYSTD           BETYMDL            MUYMDL           BETYRES        BETYSTDRES
$              %s               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     38.4442924162               0.0       38.64523318      0.1162609817     39.1503778423               0.0
   "BPMYB.4L2.B1"            48.858                 1     97.3930569222               0.0       101.2136214      0.1696003151     99.1818222701               0.0
   "BPMWI.4L2.B1"           73.3255                 1     99.9980305023               0.0       104.8860506      0.2045427787     101.834639984               0.0
   "BPMSX.4L2.B1"          123.4825                 1     95.6004696365               0.0       100.2155855      0.2859021958     97.3563115078               0.0
    "BPMS.2L2.B1"           161.394                 1     174.492041984               0.0       173.4189685      0.3294328583      177.69684249               0.0
   "BPMSW.1L2.B1"           171.328                 1     52.9956690672               0.0       56.63204898      0.3473795232     53.9690117203               0.0
   "BPMSW.1R2.B1"           214.518                 1     57.4398235169               0.0        56.6339459      0.7093334983     58.4947895395               0.0
    "BPMS.2R2.B1"           224.452                 1     61.2806137784               0.0       63.40233304      0.7327587614     62.4061215084               0.0
   "BPMSX.4R2.B1"          262.3635                 1     163.177749055               0.0       170.5322612      0.7831637028     166.174746093               0.0
   "BPMWB.4R2.B1"          312.5965                 1     76.1687312913               0.0       83.36829239      0.8523756946     77.5676809847               0.0
   "BPMYB.4R2.B1"           336.988                 1     79.1074211579               0.0        84.3514057      0.9035045484     80.5603441711               0.0
    "BPMR.5R2.B1"           366.522                 1     167.795966243               0.0       177.6713376      0.9382608249     170.877783566               0.0
     "BPM.6R2.B1"           439.818                 1     39.2809316239               0.0       41.49103593       1.202622917     40.0023831476               0.0
   "BPM_A.7R2.B1"           452.693                 1     98.9133758708               0.0       104.5241018       1.233940504     100.730064091               0.0
