@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ Q1 %le 0.299858916597
@ Q2 %le 0.33142165071
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds.linx"
*            NAME                 S             COUNT              BETX           SYSBETX          STATBETX           ERRBETX     CORR_ALFABETA              ALFX           SYSALFX          STATALFX           ERRALFX           BETXMDL           ALFXMDL            MUXMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     137.363403983               0.0               0.0   0.0536388916922               0.0      1.5164942183               0.0               0.0 0.000871076100731       177.1517339       2.787395652      0.0307105773                36
   "BPMYB.4L2.B1"            48.858                 1     66.3136132937               0.0               0.0    0.010344565967               0.0     1.05261547373               0.0               0.0 0.000295695010708       83.42430573       1.769115199     0.05777070718                43
   "BPMWI.4L2.B1"           73.3255                 1      81.822145212               0.0               0.0  0.00848499687541               0.0   -0.379251488485               0.0               0.0 6.18001516998e-05       79.46384864     -0.4262203305      0.1106630256                35
   "BPMSX.4L2.B1"          123.4825                 1     157.244560502               0.0               0.0   0.0373399745921               0.0    -1.06931166051               0.0               0.0 0.000124155380972       159.6296909      -1.172077859      0.1841212942                35
    "BPMS.2L2.B1"           161.394                 1     53.6421190672               0.0               0.0   0.0613417709194               0.0    -1.50713481043               0.0               0.0  0.00690799437454       60.51586181      -1.285964729      0.2375585824                41
   "BPMSW.1L2.B1"           171.328                 1       72.10408872               0.0               0.0   0.0266220370074               0.0    0.899572589319               0.0               0.0 0.000233533760685       54.94020744       2.036257855      0.2619098945                33
   "BPMSW.1R2.B1"           214.518                 1     41.5473559498               0.0               0.0   0.0262248070255               0.0    -0.18567738976               0.0               0.0 0.000299623450538       53.78132057      -2.009425559      0.6157627793                33
    "BPMS.2R2.B1"           224.452                 1     102.066174196               0.0               0.0    0.183985551842               0.0    -6.29954625898               0.0               0.0   0.0234092631144       163.3198522      -10.17836893      0.6347445753                41
   "BPMSX.4R2.B1"          262.3635                 1     107.274255365               0.0               0.0   0.0201370059852               0.0    0.359083772246               0.0               0.0 0.000212591847426       93.77997746      0.1943010118      0.6811952369                34
   "BPMWB.4R2.B1"          312.5965                 1     99.5021429317               0.0               0.0   0.0168286106224               0.0   -0.184293658722               0.0               0.0 0.000234255601859       102.1823307     -0.3615686098      0.7669564086                34
