@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ Q1 %le 0.309858916597
@ Q2 %le 0.31942165071
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds.linx"
*            NAME                 S             COUNT              BETX           SYSBETX          STATBETX           ERRBETX     CORR_ALFABETA              ALFX           SYSALFX          STATALFX           ERRALFX           BETXMDL           ALFXMDL            MUXMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     145.104571225               0.0               0.0   0.0528553512937               0.0      1.6538539294               0.0               0.0 0.000870205424978        175.128565       2.690097133     0.03145312858                36
   "BPMYB.4L2.B1"            48.858                 1     68.1160673655               0.0               0.0    0.010463199588               0.0     1.15644954381               0.0               0.0 0.000292489120756       84.35832101       1.722651722     0.05851807485                43
   "BPMWI.4L2.B1"           73.3255                 1     80.7087322027               0.0               0.0  0.00873361278132               0.0   -0.310670175239               0.0               0.0 6.13517897482e-05       83.45002126     -0.4942360246      0.1097876872                35
   "BPMSX.4L2.B1"          123.4825                 1     148.054841495               0.0               0.0   0.0389769959235               0.0   -0.981722273753               0.0               0.0 0.000125381522323       170.5391556      -1.242094584      0.1788502064                35
    "BPMS.2L2.B1"           161.394                 1     51.5874569629               0.0               0.0    0.043087698196               0.0    -1.84652181917               0.0               0.0  0.00532501296944       63.40330267      -1.298296023       0.229253766                41
   "BPMSW.1L2.B1"           171.328                 1     67.0304872652               0.0               0.0   0.0361074405932               0.0    0.790992475408               0.0               0.0 0.000685733978289        56.6340898       2.159488951      0.2526788187                33
   "BPMSW.1R2.B1"           214.518                 1     44.7267163554               0.0               0.0   0.0335919050077               0.0   -0.273198797103               0.0               0.0 0.000671851101302        56.6345024      -2.159498505      0.6146370966                33
    "BPMS.2R2.B1"           224.452                 1     112.173244097               0.0               0.0    0.154198944101               0.0    -7.92873201759               0.0               0.0   0.0193277161081       173.4266688      -10.83847471       0.632582971                41
   "BPMSX.4R2.B1"          262.3635                 1     114.209280223               0.0               0.0   0.0205107647599               0.0    0.375262185296               0.0               0.0 9.71738481141e-05       100.2196997      0.2152920739      0.6761117673                34
   "BPMWB.4R2.B1"          312.5965                 1     101.575539477               0.0               0.0   0.0137186760521               0.0    -0.12498975805               0.0               0.0 0.000101201558224       104.9354204     -0.3091690223      0.7575836096                34
   "BPMYB.4R2.B1"           336.988                 1     93.5917760688               0.0               0.0    0.029921942646               0.0     1.92505079263               0.0               0.0 0.000913579769775       101.2151279       2.049233201      0.7924101326                33
    "BPMR.5R2.B1"           366.522                 1     29.7453066453               0.0               0.0   0.0114816826328               0.0   -0.467357682365               0.0               0.0 0.000141057045862       32.77197257     -0.3096752397      0.8883971562                42
     "BPM.6R2.B1"           439.818                 1      208.27607043               0.0               0.0    0.122590095659               0.0     5.57296949223               0.0               0.0  0.00483144948314       181.6208991       4.495719562       1.036087404                34
   "BPM_A.7R2.B1"           452.693                 1     86.8150746344               0.0               0.0   0.0593577014355               0.0     3.84564152244               0.0               0.0  0.00236440092365       85.21587822       2.992049051        1.05258811                35
     "BPM.8R2.B1"       494.1300106                 1     88.6483314791               0.0               0.0   0.0853862521643               0.0   -0.431882177079               0.0               0.0  0.00201642313702       113.0897601      -1.026351501       1.134746992                43
     "BPM.9R2.B1"       533.1950212                 1     17.1545442681               0.0               0.0   0.0092037318036               0.0    0.227321821108               0.0               0.0 0.000231765706104       15.94722448      0.2479066568       1.292805637                34
    "BPM.10R2.B1"       573.6580318                 1      157.27214728               0.0               0.0    0.194688995085               0.0    -3.27854905654               0.0               0.0  0.00495016075189       171.7411105      -3.735870934       1.460281322                34
    "BPM.11R2.B1"       625.4967424                 1     34.1663249009               0.0               0.0   0.0350338664666               0.0    0.579871353733               0.0               0.0 0.000673301576592       32.90159014      0.6368100146       1.566688573                33
    "BPM.12R2.B1"       680.2202583                 1     171.507246197               0.0               0.0    0.255651289255               0.0    -2.35313241075               0.0               0.0  0.00479496790653       174.1654418      -2.397279276       1.709291425                33
    "BPM.13R2.B1"       733.6687742                 1     36.0401800691               0.0               0.0   0.0427157901412               0.0    0.483613653082               0.0               0.0 0.000795628812943       33.14947812      0.5386228862       1.822798755                31
    "BPM.14R2.B1"       787.1172901                 1     154.540521789               0.0               0.0    0.271976274041               0.0    -2.00924548416               0.0               0.0  0.00514941774106         170.35043      -2.347473783       1.960490566                23
    "BPM.15R2.B1"        840.565806                 1     34.7734216553               0.0               0.0   0.0467294646294               0.0    0.393805865826               0.0               0.0 0.000869638171859       34.55300863      0.5316580846       2.072703938                21
    "BPM.16R2.B1"       894.0143219                 1     177.992945272               0.0               0.0    0.269676015512               0.0    -2.37773401428               0.0               0.0  0.00510489540708       168.8433479       -2.28480196       2.207282493                21
