@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ Q1 %le 0.309858916597
@ Q2 %le 0.31942165071
@ RMSbetabeat %le 0
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds.linx"
*            NAME                 S             COUNT              BETX           SYSBETX          STATBETX           ERRBETX     CORR_ALFABETA              ALFX           SYSALFX          STATALFX           ERRALFX           BETXMDL           ALFXMDL            MUXMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     135.794639395               0.0               0.0   0.0536388916922               0.0     1.57134452081               0.0               0.0 0.000871076100731        175.128565       2.690097133     0.03145312858                36
   "BPMYB.4L2.B1"            48.858                 1     67.0560579272               0.0               0.0    0.010344565967               0.0     1.08100668841               0.0               0.0 0.000295695010708       84.35832101       1.722651722     0.05851807485                43
   "BPMWI.4L2.B1"           73.3255                 1     85.9266178815               0.0               0.0  0.00848499687541               0.0   -0.327059717865               0.0               0.0 6.18001516998e-05       83.45002126     -0.4942360246      0.1097876872                35
   "BPMSX.4L2.B1"          123.4825                 1     167.991019838               0.0               0.0   0.0373399745921               0.0     -1.0090346885               0.0               0.0 0.000124155380972       170.5391556      -1.242094584      0.1788502064                35
    "BPMS.2L2.B1"           161.394                 1     56.2015876392               0.0               0.0   0.0613417709194               0.0    -1.49281995302               0.0               0.0  0.00690799437454       63.40330267      -1.298296023       0.229253766                41
   "BPMSW.1L2.B1"           171.328                 1     74.3271572095               0.0               0.0   0.0266220370074               0.0    0.848238538241               0.0               0.0 0.000233533760685        56.6340898       2.159488951      0.2526788187                33
   "BPMSW.1R2.B1"           214.518                 1     43.7515071276               0.0               0.0   0.0262248070255               0.0   -0.172773860157               0.0               0.0 0.000299623450538        56.6345024      -2.159498505      0.6146370966                33
    "BPMS.2R2.B1"           224.452                 1     108.382394116               0.0               0.0    0.183985551842               0.0    -5.91587909102               0.0               0.0   0.0234092631144       173.4266688      -10.83847471       0.632582971                41
   "BPMSX.4R2.B1"          262.3635                 1     114.640608256               0.0               0.0   0.0201370059852               0.0    0.324072962857               0.0               0.0 0.000212591847426       100.2196997      0.2152920739      0.6761117673                34
   "BPMWB.4R2.B1"          312.5965                 1     102.183020564               0.0               0.0   0.0168286106224               0.0   -0.215528714628               0.0               0.0 0.000234255601859       104.9354204     -0.3091690223      0.7575836096                34
