@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ Q1 %le 0.309858916597
@ Q2 %le 0.31942165071
@ RMSbetabeat %le 0
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds.liny"
*            NAME                 S             COUNT              BETY           SYSBETY          STATBETY           ERRBETY     CORR_ALFABETA              ALFY           SYSALFY          STATALFY           ERRALFY           BETYMDL           ALFYMDL            MUYMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     40.6091967911               0.0               0.0  0.00883848876057               0.0    -1.00493421819               0.0               0.0 3.48435705744e-05       38.64523318     -0.9925421098      0.1162609817                43
   "BPMYB.4L2.B1"            48.858                 1     104.695488944               0.0               0.0   0.0274982634904               0.0    -2.07671385764               0.0               0.0 7.79102108439e-05       101.2136214      -2.049187992      0.1696003151                41
   "BPMWI.4L2.B1"           73.3255                 1     104.608932384               0.0               0.0   0.0129399476367               0.0    0.365217197037               0.0               0.0 8.64224536967e-05       104.8860506      0.3084022915      0.2045427787                35
   "BPMSX.4L2.B1"          123.4825                 1     92.6479414397               0.0               0.0   0.0221252021784               0.0   -0.832692373419               0.0               0.0 4.79566394785e-05       100.2155855     -0.2152853768      0.2859021958                35
    "BPMS.2L2.B1"           161.394                 1     185.362902361               0.0               0.0    0.160626765364               0.0     11.9487589819               0.0               0.0   0.0108481993859       173.4189685       10.83799366      0.3294328583                40
   "BPMSW.1L2.B1"           171.328                 1     71.9952010283               0.0               0.0    0.040294914412               0.0     3.28987965755               0.0               0.0 9.36938147889e-05       56.63204898       2.159395214      0.3473795232                33
   "BPMSW.1R2.B1"           214.518                 1     29.5408629689               0.0               0.0   0.0473231561076               0.0    -2.36239146574               0.0               0.0 9.37532952882e-05        56.6339459      -2.159439135      0.7093334983                33
    "BPMS.2R2.B1"           224.452                 1     42.1836357193               0.0               0.0   0.0594573338802               0.0     1.02785561749               0.0               0.0  0.00177116708581       63.40233304       1.298317853      0.7327587614                40
   "BPMSX.4R2.B1"          262.3635                 1     184.010570191               0.0               0.0   0.0407069403782               0.0     2.71644617507               0.0               0.0 6.91347212938e-05       170.5322612        1.24211527      0.7831637028                33
   "BPMWB.4R2.B1"          312.5965                 1     88.5365421817               0.0               0.0  0.00838953157358               0.0    0.606773736411               0.0               0.0 8.63166152258e-05       83.36829239       0.493078106      0.8523756946                33
   "BPMYB.4R2.B1"           336.988                 1     82.9586058001               0.0               0.0   0.0242117875133               0.0    -1.42366577653               0.0               0.0 0.000976305663597        84.3514057      -1.722529733      0.9035045484                41
    "BPMR.5R2.B1"           366.522                 1     146.293831245               0.0               0.0     0.10944056532               0.0     2.50829876835               0.0               0.0 0.000182682364782       177.6713376       2.547373094      0.9382608249                34
     "BPM.6R2.B1"           439.818                 1     38.8913712312               0.0               0.0   0.0143714562986               0.0    -1.75435359998               0.0               0.0 7.34763134126e-06       41.49103593      -1.793600967       1.202622917                42
   "BPM_A.7R2.B1"           452.693                 1     80.8073914544               0.0               0.0   0.0626415196749               0.0     -3.4068074098               0.0               0.0 2.65565350767e-05       104.5241018      -3.102171138       1.233940504                43
     "BPM.8R2.B1"       494.1300106                 1     41.5850272956               0.0               0.0   0.0248926486337               0.0    0.571076506745               0.0               0.0  0.00019589078523       37.19868334      0.6128231884       1.328247327                35
     "BPM.9R2.B1"       533.1950212                 1     140.805142969               0.0               0.0     0.10531330978               0.0    -2.00486623766               0.0               0.0 0.000422761650988       129.4722727      -2.061083495       1.433617497                35
    "BPM.10R2.B1"       573.6580318                 1     21.9489102669               0.0               0.0   0.0182095390323               0.0     0.56050713885               0.0               0.0 0.000176426196462       23.62376198      0.6110104275       1.545209058                41
    "BPM.11R2.B1"       625.4967424                 1     184.868033695               0.0               0.0    0.289594904477               0.0    -3.14096629536               0.0               0.0  0.00198140224572       177.7202555      -2.924280436       1.717704706                33
    "BPM.12R2.B1"       680.2202583                 1     30.2528522671               0.0               0.0    0.038322216364               0.0    0.890984645981               0.0               0.0 0.000823184571361       31.09611553      0.5171025922       1.836418256                26
    "BPM.13R2.B1"       733.6687742                 1     180.232587426               0.0               0.0    0.203263513742               0.0    -2.16067841532               0.0               0.0 0.000237639649659       169.9041625      -2.409645321       1.980789832                41
    "BPM.14R2.B1"       787.1172901                 1     34.8765832439               0.0               0.0   0.0353236491272               0.0    0.375674262193               0.0               0.0 0.000186868212914       34.91220257      0.5307588712       2.092608637                43
    "BPM.15R2.B1"        840.565806                 1     167.716940651               0.0               0.0    0.280622114199               0.0    -2.78009663102               0.0               0.0 0.000915152169891       173.2968611      -2.335549409       2.224249713                35
    "BPM.16R2.B1"       894.0143219                 1     38.2736967096               0.0               0.0   0.0354163640309               0.0    0.765636952037               0.0               0.0 0.000321255929273       36.76838923       0.567638538       2.331482339                35
    "BPM.17R2.B1"       947.4628378                 1     178.992174921               0.0               0.0    0.211974593178               0.0     -1.9801414504               0.0               0.0 0.000714080770392        171.291828      -2.257639794       2.459722589                44
    "BPM.18R2.B1"       1000.911354                 1     32.8822594376               0.0               0.0   0.0355186187593               0.0    0.399865531222               0.0               0.0 0.000230608033753       34.88902532      0.5372658641       2.571138337                45
    "BPM.19R2.B1"        1054.35987                 1     173.123244197               0.0               0.0    0.275439584015               0.0    -2.77330421667               0.0               0.0  0.00090527149312       172.1263455      -2.321031202       2.703425811                45
    "BPM.20R2.B1"       1107.808386                 1     40.2267106495               0.0               0.0   0.0350666977754               0.0    0.762251443645               0.0               0.0   0.0003011691572       36.75915125      0.5606076777       2.811106284                45
    "BPM.21R2.B1"       1161.256901                 1     172.313873918               0.0               0.0     0.21311115183               0.0    -1.93751643247               0.0               0.0 0.000730404254963       172.4767374      -2.273251375       2.938797872                45
    "BPM.22R2.B1"       1214.705417                 1      30.570833238               0.0               0.0   0.0350868971752               0.0    0.447112322086               0.0               0.0 0.000261477960792       34.93051921      0.5446993236       3.049673702                45
    "BPM.23R2.B1"       1268.153933                 1     193.960095555               0.0               0.0    0.277667414289               0.0    -2.78998741831               0.0               0.0 0.000962744297496         172.39216       -2.32365105        3.18175462                44
