@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ FILES %s ""
*            NAME                 S                S1                S2             X3000            X3000i            X3000r          X3000RMS        X3000PHASE     X3000PHASERMS            X3000M           X3000Mi           X3000Mr       X3000MPHASE
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288            48.858           73.3255     1.00093049475    0.221232571079    0.976175191665 1.48323969742e-08   0.0354704314327 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMYB.4L2.B1"            48.858           73.3255          123.4825     1.59160026957   -0.351786484289    -1.55223635042 1.48323969742e-08    0.535470431433 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMWI.4L2.B1"           73.3255          123.4825           161.394      1.0138072001   -0.253007932208    0.981729099706 1.48323969742e-08    0.959856651071 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSX.4L2.B1"          123.4825           161.394           171.328     1.75048528621     1.44162506621    -0.99293298148 1.48323969742e-08    0.345993048327 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPMS.2L2.B1"           161.394           171.328           214.518     1.30018984442    -1.07078093447    0.737510557149 1.48323969742e-08    0.845993048327 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSW.1L2.B1"           171.328           214.518           224.452               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSW.1R2.B1"           214.518           224.452          262.3635               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPMS.2R2.B1"           224.452          262.3635          312.5965               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSX.4R2.B1"          262.3635          312.5965           336.988    0.815524041762    0.244553965243   -0.777992815376 1.48323969742e-08    0.451527779854 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMWB.4R2.B1"          312.5965           336.988           366.522     4.51492191442    0.701023273737      4.4601666183 1.48323969742e-08   0.0248120682072 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMYB.4R2.B1"           336.988           366.522           439.818     5.17496404924    -1.28705083202    -5.01236002964 1.48323969742e-08    0.540002845225 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPMR.5R2.B1"           366.522           439.818           452.693     2.93264641977    0.827155956517     2.81357922351 1.48323969742e-08    0.045507375195 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.6R2.B1"           439.818           452.693       494.1300106               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPM_A.7R2.B1"           452.693       494.1300106       533.1950212               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.8R2.B1"       494.1300106       533.1950212       573.6580318               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.9R2.B1"       533.1950212       573.6580318       625.4967424               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.10R2.B1"       573.6580318       625.4967424       680.2202583               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.11R2.B1"       625.4967424       680.2202583       733.6687742    0.391771120567   0.0781882535045   -0.383889577775 1.48323969742e-08    0.468021703568 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.12R2.B1"       680.2202583       733.6687742       787.1172901    0.545886690324   -0.108946077664    0.534904693225 1.48323969742e-08    0.968021703568 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.13R2.B1"       733.6687742       787.1172901        840.565806    0.362761985745   0.0723987160211   -0.355464040685 1.48323969742e-08    0.468021703568 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.14R2.B1"       787.1172901        840.565806       894.0143219     0.10469360318   -0.104529217203  0.00586457992367 1.48323969742e-08    0.758919988237 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.15R2.B1"        840.565806       894.0143219       947.4628378    0.157879582498    0.157631685888 -0.00884387777053 1.48323969742e-08    0.258919988237 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.16R2.B1"       894.0143219       947.4628378       1000.911354    0.118830471436   -0.118643888278  0.00665647924932 1.48323969742e-08    0.758919988237 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.17R2.B1"       947.4628378       1000.911354        1054.35987               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.18R2.B1"       1000.911354        1054.35987       1107.808386               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.19R2.B1"        1054.35987       1107.808386       1161.256901               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.20R2.B1"       1107.808386       1161.256901       1214.705417               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.21R2.B1"       1161.256901       1214.705417       1268.153933               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.22R2.B1"       1214.705417       1268.153933       1321.602449               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.23R2.B1"       1268.153933       1321.602449       1428.499481               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.24R2.B1"       1321.602449       1428.499481       1481.947997               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.26R2.B1"       1428.499481       1481.947997       1535.396513               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.27R2.B1"       1481.947997       1535.396513       1588.845029               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.28R2.B1"       1535.396513       1588.845029       1642.293545               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.29R2.B1"       1588.845029       1642.293545       1802.639092               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.30R2.B1"       1642.293545       1802.639092       1856.087608               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.33R2.B1"       1802.639092       1856.087608       1909.536124    0.350054149463    0.326630229283    0.125899169477 1.48323969742e-08    0.191446978179 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.34R2.B1"       1856.087608       1909.536124        1962.98464     0.44194410368   -0.412371354936   -0.158947967603 1.48323969742e-08    0.691446978179 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.33L3.B1"       1909.536124        1962.98464       2016.433156    0.286666729978    0.267484387442    0.103101486659 1.48323969742e-08    0.191446978179 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.32L3.B1"        1962.98464       2016.433156       2069.881672               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.31L3.B1"       2016.433156       2069.881672       2123.330188               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.30L3.B1"       2069.881672       2123.330188       2176.778704               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.29L3.B1"       2123.330188       2176.778704        2230.22722               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.28L3.B1"       2176.778704        2230.22722       2283.675735               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.27L3.B1"        2230.22722       2283.675735       2337.124251               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.26L3.B1"       2283.675735       2337.124251       2390.572767               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.25L3.B1"       2337.124251       2390.572767       2444.021283    0.283905416729   -0.123044354768    0.255856155696 1.48323969742e-08    0.928657026678 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.24L3.B1"       2390.572767       2444.021283       2497.469799    0.391046333218    0.169479132556   -0.352411773854 1.48323969742e-08    0.428657026678 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.23L3.B1"       2444.021283       2497.469799       2550.918315    0.253246432251     -0.1097567782    0.228226214723 1.48323969742e-08    0.928657026678 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.22L3.B1"       2497.469799       2550.918315       2604.366831               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.21L3.B1"       2550.918315       2604.366831       2657.815347               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.20L3.B1"       2604.366831       2657.815347       2711.263863               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.19L3.B1"       2657.815347       2711.263863       2764.712379               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.18L3.B1"       2711.263863       2764.712379       2818.160894               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.17L3.B1"       2764.712379       2818.160894       2925.057926     18.0973357088     17.8622207974     2.90768429208 1.48323969742e-08    0.224317387231 1.48323969742e-08               0.0               0.0               0.0                 0
