@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ CG %le nan
@ QG %le nan
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds"
*            NAME                 S             COUNT            F1001W            FWSTD1            F1001R            F1001I            F1010W            FWSTD2            F1010R            F1010I             Q1001          Q1001STD             Q1010          Q1010STD         MDLF1001R         MDLF1001I         MDLF1010R         MDLF1010I
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1    0.090164756805               0.0 -0.00830929709532  -0.0897810612071  0.00632943084119               0.0  0.00605363510229 -0.00184802511392    0.740740248856   0.0199657643845    0.945913226785    0.115252527394               0.0               0.0               0.0               0.0
   "BPMYB.4L2.B1"            48.858                 1   0.0719304783052               0.0 0.000258915947159  -0.0719300123158   0.0114830593509               0.0  0.00724954313473 -0.00890532292474    0.753685552676   0.0204069798218    0.851416314841    0.123620395533               0.0               0.0               0.0               0.0
   "BPMWI.4L2.B1"           73.3255                 1    0.150200471989               0.0  -0.0267983277342   -0.147790498397    0.055290111417               0.0  -0.0550974402049 -0.00461177876443    0.720493904268    0.021917524402    0.512274239323    0.217793341149               0.0               0.0               0.0               0.0
   "BPMSX.4L2.B1"          123.4825                 1    0.128617125475               0.0   0.0568356728849   -0.115377949597   0.0458725950263               0.0   0.0440695665052  -0.0127345311063    0.821668884382   0.0644572479647    0.954437839015   0.0635269223587               0.0               0.0               0.0               0.0
    "BPMS.2L2.B1"           161.394                 1    0.204387003964               0.0   -0.201558863943  -0.0338832075737    0.209273373503               0.0   -0.193051510273   0.0807865040613    0.521010463592    0.166402596929    0.437153108833   0.0781364723263               0.0               0.0               0.0               0.0
   "BPMSW.1L2.B1"           171.328                 1    0.117697075293               0.0  -0.0257406946502   -0.114847804383   0.0335809857164               0.0  -0.0166007146876   0.0291907326654     0.71465988093   0.0123799956683    0.333677640733   0.0203515984329               0.0               0.0               0.0               0.0
   "BPMSW.1R2.B1"           214.518                 1    0.137430324559               0.0   -0.078188507313   -0.113020579686   0.0688880017451               0.0  -0.0678824650094  -0.0117272216948    0.648068816432   0.0637408071766    0.528118639706  0.00760111909602               0.0               0.0               0.0               0.0
    "BPMS.2R2.B1"           224.452                 1    0.123910050177               0.0  -0.0112270847376   -0.123400377241   0.0591393177139               0.0  -0.0108688299343  -0.0581319828969    0.738796373245   0.0481883681409    0.721342904786    0.119609875794               0.0               0.0               0.0               0.0
   "BPMSX.4R2.B1"          262.3635                 1   0.0687936665419               0.0   0.0247519735693  -0.0641865122958   0.0402480718352               0.0  -0.0145255642015   0.0375355201254    0.802764462662   0.0339347184722    0.309615187351   0.0595049307676               0.0               0.0               0.0               0.0
   "BPMWB.4R2.B1"          312.5965                 1    0.118605579839               0.0  -0.0280652798894   -0.115237249332   0.0199483204454               0.0  -0.0199349836314 0.000729325857844    0.704340957747   0.0508365426056    0.496460030107   0.0350291787757               0.0               0.0               0.0               0.0
