@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ CG %le nan
@ QG %le nan
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds"
*            NAME                 S             COUNT            F1001W            FWSTD1            F1001R            F1001I            F1010W            FWSTD2            F1010R            F1010I             Q1001          Q1001STD             Q1010          Q1010STD         MDLF1001R         MDLF1001I         MDLF1010R         MDLF1010I
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMSX.4L2.B1"          123.4825                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     2.01467064364   0.0283520948295    0.956245773182   0.0516113815029               0.0               0.0               0.0               0.0
    "BPMS.2L2.B1"           161.394                 1               nan               0.0               nan               nan               nan               0.0               nan               nan    0.988761323865     0.13183406386    0.432088412234   0.0831358984065               0.0               0.0               0.0               0.0
   "BPMSW.1R2.B1"           214.518                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.22520635277   0.0703006697399    0.524811911439  0.00683971071448               0.0               0.0               0.0               0.0
   "BPMWB.4R2.B1"          312.5965                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.44616849574    0.122268236238    0.476009140506 0.000822639832013               0.0               0.0               0.0               0.0
    "BPMR.5R2.B1"           366.522                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.55719342862    0.111469539602    0.150828688276   0.0576036102771               0.0               0.0               0.0               0.0
     "BPM.8R2.B1"       494.1300106                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.82341526218   0.0742718765046    0.464150408522   0.0537516405066               0.0               0.0               0.0               0.0
     "BPM.9R2.B1"       533.1950212                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.66594365806   0.0184953187253     0.22921313859   0.0103221685261               0.0               0.0               0.0               0.0
    "BPM.10R2.B1"       573.6580318                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.52535033187  0.00141948158974    0.908135430254   0.0171761534234               0.0               0.0               0.0               0.0
    "BPM.11R2.B1"       625.4967424                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.82267125374   0.0326135631001    0.650028977749  0.00784463700397               0.0               0.0               0.0               0.0
    "BPM.12R2.B1"       680.2202583                 1               nan               0.0               nan               nan               nan               0.0               nan               nan      1.6831871919   0.0514683144275    0.423227337775   0.0837849352762               0.0               0.0               0.0               0.0
    "BPM.13R2.B1"       733.6687742                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.74383826919   0.0417615290111    0.145649315549   0.0171682331983               0.0               0.0               0.0               0.0
    "BPM.14R2.B1"       787.1172901                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.78622803172    0.015432844516    0.922544461821   0.0130939769922               0.0               0.0               0.0               0.0
    "BPM.15R2.B1"        840.565806                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.81450370163   0.0409128930768    0.645608365788  0.00201879107723               0.0               0.0               0.0               0.0
    "BPM.16R2.B1"       894.0143219                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.70135639893   0.0283704669824    0.469051030944   0.0166675705504               0.0               0.0               0.0               0.0
    "BPM.17R2.B1"       947.4628378                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.85407510939   0.0970209853212    0.210035729615  0.00792018392339               0.0               0.0               0.0               0.0
    "BPM.18R2.B1"       1000.911354                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.69505949937   0.0246650905758    0.940839740207   0.0357005849521               0.0               0.0               0.0               0.0
    "BPM.19R2.B1"        1054.35987                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.70173749815   0.0147318545318    0.683059796144   0.0107563192241               0.0               0.0               0.0               0.0
    "BPM.20R2.B1"       1107.808386                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.72237049791   0.0198835900967    0.452923520093   0.0383785091315               0.0               0.0               0.0               0.0
    "BPM.21R2.B1"       1161.256901                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.77727875118   0.0386653481285    0.175888506125   0.0980568164015               0.0               0.0               0.0               0.0
    "BPM.22R2.B1"       1214.705417                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.97209858682   0.0262811229717    0.885651487113   0.0178887144287               0.0               0.0               0.0               0.0
    "BPM.26R2.B1"       1428.499481                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.71348666684    0.117160422016      0.9414532201   0.0941307339461               0.0               0.0               0.0               0.0
    "BPM.27R2.B1"       1481.947997                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.85712790631    0.118454831127    0.742507910611    0.111903188952               0.0               0.0               0.0               0.0
    "BPM.28R2.B1"       1535.396513                 1               nan               0.0               nan               nan               nan               0.0               nan               nan      1.3869064704    0.122249520362    0.453068678504   0.0491912632001               0.0               0.0               0.0               0.0
    "BPM.29R2.B1"       1588.845029                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.61980989555   0.0337317588964    0.194296479467  0.00308143712751               0.0               0.0               0.0               0.0
    "BPM.30R2.B1"       1642.293545                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.59795869979   0.0594812813003    0.945574293059   0.0737478011824               0.0               0.0               0.0               0.0
    "BPM.33R2.B1"       1802.639092                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.63260927798   0.0177707680612    0.202069842831   0.0623467111886               0.0               0.0               0.0               0.0
    "BPM.33L3.B1"       1909.536124                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.54250700459    0.138206787002    0.788639889797  0.00661776891921               0.0               0.0               0.0               0.0
    "BPM.32L3.B1"        1962.98464                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.65585191353    0.030972143682    0.407095822453   0.0223614087031               0.0               0.0               0.0               0.0
    "BPM.31L3.B1"       2016.433156                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.59303487144   0.0548522293868    0.163501618652    0.125357763579               0.0               0.0               0.0               0.0
    "BPM.30L3.B1"       2069.881672                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.60208574288    0.131226015813   0.0375777640749   0.0523778011459               0.0               0.0               0.0               0.0
    "BPM.29L3.B1"       2123.330188                 1               nan               0.0               nan               nan               nan               0.0               nan               nan      1.4667009892    0.168665950094    0.679732019066   0.0187750703892               0.0               0.0               0.0               0.0
    "BPM.27L3.B1"        2230.22722                 1               nan               0.0               nan               nan               nan               0.0               nan               nan      1.7636886606    0.154149218103    0.179370929248  0.00907152318138               0.0               0.0               0.0               0.0
    "BPM.26L3.B1"       2283.675735                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.38790359095    0.129957874794    0.888580612005   0.0585184889665               0.0               0.0               0.0               0.0
    "BPM.25L3.B1"       2337.124251                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.67864692045   0.0108681122826    0.707714967281   0.0921302271849               0.0               0.0               0.0               0.0
    "BPM.24L3.B1"       2390.572767                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.61731394679   0.0691738502088    0.469649119889   0.0688008175097               0.0               0.0               0.0               0.0
    "BPM.23L3.B1"       2444.021283                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.74385659519   0.0109381550261    0.184942713234  0.00770468101884               0.0               0.0               0.0               0.0
    "BPM.22L3.B1"       2497.469799                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.54520914019   0.0737626650578    0.916703695079   0.0495083119158               0.0               0.0               0.0               0.0
    "BPM.21L3.B1"       2550.918315                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.66435981226    0.041378212186    0.626683617967    0.167040173293               0.0               0.0               0.0               0.0
    "BPM.20L3.B1"       2604.366831                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.62488357786    0.048633714077    0.523964568804    0.171743493951               0.0               0.0               0.0               0.0
    "BPM.19L3.B1"       2657.815347                 1               nan               0.0               nan               nan               nan               0.0               nan               nan      1.4810621276   0.0337648609622    0.301417398428    0.040827333008               0.0               0.0               0.0               0.0
    "BPM.18L3.B1"       2711.263863                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.39727095263   0.0637994111354     0.97742366663    0.004098695113               0.0               0.0               0.0               0.0
    "BPM.17L3.B1"       2764.712379                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.33615164841   0.0509905772665    0.673110775531    0.124596588489               0.0               0.0               0.0               0.0
    "BPM.14L3.B1"       2925.057926                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.89598035452   0.0100308861722    0.144863328034   0.0301600009062               0.0               0.0               0.0               0.0
    "BPM.13L3.B1"       2978.506442                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.42670269845    0.123048054725    0.648071593107    0.101513064521               0.0               0.0               0.0               0.0
    "BPM.11L3.B1"       3085.403474                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.47224039975   0.0679985466455    0.276191988273     0.12001791517               0.0               0.0               0.0               0.0
    "BPM.10L3.B1"       3138.184185                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.33975925823   0.0631520370801    0.986618947631   0.0649563931244               0.0               0.0               0.0               0.0
     "BPM.9L3.B1"       3177.249195                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.55108913495   0.0913025197386    0.847431031594  0.00875666973834               0.0               0.0               0.0               0.0
     "BPM.8L3.B1"       3217.712206                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.72025725164   0.0779117319928    0.550466921305   0.0277459840034               0.0               0.0               0.0               0.0
     "BPM.7L3.B1"       3256.776216                 1               nan               0.0               nan               nan               nan               0.0               nan               nan      2.0357420453    0.115905360672    0.306284689399   0.0432896433157               0.0               0.0               0.0               0.0
    "BPMW.5L3.B1"       3400.089716                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.98534695469    0.108684246567    0.011108119916   0.0132814682712               0.0               0.0               0.0               0.0
    "BPMW.5R3.B1"       3650.400716                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.53007926163     0.11924890181    0.172507485043    0.118832675579               0.0               0.0               0.0               0.0
    "BPMR.6R3.B1"       3731.015216                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.39683129176    0.102071737689    0.949932282946     0.12426620006               0.0               0.0               0.0               0.0
     "BPM.9R3.B1"       3864.968238                 1               nan               0.0               nan               nan               nan               0.0               nan               nan    0.834107601483     0.09535830619    0.508526742124   0.0757667159423               0.0               0.0               0.0               0.0
    "BPM.12R3.B1"       4012.935475                 1               nan               0.0               nan               nan               nan               0.0               nan               nan    0.953634380909   0.0655935140317     0.81702670557   0.0310077302679               0.0               0.0               0.0               0.0
    "BPM.13R3.B1"       4066.383991                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.01996379093   0.0690028088435    0.568332274896   0.0603944360998               0.0               0.0               0.0               0.0
    "BPM.18R3.B1"        4333.62657                 1               nan               0.0               nan               nan               nan               0.0               nan               nan    0.742893353271   0.0481588698703    0.354305434293   0.0608247528494               0.0               0.0               0.0               0.0
    "BPM.27R3.B1"       4814.663213                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     0.41548433291   0.0370258439719    0.141966430697   0.0230236453505               0.0               0.0               0.0               0.0
    "BPM.28R3.B1"       4868.111729                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     0.98742733527   0.0923794981607    0.807285493118  0.00530383152182               0.0               0.0               0.0               0.0
    "BPM.29R3.B1"       4921.560245                 1               nan               0.0               nan               nan               nan               0.0               nan               nan    0.253685487617    0.058270237366      0.7250910919    0.169851045378               0.0               0.0               0.0               0.0
    "BPM.30R3.B1"       4975.008761                 1               nan               0.0               nan               nan               nan               0.0               nan               nan    0.656265720709   0.0257049445412    0.407789019188   0.0642397891634               0.0               0.0               0.0               0.0
