@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ DQMIN %le -0.000158086033889
@ DQMINE %le 0.0642353156334
@ FILES %s ""
*            NAME                 S              DETC             DETCE             GAMMA            GAMMAE               C11               C12               C21               C22
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le
     BPMYB.5L2.B1            28.288   0.0313442346981               0.0     1.01605043512               0.0    0.178688799167  0.00458373269898 -0.00458373269898   -0.178688799167
     BPMYB.4L2.B1            48.858   0.0197698042936               0.0     1.01003392628               0.0    0.127314148956  -0.0151675968135   0.0151675968135   -0.127314148956
     BPMWI.4L2.B1           73.3255   0.0723671794038               0.0      1.0382739241               0.0     0.29731746216     0.17006048069    -0.17006048069    -0.29731746216
     BPMSX.4L2.B1          123.4825   0.0545990597783               0.0     1.02847084546               0.0    0.211131526793   -0.207556193734    0.207556193734   -0.211131526793
      BPMS.2L2.B1           161.394  -0.0081510930061                -1    0.995949200576                -1    0.228410415266    0.786023773479   -0.786023773479   -0.228410415266
     BPMSW.1L2.B1           171.328   0.0484343814158               0.0      1.0251339794               0.0    0.295317597343   0.0868112348958  -0.0868112348958   -0.295317597343
     BPMSW.1R2.B1           214.518    0.053537726278               0.0     1.02789403602               0.0    0.208237677136    0.300290962573   -0.300290962573   -0.208237677136
      BPMS.2R2.B1           224.452   0.0452776743497               0.0     1.02343781762               0.0    0.133596286134   0.0452275893803  -0.0452275893803   -0.133596286134
     BPMSX.4R2.B1          262.3635   0.0122975328623               0.0     1.00620606492               0.0    0.204706651916  -0.0205797502565   0.0205797502565   -0.204706651916
     BPMWB.4R2.B1          312.5965   0.0518427651141               0.0     1.02697487424               0.0    0.238189517944   0.0985901291856  -0.0985901291856   -0.238189517944
     BPMYB.4R2.B1           336.988   0.0731653096668               0.0     1.03872087517               0.0    0.248906569088   0.0628797389564  -0.0628797389564   -0.248906569088
      BPMR.5R2.B1           366.522   0.0366654481388               0.0     1.01885277184               0.0    0.253490516787   0.0374171653673  -0.0374171653673   -0.253490516787
       BPM.6R2.B1           439.818    0.116089243753               0.0     1.06364276563               0.0    0.444507081252   -0.351085161485    0.351085161485   -0.444507081252
     BPM_A.7R2.B1           452.693   0.0303977562646               0.0     1.01555440459               0.0   0.0950853050711   -0.085341952313    0.085341952313  -0.0950853050711
       BPM.8R2.B1       494.1300106   0.0397311716247               0.0     1.02047785418               0.0    0.185791977029  -0.0707260891804   0.0707260891804   -0.185791977029
       BPM.9R2.B1       533.1950212   0.0364775452101               0.0     1.01875342036               0.0     0.26580804414  -0.0598904863996   0.0598904863996    -0.26580804414
      BPM.10R2.B1       573.6580318   0.0357325866245               0.0     1.01835981806               0.0    0.170922897044  -0.0378215691293   0.0378215691293   -0.170922897044
      BPM.11R2.B1       625.4967424     0.04425845867               0.0     1.02289196811               0.0    0.172869054473  -0.0658819669296   0.0658819669296   -0.172869054473
      BPM.12R2.B1       680.2202583   0.0388522349265               0.0     1.02001115144               0.0    0.233814025114   0.0132872112378  -0.0132872112378   -0.233814025114
      BPM.13R2.B1       733.6687742   0.0371112802948               0.0     1.01908861673               0.0    0.237723063196    -0.11140485726     0.11140485726   -0.237723063196
      BPM.14R2.B1       787.1172901   0.0372012584355               0.0     1.01913623496               0.0    0.178411876934   -0.106808332661    0.106808332661   -0.178411876934
      BPM.15R2.B1        840.565806   0.0366347877217               0.0     1.01883655852               0.0    0.147992406668  -0.0398315549936   0.0398315549936   -0.147992406668
      BPM.16R2.B1       894.0143219   0.0431392865558               0.0     1.02229359099               0.0    0.223684486494 -0.000201189648516 0.000201189648516   -0.223684486494
      BPM.17R2.B1       947.4628378   0.0360378420116               0.0     1.01852104598               0.0    0.256320521303  -0.0875429435423   0.0875429435423   -0.256320521303
      BPM.18R2.B1       1000.911354   0.0396022104697               0.0     1.02040933756               0.0    0.197006160644  -0.0695454901595   0.0695454901595   -0.197006160644
      BPM.19R2.B1        1054.35987   0.0418877900975               0.0     1.02162570739               0.0     0.15871454249  -0.0248069159028   0.0248069159028    -0.15871454249
      BPM.20R2.B1       1107.808386   0.0418016219359               0.0     1.02157977035               0.0    0.224655204311   0.0279634645191  -0.0279634645191   -0.224655204311
      BPM.21R2.B1       1161.256901   0.0494446228542               0.0     1.02567858618               0.0    0.288471900367  -0.0733184049442   0.0733184049442   -0.288471900367
      BPM.22R2.B1       1214.705417   0.0320385480149               0.0     1.01641477343               0.0    0.161779025849  -0.0538032988648   0.0538032988648   -0.161779025849
      BPM.23R2.B1       1268.153933   0.0416709522704               0.0     1.02151012098               0.0     0.16571357971  -0.0808641712351   0.0808641712351    -0.16571357971
      BPM.24R2.B1       1321.602449    0.036894078152               0.0     1.01897369649               0.0    0.208840385931   0.0516090414804  -0.0516090414804   -0.208840385931
      BPM.26R2.B1       1428.499481   0.0409343150226               0.0      1.0211177459               0.0    0.201621362465  -0.0339982709647   0.0339982709647   -0.201621362465
      BPM.27R2.B1       1481.947997   0.0379284119926               0.0     1.01952130431               0.0    0.168733000827  -0.0209929600477   0.0209929600477   -0.168733000827
