@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ Q1 %le 0.299858916597
@ MUX %le 0.0
@ Q2 %le 0.33142165071
@ MUY %le 0.0
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds.linx"
*            NAME             NAME2                 S                S1             COUNT            PHASEX            STDPHX            PHXMDL            MUXMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.5L2.B1"            28.288            28.288                 1               0.0                 0               0.0      0.0307105773
   "BPMYB.4L2.B1"    "BPMYB.5L2.B1"            48.858            28.288                 1   0.0376649175622                 0     0.02706012988     0.05777070718
   "BPMWI.4L2.B1"    "BPMYB.5L2.B1"           73.3255            28.288                 1   0.0889497273007                 0      0.0799524483      0.1106630256
   "BPMSX.4L2.B1"    "BPMYB.5L2.B1"          123.4825            28.288                 1     0.16192373068                 0      0.1534107169      0.1841212942
    "BPMS.2L2.B1"    "BPMYB.5L2.B1"           161.394            28.288                 1    0.222548097487                 0      0.2068480051      0.2375585824
   "BPMSW.1L2.B1"    "BPMYB.5L2.B1"           171.328            28.288                 1    0.245353429746                 0      0.2311993172      0.2619098945
   "BPMSW.1R2.B1"    "BPMYB.5L2.B1"           214.518            28.288                 1    0.890818411503                 0       0.585052202      0.6157627793
    "BPMS.2R2.B1"    "BPMYB.5L2.B1"           224.452            28.288                 1    0.919654138613                 0       0.604033998      0.6347445753
   "BPMSX.4R2.B1"    "BPMYB.5L2.B1"          262.3635            28.288                 1    0.963414330223                 0      0.6504846596      0.6811952369
   "BPMWB.4R2.B1"    "BPMYB.5L2.B1"          312.5965            28.288                 1   0.0444616788777                 0      0.7362458313      0.7669564086
   "BPMYB.4R2.B1"    "BPMYB.5L2.B1"           336.988            28.288                 1   0.0820550263167                 0       0.771508659      0.8022192363
    "BPMR.5R2.B1"    "BPMYB.5L2.B1"           366.522            28.288                 1    0.183240357051                 0      0.8640297758      0.8947403531
     "BPM.6R2.B1"    "BPMYB.5L2.B1"           439.818            28.288                 1     0.31338746207                 0      0.0045901267       1.035300704
   "BPM_A.7R2.B1"    "BPMYB.5L2.B1"           452.693            28.288                 1    0.323014827399                 0      0.0210785977       1.051789175
     "BPM.8R2.B1"    "BPMYB.5L2.B1"       494.1300106            28.288                 1    0.414077932615                 0      0.1063328637       1.137043441
     "BPM.9R2.B1"    "BPMYB.5L2.B1"       533.1950212            28.288                 1    0.578613870347                 0      0.2719032717       1.302613849
    "BPM.10R2.B1"    "BPMYB.5L2.B1"       573.6580318            28.288                 1    0.735710089778                 0      0.4314242647       1.462134842
    "BPM.11R2.B1"    "BPMYB.5L2.B1"       625.4967424            28.288                 1    0.841403716658                 0      0.5353501187       1.566060696
    "BPM.12R2.B1"    "BPMYB.5L2.B1"       680.2202583            28.288                 1    0.992646195886                 0      0.6858153327        1.71652591
    "BPM.13R2.B1"    "BPMYB.5L2.B1"       733.6687742            28.288                 1    0.108185787249                 0      0.8014582697       1.832168847
    "BPM.14R2.B1"    "BPMYB.5L2.B1"       787.1172901            28.288                 1    0.235414185082                 0      0.9316217277       1.962332305
    "BPM.15R2.B1"    "BPMYB.5L2.B1"        840.565806            28.288                 1     0.35497435761                 0      0.0414889547       2.072199532
    "BPM.16R2.B1"    "BPMYB.5L2.B1"       894.0143219            28.288                 1    0.490586856867                 0      0.1836870517       2.214397629
    "BPM.17R2.B1"    "BPMYB.5L2.B1"       947.4628378            28.288                 1     0.60596882048                 0      0.3017359157       2.332446493
    "BPM.18R2.B1"    "BPMYB.5L2.B1"       1000.911354            28.288                 1    0.740909786574                 0      0.4318864117       2.462596989
    "BPM.19R2.B1"    "BPMYB.5L2.B1"        1054.35987            28.288                 1    0.850552539433                 0      0.5417711117       2.572481689
    "BPM.20R2.B1"    "BPMYB.5L2.B1"       1107.808386            28.288                 1    0.994834470167                 0      0.6839869467       2.714697524
    "BPM.21R2.B1"    "BPMYB.5L2.B1"       1161.256901            28.288                 1    0.111453788827                 0      0.8020161227         2.8327267
    "BPM.22R2.B1"    "BPMYB.5L2.B1"       1214.705417            28.288                 1    0.242320742847                 0      0.9321511057       2.962861683
    "BPM.23R2.B1"    "BPMYB.5L2.B1"       1268.153933            28.288                 1    0.349398881253                 0      0.0450265007       3.075737078
    "BPM.24R2.B1"    "BPMYB.5L2.B1"       1321.602449            28.288                 1    0.503411675593                 0      0.1906235697       3.221334147
    "BPM.26R2.B1"    "BPMYB.5L2.B1"       1428.499481            28.288                 1    0.743853287686                 0      0.4374165487       3.468127126
    "BPM.27R2.B1"    "BPMYB.5L2.B1"       1481.947997            28.288                 1     0.86767785728                 0      0.5507541347       3.581464712
    "BPM.28R2.B1"    "BPMYB.5L2.B1"       1535.396513            28.288                 1  0.00193468293073                 0      0.6965027147       3.727213292
    "BPM.29R2.B1"    "BPMYB.5L2.B1"       1588.845029            28.288                 1    0.121434571837                 0      0.8128173897       3.843527967
    "BPM.30R2.B1"    "BPMYB.5L2.B1"       1642.293545            28.288                 1    0.247546469837                 0      0.9426954877       3.973406065
    "BPM.33R2.B1"    "BPMYB.5L2.B1"       1802.639092            28.288                 1    0.620770084638                 0      0.3181856247       4.348896202
    "BPM.34R2.B1"    "BPMYB.5L2.B1"       1856.087608            28.288                 1    0.756428691518                 0      0.4479893027        4.47869988
    "BPM.33L3.B1"    "BPMYB.5L2.B1"       1909.536124            28.288                 1    0.868612749283                 0      0.5622818077       4.592992385
    "BPM.32L3.B1"    "BPMYB.5L2.B1"        1962.98464            28.288                 1   0.0138865933117                 0      0.7082069117       4.738917489
    "BPM.31L3.B1"    "BPMYB.5L2.B1"       2016.433156            28.288                 1     0.13275262631                 0      0.8235339107       4.854244488
    "BPM.30L3.B1"    "BPMYB.5L2.B1"       2069.881672            28.288                 1    0.260671256021                 0      0.9532993227         4.9840099
    "BPM.29L3.B1"    "BPMYB.5L2.B1"       2123.330188            28.288                 1    0.370890038915                 0      0.0680801537       5.098790731
    "BPM.28L3.B1"    "BPMYB.5L2.B1"       2176.778704            28.288                 1    0.518869576178                 0      0.2140291877       5.244739765
    "BPM.27L3.B1"    "BPMYB.5L2.B1"        2230.22722            28.288                 1    0.632211859405                 0      0.3288633817       5.359573959
