@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ Q1 %le 0.299858916597
@ MUX %le 0.0
@ Q2 %le 0.33142165071
@ MUY %le 0.0
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds.liny"
*            NAME             NAME2                 S                S1             COUNT            PHASEY            STDPHY            PHYMDL            MUYMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.5L2.B1"            28.288            28.288                 1               0.0                 0               0.0      0.1253734494
   "BPMYB.4L2.B1"    "BPMYB.5L2.B1"            48.858            28.288                 1    0.052359707029                 0      0.0545739343      0.1799473837
   "BPMWI.4L2.B1"    "BPMYB.5L2.B1"           73.3255            28.288                 1    0.085854594334                 0      0.0887198759      0.2140933253
   "BPMSX.4L2.B1"    "BPMYB.5L2.B1"          123.4825            28.288                 1    0.165358619032                 0      0.1647299921      0.2901034415
    "BPMS.2L2.B1"    "BPMYB.5L2.B1"           161.394            28.288                 1    0.207718722882                 0      0.2048110753      0.3301845247
   "BPMSW.1L2.B1"    "BPMYB.5L2.B1"           171.328            28.288                 1    0.221934559673                 0      0.2215057332      0.3468791826
   "BPMSW.1R2.B1"    "BPMYB.5L2.B1"           214.518            28.288                 1    0.913907002558                 0        0.59331152      0.7186849694
    "BPMS.2R2.B1"    "BPMYB.5L2.B1"           224.452            28.288                 1    0.946247143875                 0      0.6154997136       0.740873163
   "BPMSX.4R2.B1"    "BPMYB.5L2.B1"          262.3635            28.288                 1  0.00162326370471                 0      0.6622130271      0.7875864765
   "BPMWB.4R2.B1"    "BPMYB.5L2.B1"          312.5965            28.288                 1   0.0609578924037                 0      0.7261845327      0.8515579821
   "BPMYB.4R2.B1"    "BPMYB.5L2.B1"           336.988            28.288                 1    0.107850196237                 0      0.7751665754      0.9005400248
    "BPMR.5R2.B1"    "BPMYB.5L2.B1"           366.522            28.288                 1    0.147863058779                 0      0.8099019845      0.9352754339
     "BPM.6R2.B1"    "BPMYB.5L2.B1"           439.818            28.288                 1    0.420494860379                 0      0.0868741466       1.212247596
   "BPM_A.7R2.B1"    "BPMYB.5L2.B1"           452.693            28.288                 1    0.456488581392                 0      0.1166086636       1.241982113
     "BPM.8R2.B1"    "BPMYB.5L2.B1"       494.1300106            28.288                 1    0.547752899871                 0      0.2037134836       1.329086933
     "BPM.9R2.B1"    "BPMYB.5L2.B1"       533.1950212            28.288                 1     0.63995837732                 0      0.3051869016       1.430560351
    "BPM.10R2.B1"    "BPMYB.5L2.B1"       573.6580318            28.288                 1     0.75557385631                 0      0.4236292356       1.549002685
    "BPM.11R2.B1"    "BPMYB.5L2.B1"       625.4967424            28.288                 1    0.938068820113                 0      0.6012886566       1.726662106
    "BPM.12R2.B1"    "BPMYB.5L2.B1"       680.2202583            28.288                 1   0.0436736997977                 0      0.7112903966       1.836663846
    "BPM.13R2.B1"    "BPMYB.5L2.B1"       733.6687742            28.288                 1    0.191181440164                 0      0.8541208576       1.979494307
    "BPM.14R2.B1"    "BPMYB.5L2.B1"       787.1172901            28.288                 1     0.30581019627                 0      0.9749135966       2.100287046
    "BPM.15R2.B1"    "BPMYB.5L2.B1"        840.565806            28.288                 1    0.444666115785                 0      0.1074871796       2.232860629
    "BPM.16R2.B1"    "BPMYB.5L2.B1"       894.0143219            28.288                 1    0.542948741791                 0      0.2067098766       2.332083326
    "BPM.17R2.B1"    "BPMYB.5L2.B1"       947.4628378            28.288                 1    0.662468332006                 0      0.3319917336       2.457365183
    "BPM.18R2.B1"    "BPMYB.5L2.B1"       1000.911354            28.288                 1    0.783440933748                 0      0.4517962406        2.57716969
    "BPM.19R2.B1"    "BPMYB.5L2.B1"        1054.35987            28.288                 1    0.925356312663                 0      0.5876464376       2.713019887
    "BPM.20R2.B1"    "BPMYB.5L2.B1"       1107.808386            28.288                 1   0.0198833904927                 0      0.6878961396       2.813269589
    "BPM.21R2.B1"    "BPMYB.5L2.B1"       1161.256901            28.288                 1    0.136452710939                 0      0.8104488216       2.935822271
    "BPM.22R2.B1"    "BPMYB.5L2.B1"       1214.705417            28.288                 1    0.262261198475                 0      0.9284883646       3.053861814
    "BPM.23R2.B1"    "BPMYB.5L2.B1"       1268.153933            28.288                 1    0.402904750934                 0      0.0665889776       3.191962427
    "BPM.24R2.B1"    "BPMYB.5L2.B1"       1321.602449            28.288                 1    0.498346610618                 0      0.1709210196       3.296294469
    "BPM.25R2.B1"    "BPMYB.5L2.B1"       1375.050965            28.288                 1    0.626190319386                 0      0.2962240686       3.421597518
    "BPM.26R2.B1"    "BPMYB.5L2.B1"       1428.499481            28.288                 1    0.746971578607                 0      0.4131750166       3.538548466
    "BPM.27R2.B1"    "BPMYB.5L2.B1"       1481.947997            28.288                 1    0.885637394115                 0      0.5526653306        3.67803878
    "BPM.28R2.B1"    "BPMYB.5L2.B1"       1535.396513            28.288                 1    0.992927290718                 0      0.6579881186       3.783361568
    "BPM.29R2.B1"    "BPMYB.5L2.B1"       1588.845029            28.288                 1    0.112498928815                 0      0.7822107746       3.907584224
    "BPM.30R2.B1"    "BPMYB.5L2.B1"       1642.293545            28.288                 1    0.228216782703                 0      0.8978852896       4.023258739
    "BPM.31R2.B1"    "BPMYB.5L2.B1"        1695.74206            28.288                 1    0.368960756953                 0      0.0385323736       4.163905823
    "BPM.32R2.B1"    "BPMYB.5L2.B1"       1749.190576            28.288                 1    0.481742929052                 0      0.1450226696       4.270396119
