@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ Q1 %le 0.309858916597
@ MUX %le 69.3098589166
@ Q2 %le 0.31942165071
@ MUY %le 64.3194216507
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds.liny"
*            NAME             NAME2                 S                S1             COUNT            PHASEY            STDPHY            PHYMDL            MUYMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.5L2.B1"            28.288            28.288                 1               0.0                 0               0.0      0.1162609817
   "BPMYB.4L2.B1"    "BPMYB.5L2.B1"            48.858            28.288                 1   0.0567464019235                 0      0.0533393334      0.1696003151
   "BPMWI.4L2.B1"    "BPMYB.5L2.B1"           73.3255            28.288                 1   0.0922341689513                 0       0.088281797      0.2045427787
   "BPMSX.4L2.B1"    "BPMYB.5L2.B1"          123.4825            28.288                 1    0.171999599598                 0      0.1696412141      0.2859021958
    "BPMS.2L2.B1"    "BPMYB.5L2.B1"           161.394            28.288                 1    0.212084235756                 0      0.2131718766      0.3294328583
   "BPMSW.1L2.B1"    "BPMYB.5L2.B1"           171.328            28.288                 1    0.225285683941                 0      0.2311185415      0.3473795232
   "BPMSW.1R2.B1"    "BPMYB.5L2.B1"           214.518            28.288                 1    0.908204664899                 0      0.5930725166      0.7093334983
    "BPMS.2R2.B1"    "BPMYB.5L2.B1"           224.452            28.288                 1     0.94205268483                 0      0.6164977797      0.7327587614
   "BPMSX.4R2.B1"    "BPMYB.5L2.B1"          262.3635            28.288                 1  0.00176640162672                 0      0.6669027211      0.7831637028
   "BPMWB.4R2.B1"    "BPMYB.5L2.B1"          312.5965            28.288                 1   0.0659433866272                 0      0.7361147129      0.8523756946
   "BPMYB.4R2.B1"    "BPMYB.5L2.B1"           336.988            28.288                 1    0.114966093426                 0      0.7872435667      0.9035045484
    "BPMR.5R2.B1"    "BPMYB.5L2.B1"           366.522            28.288                 1    0.155006591529                 0      0.8219998432      0.9382608249
