@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ Q1 %le 0.299858916597
@ MUX %le 0.0
@ Q2 %le 0.33142165071
@ MUY %le 0.0
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds.linx"
*            NAME             NAME2                 S                S1             COUNT            PHASEX            STDPHX            PHXMDL            MUXMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.4L2.B1"            28.288            48.858                 1   0.0376649175622                 0     0.02706012988      0.0307105773
   "BPMYB.4L2.B1"    "BPMWI.4L2.B1"            48.858           73.3255                 1   0.0512848097385                 0     0.05289231842     0.05777070718
   "BPMWI.4L2.B1"    "BPMSX.4L2.B1"           73.3255          123.4825                 1   0.0729740033793                 0      0.0734582686      0.1106630256
   "BPMSX.4L2.B1"     "BPMS.2L2.B1"          123.4825           161.394                 1    0.060624366807                 0      0.0534372882      0.1841212942
    "BPMS.2L2.B1"    "BPMSW.1L2.B1"           161.394           171.328                 1    0.022805332259                 0      0.0243513121      0.2375585824
   "BPMSW.1L2.B1"    "BPMSW.1R2.B1"           171.328           214.518                 1    0.645464981757                 0      0.3538528848      0.2619098945
   "BPMSW.1R2.B1"     "BPMS.2R2.B1"           214.518           224.452                 1     0.02883572711                 0       0.018981796      0.6157627793
    "BPMS.2R2.B1"    "BPMSX.4R2.B1"           224.452          262.3635                 1     0.04376019161                 0      0.0464506616      0.6347445753
   "BPMSX.4R2.B1"    "BPMWB.4R2.B1"          262.3635          312.5965                 1    0.081047348655                 0      0.0857611717      0.6811952369
   "BPMWB.4R2.B1"    "BPMYB.4R2.B1"          312.5965           336.988                 1    0.037593347439                 0      0.0352628277      0.7669564086
   "BPMYB.4R2.B1"     "BPMR.5R2.B1"           336.988           366.522                 1    0.101185330734                 0      0.0925211168      0.8022192363
    "BPMR.5R2.B1"      "BPM.6R2.B1"           366.522           439.818                 1     0.13014710502                 0      0.1405603509      0.8947403531
