@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ Q1 %le 0.309858916597
@ MUX %le 69.3098589166
@ Q2 %le 0.31942165071
@ MUY %le 64.3194216507
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds.linx"
*            NAME             NAME2                 S                S1             COUNT            PHASEX            STDPHX            PHXMDL            MUXMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.4L2.B1"            28.288            48.858                 1   0.0361245443647                 0     0.02706494627     0.03145312858
   "BPMYB.4L2.B1"    "BPMWI.4L2.B1"            48.858           73.3255                 1   0.0508500223275                 0     0.05126961235     0.05851807485
   "BPMWI.4L2.B1"    "BPMSX.4L2.B1"           73.3255          123.4825                 1   0.0759057467085                 0      0.0690625192      0.1097876872
   "BPMSX.4L2.B1"     "BPMS.2L2.B1"          123.4825           161.394                 1   0.0646943623734                 0      0.0504035596      0.1788502064
    "BPMS.2L2.B1"    "BPMSW.1L2.B1"           161.394           171.328                 1   0.0241838262129                 0      0.0234250527       0.229253766
   "BPMSW.1L2.B1"    "BPMSW.1R2.B1"           171.328           214.518                 1    0.645618614606                 0      0.3619582779      0.2526788187
   "BPMSW.1R2.B1"     "BPMS.2R2.B1"           214.518           224.452                 1   0.0272014478936                 0      0.0179458744      0.6146370966
    "BPMS.2R2.B1"    "BPMSX.4R2.B1"           224.452          262.3635                 1   0.0409700854702                 0      0.0435287963       0.632582971
   "BPMSX.4R2.B1"    "BPMWB.4R2.B1"          262.3635          312.5965                 1   0.0771946529012                 0      0.0814718423      0.6761117673
   "BPMWB.4R2.B1"    "BPMYB.4R2.B1"          312.5965           336.988                 1   0.0372686902551                 0       0.034826523      0.7575836096
   "BPMYB.4R2.B1"     "BPMR.5R2.B1"           336.988           366.522                 1     0.10558163491                 0      0.0959870236      0.7924101326
    "BPMR.5R2.B1"      "BPM.6R2.B1"           366.522           439.818                 1    0.136336416211                 0      0.1476902478      0.8883971562
     "BPM.6R2.B1"    "BPM_A.7R2.B1"           439.818           452.693                 1  0.00962983852291                 0       0.016500706       1.036087404
   "BPM_A.7R2.B1"      "BPM.8R2.B1"           452.693       494.1300106                 1   0.0877806572734                 0       0.082158882        1.05258811
     "BPM.8R2.B1"      "BPM.9R2.B1"       494.1300106       533.1950212                 1    0.157211412892                 0       0.158058645       1.134746992
     "BPM.9R2.B1"     "BPM.10R2.B1"       533.1950212       573.6580318                 1    0.165008033736                 0       0.167475685       1.292805637
    "BPM.10R2.B1"     "BPM.11R2.B1"       573.6580318       625.4967424                 1    0.108180801075                 0       0.106407251       1.460281322
    "BPM.11R2.B1"     "BPM.12R2.B1"       625.4967424       680.2202583                 1    0.143296627279                 0       0.142602852       1.566688573
    "BPM.12R2.B1"     "BPM.13R2.B1"       680.2202583       733.6687742                 1     0.11357175081                 0        0.11350733       1.709291425
    "BPM.13R2.B1"     "BPM.14R2.B1"       733.6687742       787.1172901                 1    0.134637174368                 0       0.137691811       1.822798755
    "BPM.14R2.B1"     "BPM.15R2.B1"       787.1172901        840.565806                 1    0.121741110134                 0       0.112213372       1.960490566
    "BPM.15R2.B1"     "BPM.16R2.B1"        840.565806       894.0143219                 1    0.128104330958                 0       0.134578555       2.072703938
    "BPM.16R2.B1"     "BPM.17R2.B1"       894.0143219       947.4628378                 1    0.113239094001                 0       0.115801443       2.207282493
    "BPM.17R2.B1"     "BPM.18R2.B1"       947.4628378       1000.911354                 1    0.142733912521                 0       0.137687077       2.323083936
    "BPM.18R2.B1"     "BPM.19R2.B1"       1000.911354        1054.35987                 1    0.111621585757                 0       0.112208708       2.460771013
    "BPM.19R2.B1"     "BPM.20R2.B1"        1054.35987       1107.808386                 1     0.13642041581                 0       0.134585743       2.572979721
    "BPM.20R2.B1"     "BPM.21R2.B1"       1107.808386       1161.256901                 1    0.114867877022                 0       0.115806345       2.707565464
    "BPM.21R2.B1"     "BPM.22R2.B1"       1161.256901       1214.705417                 1    0.138581591041                 0       0.137679631       2.823371809
    "BPM.22R2.B1"     "BPM.23R2.B1"       1214.705417       1268.153933                 1     0.10900558583                 0       0.115105768        2.96105144
    "BPM.23R2.B1"     "BPM.24R2.B1"       1268.153933       1321.602449                 1    0.145676825462                 0       0.137679565       3.076157208
    "BPM.24R2.B1"     "BPM.26R2.B1"       1321.602449       1428.499481                 1    0.246936425146                 0       0.252786091       3.213836773
    "BPM.26R2.B1"     "BPM.27R2.B1"       1428.499481       1481.947997                 1    0.125092159195                 0       0.115105793       3.466622864
    "BPM.27R2.B1"     "BPM.28R2.B1"       1481.947997       1535.396513                 1    0.126568625957                 0       0.137679627       3.581728657
    "BPM.28R2.B1"     "BPM.29R2.B1"       1535.396513       1588.845029                 1    0.118468270027                 0        0.11510731       3.719408284
    "BPM.29R2.B1"     "BPM.30R2.B1"       1588.845029       1642.293545                 1    0.133766916394                 0       0.137678693       3.834515594
    "BPM.30R2.B1"     "BPM.33R2.B1"       1642.293545       1802.639092                 1    0.365543059725                 0       0.367892788       3.972194287
    "BPM.33R2.B1"     "BPM.34R2.B1"       1802.639092       1856.087608                 1    0.143794717352                 0       0.137678635       4.340087075
    "BPM.34R2.B1"     "BPM.33L3.B1"       1856.087608       1909.536124                 1    0.112757836411                 0       0.115105853        4.47776571
    "BPM.33L3.B1"     "BPM.32L3.B1"       1909.536124        1962.98464                 1    0.137053340211                 0       0.137679745       4.592871563
    "BPM.32L3.B1"     "BPM.31L3.B1"        1962.98464       2016.433156                 1    0.118885249881                 0       0.115107246       4.730551308
