@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ Q1 %le 0.309858916597
@ MUX %le 69.3098589166
@ Q2 %le 0.31942165071
@ MUY %le 64.3194216507
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds.linx"
*            NAME             NAME2                 S                S1             COUNT            PHASEX            STDPHX            PHXMDL            MUXMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.4L2.B1"            28.288            48.858                 1   0.0376697339522                 0     0.02706494627     0.03145312858
   "BPMYB.4L2.B1"    "BPMWI.4L2.B1"            48.858           73.3255                 1   0.0496621036685                 0     0.05126961235     0.05851807485
   "BPMWI.4L2.B1"    "BPMSX.4L2.B1"           73.3255          123.4825                 1   0.0685782539793                 0      0.0690625192      0.1097876872
   "BPMSX.4L2.B1"     "BPMS.2L2.B1"          123.4825           161.394                 1    0.057590638207                 0      0.0504035596      0.1788502064
    "BPMS.2L2.B1"    "BPMSW.1L2.B1"           161.394           171.328                 1    0.021879072859                 0      0.0234250527       0.229253766
   "BPMSW.1L2.B1"    "BPMSW.1R2.B1"           171.328           214.518                 1    0.653570374857                 0      0.3619582779      0.2526788187
   "BPMSW.1R2.B1"     "BPMS.2R2.B1"           214.518           224.452                 1     0.02779980551                 0      0.0179458744      0.6146370966
    "BPMS.2R2.B1"    "BPMSX.4R2.B1"           224.452          262.3635                 1     0.04083832631                 0      0.0435287963       0.632582971
   "BPMSX.4R2.B1"    "BPMWB.4R2.B1"          262.3635          312.5965                 1    0.076758019255                 0      0.0814718423      0.6761117673
   "BPMWB.4R2.B1"    "BPMYB.4R2.B1"          312.5965           336.988                 1    0.037157042739                 0       0.034826523      0.7575836096
   "BPMYB.4R2.B1"     "BPMR.5R2.B1"           336.988           366.522                 1    0.104651237534                 0      0.0959870236      0.7924101326
    "BPMR.5R2.B1"      "BPM.6R2.B1"           366.522           439.818                 1     0.13727700192                 0      0.1476902478      0.8883971562
     "BPM.6R2.B1"    "BPM_A.7R2.B1"           439.818           452.693                 1   0.0096396003285                 0       0.016500706       1.036087404
   "BPM_A.7R2.B1"      "BPM.8R2.B1"           452.693       494.1300106                 1   0.0879677212165                 0       0.082158882        1.05258811
     "BPM.8R2.B1"      "BPM.9R2.B1"       494.1300106       533.1950212                 1    0.157024174731                 0       0.158058645       1.134746992
     "BPM.9R2.B1"     "BPM.10R2.B1"       533.1950212       573.6580318                 1    0.165050911431                 0       0.167475685       1.292805637
    "BPM.10R2.B1"     "BPM.11R2.B1"       573.6580318       625.4967424                 1     0.10817502388                 0       0.106407251       1.460281322
    "BPM.11R2.B1"     "BPM.12R2.B1"       625.4967424       680.2202583                 1    0.143380117228                 0       0.142602852       1.566688573
    "BPM.12R2.B1"     "BPM.13R2.B1"       680.2202583       733.6687742                 1    0.113403984363                 0        0.11350733       1.709291425
    "BPM.13R2.B1"     "BPM.14R2.B1"       733.6687742       787.1172901                 1    0.134756750833                 0       0.137691811       1.822798755
    "BPM.14R2.B1"     "BPM.15R2.B1"       787.1172901        840.565806                 1    0.121906317529                 0       0.112213372       1.960490566
    "BPM.15R2.B1"     "BPM.16R2.B1"        840.565806       894.0143219                 1    0.127992957256                 0       0.134578555       2.072703938
    "BPM.16R2.B1"     "BPM.17R2.B1"       894.0143219       947.4628378                 1    0.113134542613                 0       0.115801443       2.207282493
    "BPM.17R2.B1"     "BPM.18R2.B1"       947.4628378       1000.911354                 1    0.142477547094                 0       0.137687077       2.323083936
    "BPM.18R2.B1"     "BPM.19R2.B1"       1000.911354        1054.35987                 1    0.111966760859                 0       0.112208708       2.460771013
    "BPM.19R2.B1"     "BPM.20R2.B1"        1054.35987       1107.808386                 1    0.136651838734                 0       0.134585743       2.572979721
    "BPM.20R2.B1"     "BPM.21R2.B1"       1107.808386       1161.256901                 1     0.11439648766                 0       0.115806345       2.707565464
    "BPM.21R2.B1"     "BPM.22R2.B1"       1161.256901       1214.705417                 1     0.13841160202                 0       0.137679631       2.823371809
    "BPM.22R2.B1"     "BPM.23R2.B1"       1214.705417       1268.153933                 1    0.109308511406                 0       0.115105768        2.96105144
    "BPM.23R2.B1"     "BPM.24R2.B1"       1268.153933       1321.602449                 1     0.14609529034                 0       0.137679565       3.076157208
    "BPM.24R2.B1"     "BPM.26R2.B1"       1321.602449       1428.499481                 1    0.246434724093                 0       0.252786091       3.213836773
    "BPM.26R2.B1"     "BPM.27R2.B1"       1428.499481       1481.947997                 1    0.125592776594                 0       0.115105793       3.466622864
    "BPM.27R2.B1"     "BPM.28R2.B1"       1481.947997       1535.396513                 1    0.126187872651                 0       0.137679627       3.581728657
    "BPM.28R2.B1"     "BPM.29R2.B1"       1535.396513       1588.845029                 1    0.118292523906                 0        0.11510731       3.719408284
    "BPM.29R2.B1"     "BPM.30R2.B1"       1588.845029       1642.293545                 1       0.133912493                 0       0.137678693       3.834515594
    "BPM.30R2.B1"     "BPM.33R2.B1"       1642.293545       1802.639092                 1    0.365626265801                 0       0.367892788       3.972194287
    "BPM.33R2.B1"     "BPM.34R2.B1"       1802.639092       1856.087608                 1     0.14353356388                 0       0.137678635       4.340087075
    "BPM.34R2.B1"     "BPM.33L3.B1"       1856.087608       1909.536124                 1    0.112997405765                 0       0.115105853        4.47776571
    "BPM.33L3.B1"     "BPM.32L3.B1"       1909.536124        1962.98464                 1    0.137028485029                 0       0.137679745       4.592871563
    "BPM.32L3.B1"     "BPM.31L3.B1"        1962.98464       2016.433156                 1    0.118646279998                 0       0.115107246       4.730551308
    "BPM.31L3.B1"     "BPM.30L3.B1"       2016.433156       2069.881672                 1    0.135831795712                 0       0.137678578       4.845658554
    "BPM.30L3.B1"     "BPM.29L3.B1"       2069.881672       2123.330188                 1    0.110543840893                 0       0.115105889       4.983337132
    "BPM.29L3.B1"     "BPM.28L3.B1"       2123.330188       2176.778704                 1    0.139710302263                 0       0.137679799       5.098443021
    "BPM.28L3.B1"     "BPM.27L3.B1"       2176.778704        2230.22722                 1    0.113615298227                 0       0.115107209        5.23612282
    "BPM.27L3.B1"     "BPM.26L3.B1"        2230.22722       2283.675735                 1    0.136456585601                 0       0.137678525       5.351230029
    "BPM.26L3.B1"     "BPM.25L3.B1"       2283.675735       2337.124251                 1    0.114667329725                 0       0.115105928       5.488908554
    "BPM.25L3.B1"     "BPM.24L3.B1"       2337.124251       2390.572767                 1    0.138426081429                 0       0.137679851       5.604014482
    "BPM.24L3.B1"     "BPM.23L3.B1"       2390.572767       2444.021283                 1    0.112659062902                 0       0.115107168       5.741694333
    "BPM.23L3.B1"     "BPM.22L3.B1"       2444.021283       2497.469799                 1    0.136923592915                 0       0.137678475       5.856801501
    "BPM.22L3.B1"     "BPM.21L3.B1"       2497.469799       2550.918315                 1    0.113951670788                 0        0.11510597       5.994479976
    "BPM.21L3.B1"     "BPM.20L3.B1"       2550.918315       2604.366831                 1    0.140858928794                 0          0.138525       6.109585946
    "BPM.20L3.B1"     "BPM.19L3.B1"       2604.366831       2657.815347                 1    0.118681938255                 0       0.112871143       6.248110946
    "BPM.19L3.B1"     "BPM.18L3.B1"       2657.815347       2711.263863                 1    0.127031414842                 0       0.133778342       6.360982089
    "BPM.18L3.B1"     "BPM.17L3.B1"       2711.263863       2764.712379                 1    0.123087885585                 0       0.115113264       6.494760431
    "BPM.17L3.B1"     "BPM.16L3.B1"       2764.712379       2818.160894                 1    0.132362556101                 0       0.138520317       6.609873695
    "BPM.16L3.B1"     "BPM.14L3.B1"       2818.160894       2925.057926                 1     0.09814287452                 0       0.246646762       6.748394012
    "BPM.14L3.B1"     "BPM.13L3.B1"       2925.057926       2978.506442                 1    0.270052973741                 0       0.115120678       6.995040774
    "BPM.13L3.B1"     "BPM.12L3.B1"       2978.506442       3031.954958                 1    0.131800309249                 0       0.137089859       7.110161452
    "BPM.12L3.B1"     "BPM.11L3.B1"       3031.954958       3085.403474                 1    0.137526255974                 0        0.12645755       7.247251311
    "BPM.11L3.B1"     "BPM.10L3.B1"       3085.403474       3138.184185                 1    0.139118531456                 0       0.149079247       7.373708861
    "BPM.10L3.B1"      "BPM.9L3.B1"       3138.184185       3177.249195                 1    0.059919889136                 0       0.060936676       7.522788108
     "BPM.9L3.B1"      "BPM.8L3.B1"       3177.249195       3217.712206                 1    0.079386506837                 0       0.076691767       7.583724784
     "BPM.8L3.B1"      "BPM.7L3.B1"       3217.712206       3256.776216                 1    0.061958786379                 0       0.058947452       7.660416551
     "BPM.7L3.B1"      "BPM.6L3.B1"       3256.776216       3329.415216                 1    0.100657542933                 0       0.112146893       7.719364003
     "BPM.6L3.B1"   "BPMWG.A5L3.B1"       3329.415216       3371.119716                 1    0.067728656154                 0       0.057084098       7.831510896
  "BPMWG.A5L3.B1"     "BPMW.5L3.B1"       3371.119716       3400.089716                 1   0.0862488825442                 0       0.083357662       7.888594994
    "BPMW.5L3.B1"    "BPMWE.4L3.B1"       3400.089716       3475.217716                 1   0.0974114571736                 0       0.103372204       7.971952656
   "BPMWE.4L3.B1"     "BPMW.4L3.B1"       3475.217716       3502.762716                 1   0.0176318257715                 0       0.015203169        8.07532486
    "BPMW.4L3.B1"     "BPMW.4R3.B1"       3502.762716       3547.727716                 1   0.0774517664267                 0       0.070151016       8.090528029
    "BPMW.4R3.B1"    "BPMWE.4R3.B1"       3547.727716       3575.272716                 1    0.129821054547                 0       0.147643624       8.160679045
   "BPMWE.4R3.B1"     "BPMW.5R3.B1"       3575.272716       3650.400716                 1    0.138463586037                 0       0.129528162       8.308322669
    "BPMW.5R3.B1"   "BPMWJ.A5R3.B1"       3650.400716       3679.118716                 1     0.01005399904                 0       0.012626847       8.437850831
  "BPMWJ.A5R3.B1"    "BPMWC.6R3.B1"       3679.118716       3718.936716                 1    0.048886148012                 0       0.045893259       8.450477678
