@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ Q1 %le 0.299858916597
@ MUX %le 0.0
@ Q2 %le 0.33142165071
@ MUY %le 0.0
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds.liny"
*            NAME             NAME2                 S                S1             COUNT            PHASEY            STDPHY            PHYMDL            MUYMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.4L2.B1"            28.288            48.858                 1    0.052359707029                 0      0.0545739343      0.1253734494
   "BPMYB.4L2.B1"    "BPMWI.4L2.B1"            48.858           73.3255                 1    0.033494887305                 0      0.0341459416      0.1799473837
   "BPMWI.4L2.B1"    "BPMSX.4L2.B1"           73.3255          123.4825                 1    0.079504024698                 0      0.0760101162      0.2140933253
   "BPMSX.4L2.B1"     "BPMS.2L2.B1"          123.4825           161.394                 1     0.04236010385                 0      0.0400810832      0.2901034415
    "BPMS.2L2.B1"    "BPMSW.1L2.B1"           161.394           171.328                 1    0.014215836791                 0      0.0166946579      0.3301845247
   "BPMSW.1L2.B1"    "BPMSW.1R2.B1"           171.328           214.518                 1    0.691972442885                 0      0.3718057868      0.3468791826
   "BPMSW.1R2.B1"     "BPMS.2R2.B1"           214.518           224.452                 1    0.032340141317                 0      0.0221881936      0.7186849694
    "BPMS.2R2.B1"    "BPMSX.4R2.B1"           224.452          262.3635                 1     0.05537611983                 0      0.0467133135       0.740873163
   "BPMSX.4R2.B1"    "BPMWB.4R2.B1"          262.3635          312.5965                 1    0.059334628699                 0      0.0639715056      0.7875864765
   "BPMWB.4R2.B1"    "BPMYB.4R2.B1"          312.5965           336.988                 1   0.0468923038337                 0      0.0489820427      0.8515579821
   "BPMYB.4R2.B1"     "BPMR.5R2.B1"           336.988           366.522                 1   0.0400128625417                 0      0.0347354091      0.9005400248
    "BPMR.5R2.B1"      "BPM.6R2.B1"           366.522           439.818                 1      0.2726318016                 0      0.2769721621      0.9352754339
