@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ Q1 %le 0.309858916597
@ MUX %le 69.3098589166
@ Q2 %le 0.31942165071
@ MUY %le 64.3194216507
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds.liny"
*            NAME             NAME2                 S                S1             COUNT            PHASEY            STDPHY            PHYMDL            MUYMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.4L2.B1"            28.288            48.858                 1   0.0567464019235                 0      0.0533393334      0.1162609817
   "BPMYB.4L2.B1"    "BPMWI.4L2.B1"            48.858           73.3255                 1   0.0354877670278                 0      0.0349424636      0.1696003151
   "BPMWI.4L2.B1"    "BPMSX.4L2.B1"           73.3255          123.4825                 1   0.0797654306465                 0      0.0813594171      0.2045427787
   "BPMSX.4L2.B1"     "BPMS.2L2.B1"          123.4825           161.394                 1   0.0400846361585                 0      0.0435306625      0.2859021958
    "BPMS.2L2.B1"    "BPMSW.1L2.B1"           161.394           171.328                 1    0.013201448185                 0      0.0179466649      0.3294328583
   "BPMSW.1L2.B1"    "BPMSW.1R2.B1"           171.328           214.518                 1    0.682918980958                 0      0.3619539751      0.3473795232
   "BPMSW.1R2.B1"     "BPMS.2R2.B1"           214.518           224.452                 1   0.0338480199302                 0      0.0234252631      0.7093334983
    "BPMS.2R2.B1"    "BPMSX.4R2.B1"           224.452          262.3635                 1    0.059713716797                 0      0.0504049414      0.7327587614
   "BPMSX.4R2.B1"    "BPMWB.4R2.B1"          262.3635          312.5965                 1   0.0641769850005                 0      0.0692119918      0.7831637028
   "BPMWB.4R2.B1"    "BPMYB.4R2.B1"          312.5965           336.988                 1   0.0490227067983                 0      0.0511288538      0.8523756946
   "BPMYB.4R2.B1"     "BPMR.5R2.B1"           336.988           366.522                 1   0.0400404981037                 0      0.0347562765      0.9035045484
    "BPMR.5R2.B1"      "BPM.6R2.B1"           366.522           439.818                 1    0.260010340065                 0      0.2643620921      0.9382608249
