@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan/Beam1@Turn@2017_09_11@19_02_33_250_onlydbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_cleaned_arcs_with_dbscan_only' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 13:48:45"
@ f2h_factor %le 0.0963084459569
@ p_f2h_factor %le 587.256585056
@ FILES %s ""
*            NAME                 S            AMP_20         AMP_20std          PHASE_20       PHASE_20std             f3000          f3000std      phase_f_3000   phase_f_3000std             h3000         h3000_std      phase_h_3000  phase_h_3000_std
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
      BPM.16L2.B1       26145.16812  0.00416886964746               0.0    0.138829822592    0.138829822592   0.0962725626982               0.0    0.246192421394               0.0    0.999627413169               0.0    0.989607365604               0.0
      BPM.30L6.B1       12067.25338  0.00396484218659               0.0    0.536196994902    0.536196994902   0.0915609146546               0.0    0.656646130401               0.0    0.950704932936               0.0    0.400061074611               0.0
      BPM.12L3.B1       3031.954958  0.00360952982128               0.0    0.905512413881    0.905512413881   0.0833556132517               0.0    0.019836493907               0.0    0.865506783164               0.0    0.763251438117               0.0
      BPM.22R8.B1       21208.86782  0.00274158940146               0.0    0.653923668375    0.653923668375   0.0633120869361               0.0    0.802909985776               0.0    0.657388729587               0.0    0.546324929986               0.0
      BPMW.5L7.B1       16733.39732  0.00419402763452               0.0    0.533044087505    0.533044087505   0.0968535412589               0.0    0.728053313761               0.0     1.00565989095               0.0    0.471468257971               0.0
      BPM.25R7.B1       18037.25725  0.00343641754439               0.0    0.683479662713    0.683479662713    0.079357895899               0.0    0.811417173765               0.0    0.823997263278               0.0    0.554832117975               0.0
      BPM.28L5.B1       8841.347136   0.0038141380071               0.0    0.309471029275    0.309471029275    0.088080672096               0.0    0.441027091263               0.0    0.914568511836               0.0    0.184442035473               0.0
       BPM.9L5.B1       9841.817628  0.00678199029734               0.0    0.254451589526    0.254451589526    0.156617894378               0.0     0.31654096095               0.0     1.62621141709               0.0   0.0599559051594               0.0
      BPM.11L4.B1        6418.11869  0.00295652109058               0.0    0.800259944954    0.800259944954   0.0682755485616               0.0    0.940636637776               0.0    0.708925867126               0.0    0.684051581986               0.0
      BPM.33R3.B1       5135.354309  0.00236860479893               0.0    0.169826321025    0.169826321025   0.0546986769308               0.0    0.310233110162               0.0     0.56795306359               0.0   0.0536480543714               0.0
