@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB1"
@ Q1 %le 0.299853386094
@ Q2 %le 0.331421650825
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds.linx"
*            NAME                 S             COUNT                 X              STDX              XMDL            MUXMDL
$              %s               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1  -0.0931099688754 1.48323969742e-08               0.0     0.03145312858
   "BPMYB.4L2.B1"            48.858                 1    0.611716626092 1.48323969742e-08               0.0     0.05851807485
   "BPMWI.4L2.B1"           73.3255                 1     -0.5047898238 1.48323969742e-08               0.0      0.1097876872
   "BPMSX.4L2.B1"          123.4825                 1     1.68205820285 1.48323969742e-08               0.0      0.1788502064
    "BPMS.2L2.B1"           161.394                 1     2.03919977572 1.48323969742e-08               0.0       0.229253766
   "BPMSW.1L2.B1"           171.328                 1     4.06755830226 1.48323969742e-08               0.0      0.2526788187
   "BPMSW.1R2.B1"           214.518                 1     3.24485146333 1.48323969742e-08               0.0      0.6146370966
    "BPMS.2R2.B1"           224.452                 1     1.97946565681 1.48323969742e-08               0.0       0.632582971
   "BPMSX.4R2.B1"          262.3635                 1     1.22959750611 1.48323969742e-08               0.0      0.6761117673
   "BPMWB.4R2.B1"          312.5965                 1     1.87108071526 1.48323969742e-08               0.0      0.7575836096
   "BPMYB.4R2.B1"           336.988                 1   -0.106971311718 1.48323969742e-08               0.0      0.7924101326
     "BPM.6R2.B1"           439.818                 1 -0.00445937006535 1.48323969742e-08               0.0       1.036087404
   "BPM_A.7R2.B1"           452.693                 1    0.641970216993 1.48323969742e-08               0.0        1.05258811
     "BPM.8R2.B1"       494.1300106                 1   -0.223841221919 1.48323969742e-08               0.0       1.134746992
     "BPM.9R2.B1"       533.1950212                 1 -3.14531228853e-05 1.48323969742e-08               0.0       1.292805637
    "BPM.10R2.B1"       573.6580318                 1  -0.0568686744524 1.48323969742e-08               0.0       1.460281322
    "BPM.11R2.B1"       625.4967424                 1   0.0890674980931 1.48323969742e-08               0.0       1.566688573
    "BPM.14R2.B1"       787.1172901                 1    0.238819699571 1.48323969742e-08               0.0       1.960490566
    "BPM.15R2.B1"        840.565806                 1   -0.115755376389 1.48323969742e-08               0.0       2.072703938
    "BPM.16R2.B1"       894.0143219                 1  -0.0990926185456 1.48323969742e-08               0.0       2.207282493
    "BPM.17R2.B1"       947.4628378                 1    0.263595112044 1.48323969742e-08               0.0       2.323083936
    "BPM.18R2.B1"       1000.911354                 1    0.151389415728 1.48323969742e-08               0.0       2.460771013
    "BPM.19R2.B1"        1054.35987                 1   -0.629373456188 1.48323969742e-08               0.0       2.572979721
