@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ Q1 %le 0.309853386094
@ Q2 %le 0.319421650825
@ RMSbetabeat %le 1.95475552648
@ RescalingFactor %le 1.03097272384
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds.linx"
*            NAME                 S             COUNT              BETX           BETXSTD           BETXMDL            MUXMDL           BETXRES        BETXSTDRES
$              %s               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     148.007615895               0.0        175.128565     0.03145312858     152.591814908               0.0
   "BPMYB.4L2.B1"            48.858                 1     74.2362055463               0.0       84.35832101     0.05851807485     76.5355030397               0.0
   "BPMWI.4L2.B1"           73.3255                 1      73.343927636               0.0       83.45002126      0.1097876872     75.6155888522               0.0
   "BPMSX.4L2.B1"          123.4825                 1     161.741109616               0.0       170.5391556      0.1788502064     166.750672338               0.0
    "BPMS.2L2.B1"           161.394                 1     66.8851638933               0.0       63.40330267       0.229253766     68.9567796037               0.0
   "BPMSW.1L2.B1"           171.328                 1     54.5377685861               0.0        56.6340898      0.2526788187     56.2269518315               0.0
   "BPMSW.1R2.B1"           214.518                 1     54.7087168985               0.0        56.6345024      0.6146370966     56.4031948787               0.0
    "BPMS.2R2.B1"           224.452                 1     163.392837418               0.0       173.4266688       0.632582971     168.453558649               0.0
   "BPMSX.4R2.B1"          262.3635                 1     81.8065101799               0.0       100.2196997      0.6761117673     84.3402806281               0.0
   "BPMWB.4R2.B1"          312.5965                 1     95.2479561079               0.0       104.9354204      0.7575836096     98.1980447489               0.0
   "BPMYB.4R2.B1"           336.988                 1     94.7599141134               0.0       101.2151279      0.7924101326     97.6948867645               0.0
     "BPM.6R2.B1"           439.818                 1     162.630450028               0.0       181.6208991       1.036087404     167.667558045               0.0
   "BPM_A.7R2.B1"           452.693                 1      80.931513867               0.0       85.21587822        1.05258811     83.4381832961               0.0
     "BPM.8R2.B1"       494.1300106                 1     107.783585196               0.0       113.0897601       1.134746992     111.121936415               0.0
     "BPM.9R2.B1"       533.1950212                 1     16.0202794379               0.0       15.94722448       1.292805637     16.5164711288               0.0
    "BPM.10R2.B1"       573.6580318                 1     166.935185046               0.0       171.7411105       1.460281322     172.105622432               0.0
    "BPM.11R2.B1"       625.4967424                 1     32.5342724331               0.0       32.90159014       1.566688573     33.5419474685               0.0
    "BPM.14R2.B1"       787.1172901                 1     169.671571945               0.0         170.35043       1.960490566     174.926762687               0.0
    "BPM.15R2.B1"        840.565806                 1     34.0993088373               0.0       34.55300863       2.072703938     35.1554573131               0.0
    "BPM.16R2.B1"       894.0143219                 1     162.861004686               0.0       168.8433479       2.207282493     167.905253609               0.0
    "BPM.17R2.B1"       947.4628378                 1     33.8289097371               0.0       33.10170512       2.323083936     34.8766832162               0.0
    "BPM.18R2.B1"       1000.911354                 1     169.937187428               0.0       170.3630625       2.460771013     175.200605005               0.0
    "BPM.19R2.B1"        1054.35987                 1     33.7353486337               0.0       34.55282647       2.572979721     34.7802242706               0.0
    "BPM.20R2.B1"       1107.808386                 1     163.073616775               0.0       168.8307202       2.707565464     168.124450873               0.0
    "BPM.21R2.B1"       1161.256901                 1      32.945288952               0.0       33.10189183       2.823371809     33.9656942886               0.0
    "BPM.22R2.B1"       1214.705417                 1     167.393880295               0.0       170.3756854        2.96105144     172.578524722               0.0
    "BPM.23R2.B1"       1268.153933                 1     33.1257758435               0.0       33.11661624       3.076157208     34.1517713508               0.0
    "BPM.27R2.B1"       1481.947997                 1     32.4677719932               0.0       33.11659909       3.581728657     33.4733873289               0.0
    "BPM.28R2.B1"       1535.396513                 1      176.42473349               0.0       170.3730331       3.719408284     181.889088039               0.0
    "BPM.29R2.B1"       1588.845029                 1     33.5946435109               0.0       33.11640494       3.834515594      34.635161127               0.0
    "BPM.30R2.B1"       1642.293545                 1     172.888871129               0.0       170.3757357       3.972194287      178.24371039               0.0
    "BPM.34R2.B1"       1856.087608                 1      172.93931108               0.0       170.3757509        4.47776571     178.295712604               0.0
    "BPM.33L3.B1"       1909.536124                 1     33.6452898985               0.0       33.11656339       4.592871563      34.687376171               0.0
    "BPM.32L3.B1"        1962.98464                 1     166.436728273               0.0       170.3730027       4.730551308     171.591727094               0.0
    "BPM.31L3.B1"       2016.433156                 1     33.0191083495               0.0       33.11644104       4.845658554     34.0418000739               0.0
    "BPM.30L3.B1"       2069.881672                 1     166.110044256               0.0       170.3757594       4.983337132     171.254924784               0.0
    "BPM.29L3.B1"       2123.330188                 1     31.6276267863               0.0         33.116545       5.098443021     32.6072205366               0.0
    "BPM.28L3.B1"       2176.778704                 1     165.674012792               0.0       170.3729976        5.23612282     170.805388238               0.0
    "BPM.27L3.B1"        2230.22722                 1     33.4861482053               0.0       33.11645955       5.351230029     34.5233054262               0.0
    "BPM.26L3.B1"       2283.675735                 1     168.386018151               0.0       170.3757611       5.488908554      173.60139179               0.0
    "BPM.25L3.B1"       2337.124251                 1     34.6543742617               0.0       33.11652639       5.604014482     35.7277146256               0.0
    "BPM.24L3.B1"       2390.572767                 1     168.566171174               0.0       170.3729992       5.741694333     173.787124643               0.0
    "BPM.23L3.B1"       2444.021283                 1     33.4828899489               0.0       33.11647824       5.856801501     34.5199462527               0.0
    "BPM.22L3.B1"       2497.469799                 1     172.297954537               0.0       170.3757561       5.994479976     177.634491501               0.0
    "BPM.21L3.B1"       2550.918315                 1     32.9146067284               0.0       33.11650764       6.109585946      33.934061753               0.0
    "BPM.20L3.B1"       2604.366831                 1     163.739863074               0.0       168.7740195       6.248110946     168.811332635               0.0
    "BPM.19L3.B1"       2657.815347                 1     32.6941129935               0.0       34.54002499       6.360982089     33.7067387265               0.0
    "BPM.18L3.B1"       2711.263863                 1     178.133236456               0.0       170.4266924       6.494760431     183.650507996               0.0
    "BPM.17L3.B1"       2764.712379                 1     36.6685843262               0.0       33.11556542       6.609873695     37.8043102622               0.0
