@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ Q1 %le 0.309853386094
@ Q2 %le 0.319421650825
@ RMSbetabeat %le 0.0847420714562
@ RescalingFactor %le 1.00505137364
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds.liny"
*            NAME                 S             COUNT              BETY           BETYSTD           BETYMDL            MUYMDL           BETYRES        BETYSTDRES
$              %s               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     37.3034656815               0.0       38.64523318      0.1162609817     37.4918994247               0.0
   "BPMYB.4L2.B1"            48.858                 1     104.104555745               0.0       101.2136214      0.1696003151     104.630426753               0.0
   "BPMWI.4L2.B1"           73.3255                 1     111.606403552               0.0       104.8860506      0.2045427787     112.170169197               0.0
   "BPMSX.4L2.B1"          123.4825                 1     108.596243712               0.0       100.2155855      0.2859021958     109.144803914               0.0
    "BPMS.2L2.B1"           161.394                 1     189.992674697               0.0       173.4189685      0.3294328583     190.952398686               0.0
   "BPMSW.1L2.B1"           171.328                 1     56.4646932813               0.0       56.63204898      0.3473795232     56.7499175444               0.0
   "BPMSW.1R2.B1"           214.518                 1     55.9850238193               0.0        56.6339459      0.7093334983     56.2678250928               0.0
    "BPMS.2R2.B1"           224.452                 1     60.3397452281               0.0       63.40233304      0.7327587614     60.6445438265               0.0
   "BPMSX.4R2.B1"          262.3635                 1     161.567667737               0.0       170.5322612      0.7831637028     162.383806395               0.0
   "BPMWB.4R2.B1"          312.5965                 1     75.0804944342               0.0       83.36829239      0.8523756946     75.4597540645               0.0
   "BPMYB.4R2.B1"           336.988                 1      78.811237602               0.0        84.3514057      0.9035045484       79.20934261               0.0
    "BPMR.5R2.B1"           366.522                 1     165.845807367               0.0       177.6713376      0.9382608249     166.683556507               0.0
     "BPM.6R2.B1"           439.818                 1      38.899114937               0.0       41.49103593       1.202622917     39.0956089008               0.0
   "BPM_A.7R2.B1"           452.693                 1     97.8878038443               0.0       104.5241018       1.233940504     98.3822717162               0.0
     "BPM.8R2.B1"       494.1300106                 1     39.1269410666               0.0       37.19868334       1.328247327     39.3245858653               0.0
     "BPM.9R2.B1"       533.1950212                 1      133.23742413               0.0       129.4722727       1.433617497     133.910456142               0.0
    "BPM.10R2.B1"       573.6580318                 1     23.6857524069               0.0       23.62376198       1.545209058     23.8053979922               0.0
    "BPM.11R2.B1"       625.4967424                 1     182.391167252               0.0       177.7202555       1.717704706     183.312493186               0.0
    "BPM.14R2.B1"       787.1172901                 1     35.1007915091               0.0       34.91220257       2.092608637     35.2780987221               0.0
    "BPM.15R2.B1"        840.565806                 1     171.156821705               0.0       173.2968611       2.224249713     172.021398762               0.0
    "BPM.16R2.B1"       894.0143219                 1      38.161392175               0.0       36.76838923       2.331482339     38.3541596255               0.0
    "BPM.17R2.B1"       947.4628378                 1     166.425457842               0.0        171.291828       2.459722589     167.266135013               0.0
    "BPM.18R2.B1"       1000.911354                 1     34.7289234595               0.0       34.88902532       2.571138337      34.904352228               0.0
    "BPM.19R2.B1"        1054.35987                 1      169.38649373               0.0       172.1263455       2.703425811     170.242128199               0.0
    "BPM.20R2.B1"       1107.808386                 1     37.9812648948               0.0       36.75915125       2.811106284      38.173122455               0.0
    "BPM.21R2.B1"       1161.256901                 1     171.149833999               0.0       172.4767374       2.938797872     172.014375759               0.0
    "BPM.22R2.B1"       1214.705417                 1     33.0251484564               0.0       34.93051921       3.049673702     33.1919708208               0.0
    "BPM.23R2.B1"       1268.153933                 1     172.926228851               0.0         172.39216        3.18175462     173.799743845               0.0
    "BPM.24R2.B1"       1321.602449                 1     36.7045155826               0.0       34.92687363       3.292640446      36.889923805               0.0
    "BPM.25R2.B1"       1375.050965                 1     173.485471586               0.0       172.3981218       3.424727436     174.361811524               0.0
    "BPM.26R2.B1"       1428.499481                 1      35.590980245               0.0       34.93058331       3.535603889     35.7707635843               0.0
    "BPM.27R2.B1"       1481.947997                 1      168.45355805               0.0       172.3937313       3.667683855     169.304479913               0.0
    "BPM.28R2.B1"       1535.396513                 1     34.5501021153               0.0        34.9268385       3.778569141     34.7246275904               0.0
    "BPM.29R2.B1"       1588.845029                 1     179.241249994               0.0       172.3965162       3.910657029     180.146664519               0.0
    "BPM.30R2.B1"       1642.293545                 1     34.4535619872               0.0       34.93058919        4.02153409      34.627599802               0.0
    "BPM.31R2.B1"        1695.74206                 1     163.196515401               0.0       172.3953586       4.153613221     164.020881977               0.0
    "BPM.32R2.B1"       1749.190576                 1      33.980588306               0.0       34.92686191       4.264497834      34.152236954               0.0
    "BPM.33R2.B1"       1802.639092                 1     172.494941956               0.0       172.3948798       4.396586489     173.366278359               0.0
    "BPM.33L3.B1"       1909.536124                 1     168.067487976               0.0       172.3969913       4.639542719     168.916459654               0.0
    "BPM.32L3.B1"        1962.98464                 1     34.7848135911               0.0       34.92694315       4.750426547     34.9605246815               0.0
    "BPM.31L3.B1"       2016.433156                 1      164.11861217               0.0       172.3932637       4.882515816     164.947636601               0.0
    "BPM.30L3.B1"       2069.881672                 1      33.612256465               0.0       34.93042737       4.993394442     33.7820445312               0.0
    "BPM.29L3.B1"       2123.330188                 1     173.900975894               0.0       172.3985783        5.12547235       174.7794147               0.0
    "BPM.26L3.B1"       2283.675735                 1     36.3269662685               0.0        34.9302647       5.479324546     36.5104673483               0.0
    "BPM.25L3.B1"       2337.124251                 1     184.180195233               0.0       172.4000702       5.611402107     185.110558216               0.0
    "BPM.24L3.B1"       2390.572767                 1     31.6111571022               0.0        34.9272672       5.722284128     31.7708368679               0.0
    "BPM.23L3.B1"       2444.021283                 1     162.271639618               0.0       172.3902915       5.854374089     163.091334301               0.0
    "BPM.22L3.B1"       2497.469799                 1     34.5283513758               0.0       34.93005375       5.965254575     34.7027669797               0.0
    "BPM.21L3.B1"       2550.918315                 1     170.707551154               0.0       172.4014206        6.09733198     171.569858778               0.0
    "BPM.20L3.B1"       2604.366831                 1      37.748617026               0.0       36.73757379       6.204947961     37.9392993949               0.0
    "BPM.19L3.B1"       2657.815347                 1     168.984775413               0.0       172.1761995       6.332831672     169.838380653               0.0
    "BPM.18L3.B1"       2711.263863                 1     34.0220159255               0.0       34.94210476       6.443801585     34.1938738399               0.0
    "BPM.17L3.B1"       2764.712379                 1     170.007072009               0.0       171.2538155        6.57640033     170.865841251               0.0
    "BPM.16L3.B1"       2818.160894                 1     37.1916873657               0.0       36.68170673       6.684541688     37.3795564748               0.0
    "BPM.14L3.B1"       2925.057926                 1     36.1800828402               0.0       35.02797645       6.922383399     36.3628419569               0.0
    "BPM.13L3.B1"       2978.506442                 1     167.979310761               0.0       170.1575485       7.055330313     168.827837023               0.0
    "BPM.12L3.B1"       3031.954958                 1     35.6121252324               0.0       33.59156211       7.169737579      35.792015383               0.0
    "BPM.11L3.B1"       3085.403474                 1     180.820368764               0.0       179.5494178       7.301795446     181.733760008               0.0
    "BPM.10L3.B1"       3138.184185                 1     35.4309486817               0.0       34.50689136       7.409621911     35.6099236419               0.0
     "BPM.9L3.B1"       3177.249195                 1     109.249983985               0.0        111.608586        7.52721441     109.801846474               0.0
     "BPM.8L3.B1"       3217.712206                 1     15.1007985554               0.0       15.18648925       7.693751159     15.1770783311               0.0
     "BPM.7L3.B1"       3256.776216                 1     142.020487197               0.0       145.3515986       7.866931697     142.737885742               0.0
