@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ Q1 %le 0.299853386094
@ Q2 %le 0.331421650825
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds.linx"
*            NAME                 S             COUNT              BETX           SYSBETX          STATBETX           ERRBETX     CORR_ALFABETA              ALFX           SYSALFX          STATALFX           ERRALFX           BETXMDL           ALFXMDL            MUXMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     181.186957294               0.0               0.0   0.0536388916922               0.0     2.63167177765               0.0               0.0 0.000871076100731       177.1517339       2.787395652      0.0307105773                36
   "BPMYB.4L2.B1"            48.858                 1     83.4855690956               0.0               0.0    0.010344565967               0.0     1.71829935054               0.0               0.0 0.000295695010708       83.42430573       1.769115199     0.05777070718                43
   "BPMWI.4L2.B1"           73.3255                 1     78.1447004702               0.0               0.0  0.00848499687541               0.0   -0.234391260671               0.0               0.0 6.18001516998e-05       79.46384864     -0.4262203305      0.1106630256                35
   "BPMSX.4L2.B1"          123.4825                 1     138.596769133               0.0               0.0   0.0373399745921               0.0   -0.909055262415               0.0               0.0 0.000124155380972       159.6296909      -1.172077859      0.1841212942                35
    "BPMS.2L2.B1"           161.394                 1      58.531714087               0.0               0.0   0.0613417709194               0.0   -0.125975060179               0.0               0.0  0.00690799437454       60.51586181      -1.285964729      0.2375585824                42
   "BPMSW.1L2.B1"           171.328                 1     52.3459536124               0.0               0.0   0.0266220370074               0.0     1.79107838753               0.0               0.0 0.000233533760685       54.94020744       2.036257855      0.2619098945                34
   "BPMSW.1R2.B1"           214.518                 1     53.0875274581               0.0               0.0   0.0262234392747               0.0    -2.05480153319               0.0               0.0 0.000299829899548       53.78132057      -2.009425559      0.6157627793                34
    "BPMS.2R2.B1"           224.452                 1     171.878307518               0.0               0.0    0.183970398673               0.0     -12.504711193               0.0               0.0   0.0236111360098       163.3198522      -10.17836893      0.6347445753                42
   "BPMSX.4R2.B1"          262.3635                 1     94.5948610839               0.0               0.0   0.0200256843423               0.0      0.2376770775               0.0               0.0 0.000228332835031       93.77997746      0.1943010118      0.6811952369                34
   "BPMWB.4R2.B1"          312.5965                 1     96.6421099663               0.0               0.0    0.017331448049               0.0   -0.387866670423               0.0               0.0 0.000252319521222       102.1823307     -0.3615686098      0.7669564086                34
   "BPMYB.4R2.B1"           336.988                 1     104.623683306               0.0               0.0   0.0309214332092               0.0     1.96413011377               0.0               0.0 0.000854705148869       101.4268726       1.986646686      0.8022192363                34
     "BPM.6R2.B1"           439.818                 1     157.833960324               0.0               0.0    0.135859084478               0.0     3.67137390111               0.0               0.0  0.00606754505782       183.0161833       4.596908832       1.035300704                43
   "BPM_A.7R2.B1"           452.693                 1     78.0174370215               0.0               0.0   0.0393604268162               0.0     2.51297767779               0.0               0.0  0.00280930983702       84.69129598        3.03997562       1.051789175                42
     "BPM.8R2.B1"       494.1300106                 1     108.225980807               0.0               0.0    0.103531777367               0.0    -1.02679896769               0.0               0.0   0.0026074717396       106.4141936     -0.9389528484       1.137043441                42
     "BPM.9R2.B1"       533.1950212                 1     16.0900531366               0.0               0.0   0.0145905218311               0.0    0.183776959078               0.0               0.0 0.000370205002988        15.9858868      0.1816342379       1.302613849                34
    "BPM.10R2.B1"       573.6580318                 1     187.414350844               0.0               0.0    0.279529589198               0.0      -4.061372136               0.0               0.0  0.00683002678025       181.9953665      -3.924742909       1.462134842                34
    "BPM.11R2.B1"       625.4967424                 1     31.0311263155               0.0               0.0   0.0560752639262               0.0    0.715094222411               0.0               0.0   0.0010415227984       32.31860712      0.6893541949       1.566060696                33
    "BPM.14R2.B1"       787.1172901                 1     173.338898694               0.0               0.0    0.304427756909               0.0    -2.34848353851               0.0               0.0   0.0131416734299       180.5063043      -2.453085343       1.962332305                25
    "BPM.15R2.B1"        840.565806                 1     33.5899341188               0.0               0.0    0.056833189668               0.0    0.507355400326               0.0               0.0   0.0010546557573       33.77617929      0.5818439535       2.072199532                24
    "BPM.16R2.B1"       894.0143219                 1     158.676803848               0.0               0.0    0.317325724348               0.0     -2.1718617179               0.0               0.0  0.00602831234141       159.3057621       -2.18773699       2.214397629                29
    "BPM.17R2.B1"       947.4628378                 1     34.2767225845               0.0               0.0   0.0510146651033               0.0    0.453472408358               0.0               0.0 0.000947697398907       34.00358741      0.4581619949       2.332446493                26
    "BPM.18R2.B1"       1000.911354                 1     181.596628995               0.0               0.0    0.290825872503               0.0    -2.45543231785               0.0               0.0  0.00545168027518       180.4990122      -2.452764442       2.462596989                20
    "BPM.19R2.B1"        1054.35987                 1     32.8645341986               0.0               0.0   0.0549574261033               0.0     0.57641259069               0.0               0.0  0.00102145279236       33.76856551      0.5817150255       2.572481689                16
    "BPM.20R2.B1"       1107.808386                 1      158.35087485               0.0               0.0    0.321293921481               0.0    -2.20357799891               0.0               0.0   0.0061082700537       159.3131206      -2.188058721       2.714697524                20
    "BPM.21R2.B1"       1161.256901                 1     34.9025209402               0.0               0.0    0.103841214621               0.0    0.461685422541               0.0               0.0  0.00193881226395       34.01120045      0.4582913101         2.8327267                22
    "BPM.22R2.B1"       1214.705417                 1     181.542466651               0.0               0.0    0.834189502046               0.0    -2.43802092079               0.0               0.0   0.0157773551535       180.4915873      -2.452441881       2.962861683                22
    "BPM.23R2.B1"       1268.153933                 1     32.0072974304               0.0               0.0    0.169924631464               0.0    0.569634943831               0.0               0.0  0.00316810555956       32.28357935       0.564067222       3.075737078                22
    "BPM.27R2.B1"       1481.947997                 1     33.3349881176               0.0               0.0   0.0683370390609               0.0    0.587968460852               0.0               0.0  0.00688539531708        32.1444477      0.5598340028       3.581464712                17
    "BPM.28R2.B1"       1535.396513                 1     158.629021914               0.0               0.0    0.343862537179               0.0    -2.19162230809               0.0               0.0  0.00642508068405       161.6924597      -2.268668072       3.727213292                31
    "BPM.29R2.B1"       1588.845029                 1     34.8933535234               0.0               0.0    0.106585019666               0.0    0.463215779625               0.0               0.0  0.00199415087302       34.30419083      0.4767295708       3.843527967                24
    "BPM.30R2.B1"       1642.293545                 1     180.695048673               0.0               0.0    0.753373278052               0.0    -2.42028820829               0.0               0.0   0.0142513399676       179.5702099      -2.432109143       3.973406065                25
    "BPM.34R2.B1"       1856.087608                 1     179.955707498               0.0               0.0     0.31158168131               0.0    -2.41805341458               0.0               0.0   0.0155014690703       179.0435469      -2.421335977        4.47869988                24
    "BPM.33L3.B1"       1909.536124                 1     31.1418714366               0.0               0.0   0.0365077214773               0.0    0.556819608728               0.0               0.0 0.000677695376901        31.8822171      0.5507623911       4.592992385                24
    "BPM.32L3.B1"        1962.98464                 1     166.458934173               0.0               0.0     0.30637979222               0.0    -2.37713452891               0.0               0.0  0.00580319124987       162.7451403      -2.290201203       4.738917489                31
    "BPM.31L3.B1"       2016.433156                 1     34.3341333117               0.0               0.0   0.0494818308266               0.0    0.524255993851               0.0               0.0 0.000925500164523       34.56048233      0.4859827238       4.854244488                22
    "BPM.30L3.B1"       2069.881672                 1     179.347705069               0.0               0.0    0.278402967465               0.0    -2.43771191764               0.0               0.0  0.00522528026942       178.4762713      -2.410228029         4.9840099                23
    "BPM.29L3.B1"       2123.330188                 1     32.0358734862               0.0               0.0   0.0359686624362               0.0    0.559741265373               0.0               0.0 0.000670002351233       31.76040305      0.5459684479       5.098790731                21
    "BPM.28L3.B1"       2176.778704                 1     163.253830455               0.0               0.0     0.30772490499               0.0    -2.29721211676               0.0               0.0  0.00582555106719       163.3316918      -2.301456223       5.244739765                21
    "BPM.27L3.B1"        2230.22722                 1     35.6361398728               0.0               0.0   0.0506821543488               0.0    0.487126633944               0.0               0.0 0.000948747719866       34.67886535      0.4908501695       5.359573959                21
    "BPM.26L3.B1"       2283.675735                 1     173.984146553               0.0               0.0    0.296151794135               0.0    -2.31393721095               0.0               0.0  0.00556654839017       177.8711626      -2.398839727       5.489337398                21
    "BPM.25L3.B1"       2337.124251                 1     32.1691066446               0.0               0.0    0.052165649479               0.0    0.511778071239               0.0               0.0 0.000971705044181       31.64559612      0.5410334639       5.604610723                21
    "BPM.24L3.B1"       2390.572767                 1     164.999526729               0.0               0.0    0.350726435334               0.0    -2.30299779895               0.0               0.0  0.00665648009725       163.9546162      -2.312963853       5.750540516                21
    "BPM.23L3.B1"       2444.021283                 1     34.4593271992               0.0               0.0    0.051303600326               0.0    0.508655113641               0.0               0.0 0.000957786496497       34.78995551      0.4958466448       5.864885818                21
    "BPM.22L3.B1"       2497.469799                 1     179.282644952               0.0               0.0    0.299200153276               0.0    -2.42659626224               0.0               0.0  0.00562602352057       177.2311858       -2.38722687       5.994683583                21
    "BPM.21L3.B1"       2550.918315                 1     31.8464198193               0.0               0.0   0.0526652449309               0.0    0.549194165342               0.0               0.0 0.000981569411669       31.53835885      0.5359816196       6.110451177                21
    "BPM.20L3.B1"       2604.366831                 1     160.415473442               0.0               0.0    0.358124662304               0.0    -2.26132845535               0.0               0.0  0.00679849259836       163.1672425       -2.30623536       6.257193088                20
    "BPM.19L3.B1"       2657.815347                 1     37.0287716606               0.0               0.0   0.0537907051191               0.0    0.466316048956               0.0               0.0   0.0010050103773       36.36702505      0.5060722081         6.3688608                26
    "BPM.18L3.B1"       2711.263863                 1     173.555947939               0.0               0.0    0.307203052744               0.0    -2.26725487188               0.0               0.0   0.0057828783335       177.2510812      -2.342682247       6.494953214                29
    "BPM.17L3.B1"       2764.712379                 1     31.2611029183               0.0               0.0   0.0914520671342               0.0    0.507095242708               0.0               0.0  0.00171083441305       31.53213964      0.5356332607        6.61075335                24
    "BPM.16L3.B1"       2818.160894                 1     166.282991479               0.0               0.0    0.812889133778               0.0     -2.3455942001               0.0               0.0   0.0154958357838       163.2140611      -2.307021552        6.75748585                25
    "BPM.13L3.B1"       2978.506442                 1     33.8319370648               0.0               0.0   0.0438026970425               0.0    0.600832761476               0.0               0.0  0.00425589451901       31.52595076      0.5352847176       7.111055582                33
    "BPM.12L3.B1"       3031.954958                 1     158.471942767               0.0               0.0    0.202314587594               0.0    -2.16668719815               0.0               0.0   0.0034247336992       165.7149525      -2.339209998       7.256303633                35
    "BPM.11L3.B1"       3085.403474                 1     30.2945251399               0.0               0.0   0.0231391764214               0.0    0.416151351594               0.0               0.0 0.000412524617575       29.93219266       0.447537938       7.380910847                43
    "BPM.10L3.B1"       3138.184185                 1     173.718387775               0.0               0.0     0.16647588928               0.0    -2.48272320236               0.0               0.0  0.00291547177953       175.9864401      -2.532214249       7.522174718                43
     "BPM.9L3.B1"       3177.249195                 1     49.3293117454               0.0               0.0   0.0342478440088               0.0     1.18603284152               0.0               0.0 0.000784606972897       53.24474648       1.109977373       7.583522769                44
     "BPM.8L3.B1"       3217.712206                 1     192.634090711               0.0               0.0    0.152387440462               0.0    -3.14215702144               0.0               0.0  0.00313446818613       164.2959028      -2.319553952       7.664417355                44
     "BPM.7L3.B1"       3256.776216                 1     49.2792534035               0.0               0.0   0.0360746120368               0.0     1.40293083487               0.0               0.0 0.000817949496352       55.13891143      0.9998257843       7.727166632                43
     "BPM.6L3.B1"       3329.415216                 1      225.47874756               0.0               0.0   0.0689568018907               0.0     3.11191200445               0.0               0.0 0.000983294809852       213.7359192       2.308705595       7.840624224                42
  "BPMWG.A5L3.B1"       3371.119716                 1     68.5572221284               0.0               0.0   0.0168522676873               0.0     1.44837712398               0.0               0.0  0.00032431530405       72.68014082       1.073561996        7.89492617                42
    "BPMW.5L3.B1"       3400.089716                 1     66.7814315525               0.0               0.0     0.01179816177               0.0   -0.424039735533               0.0               0.0 0.000118123904284       59.65413939     -0.5517602102        7.97317682                42
   "BPMWE.4L3.B1"       3475.217716                 1     239.722241921               0.0               0.0   0.0559409503315               0.0    -1.74138898859               0.0               0.0 0.000526118033421       265.9798231      -2.194561849       8.074883532                44
    "BPMW.4L3.B1"       3502.762716                 1     199.739411166               0.0               0.0    0.052951001228               0.0     2.17224057284               0.0               0.0 0.000824781291663       241.6652601       3.385340967        8.09056014                45
    "BPMW.4R3.B1"       3547.727716                 1     50.2773998979               0.0               0.0  0.00833918657489               0.0    0.827516986395               0.0               0.0 0.000140532098439       41.47047719       1.066894836       8.164697911                45
   "BPMWE.4R3.B1"       3575.272716                 1     29.6728015215               0.0               0.0  0.00648446809884               0.0   -0.563146378253               0.0               0.0 6.31383381351e-05         31.195122     -0.6095269958       8.317993867                45
    "BPMW.5R3.B1"       3650.400716                 1     363.847452539               0.0               0.0   0.0944763144321               0.0    -4.17323089241               0.0               0.0  0.00076913859856       370.9335428       -3.91260085        8.44104824                36
  "BPMWJ.A5R3.B1"       3679.118716                 1     371.027896609               0.0               0.0   0.0509924060792               0.0     5.36184597886               0.0               0.0 0.000619718502152       321.7697782       4.522611625       8.452900622                36
   "BPMWC.6R3.B1"       3718.936716                 1     59.6663127387               0.0               0.0   0.0110880025699               0.0     1.94663437677               0.0               0.0 0.000118468738182       67.31857841       1.867744509       8.496502549                43
    "BPMR.6R3.B1"       3731.015216                 1     36.2976399155               0.0               0.0   0.0117714288069               0.0     0.29890122755               0.0               0.0 0.000465825004733       40.00073496       0.374865539       8.535692106                43
     "BPM.8R3.B1"       3825.903227                 1     35.4491966378               0.0               0.0   0.0368151462259               0.0    0.224198810808               0.0               0.0 0.000333558159727       36.56673345      0.2536372104       8.844918955                43
     "BPM.9R3.B1"       3864.968238                 1     131.998752754               0.0               0.0    0.143207807335               0.0    -2.05488228199               0.0               0.0  0.00351799978145       137.0512693      -2.108727575       8.943146289                21
    "BPM.10R3.B1"       3905.431248                 1     56.3192051679               0.0               0.0   0.0449367314883               0.0    0.634680697533               0.0               0.0  0.00108082366533       56.04345033      0.7049996566       9.014379317                42
    "BPM.11R3.B1"       3958.211959                 1     167.265329204               0.0               0.0    0.202184514727               0.0    -1.70422052516               0.0               0.0  0.00380684319669       174.9530542      -1.834829496       9.108657306                44
    "BPM.12R3.B1"       4012.935475                 1     43.3502064059               0.0               0.0   0.0577445951566               0.0    0.484127561992               0.0               0.0  0.00105816471537       40.18104704      0.5200415978       9.215857112                42
    "BPM.13R3.B1"       4066.383991                 1      140.71786523               0.0               0.0    0.300095537223               0.0    -1.44384378934               0.0               0.0  0.00563185182146       175.7486142      -2.221214013       9.334770036                41
    "BPM.14R3.B1"       4119.832506                 1     35.2701416585               0.0               0.0   0.0973476998744               0.0    0.534931938408               0.0               0.0  0.00183178142529       35.31549583      0.5694977111       9.443591792                26
    "BPM.15R3.B1"       4173.281022                 1     155.030466704               0.0               0.0    0.579648756396               0.0    -2.04108069465               0.0               0.0   0.0110362752713       164.1278919      -2.202786955       9.578755936                32
    "BPM.16R3.B1"       4226.729538                 1    -14.9254162987               0.0               0.0    0.131679933567               0.0    0.661930001684               0.0               0.0  0.00246100899343       32.41322503      0.4696430836        9.69813407                31
    "BPM.18R3.B1"        4333.62657                 1     47.2208680262               0.0               0.0    0.186132969283               0.0     1.27628980526               0.0               0.0  0.00433657866798       35.31217894      0.5695986579       9.943861633                25
    "BPM.19R3.B1"       4387.075086                 1     154.304748039               0.0               0.0     0.91823050928               0.0    -2.04882939627               0.0               0.0   0.0173676748454       164.1047179      -2.202588778       10.07904705                31
    "BPM.20R3.B1"       4440.523602                 1     33.0603911115               0.0               0.0    0.335894685495               0.0    0.475093848595               0.0               0.0  0.00628524826615       32.41655101      0.4695424502       10.19842804                32
    "BPM.22R3.B1"       4547.420634                 1     34.3973331624               0.0               0.0     1.01202400426               0.0    0.558523526028               0.0               0.0  0.00649343323316       35.30884388      0.5696989777        10.4441315                34
    "BPM.25R3.B1"       4707.766181                 1     174.072718842               0.0               0.0     1.12670398721               0.0    -2.19999074904               0.0               0.0   0.0257278649349       176.1204225      -2.485943118       10.84071451                42
    "BPM.30R3.B1"       4975.008761                 1     34.1513336693               0.0               0.0   0.0671956100326               0.0    0.548567986303               0.0               0.0  0.00656352098381       35.19795088       0.576707957       11.45459801                34
    "BPM.31R3.B1"       5028.457277                 1     167.388251701               0.0               0.0    0.288586354633               0.0     -2.2809040681               0.0               0.0  0.00538353012436       164.3653558      -2.209591623       11.58997198                34
    "BPM.32R3.B1"       5081.905793                 1     31.6011168169               0.0               0.0   0.0390035282442               0.0    0.504838160255               0.0               0.0 0.000726212328636       31.21695227      0.4560840042       11.71204874                33
    "BPM.33R3.B1"       5135.354309                 1     183.750600719               0.0               0.0    0.312303945961               0.0    -2.59874799345               0.0               0.0  0.00585808460643       177.4707782      -2.499578287       11.85145219                32
    "BPM.34R3.B1"       5188.802825                 1     34.2038942802               0.0               0.0   0.0359174197148               0.0    0.609165019449               0.0               0.0 0.000675149693778       35.12760163      0.5797832053       11.95984513                24
    "BPM.33L4.B1"        5242.25134                 1      159.32914378               0.0               0.0    0.275320957566               0.0    -2.18215297306               0.0               0.0  0.00521963826272       163.7210719      -2.203472587       12.09575858                23
    "BPM.32L4.B1"       5295.699856                 1     33.8353436542               0.0               0.0   0.0499532577631               0.0    0.415070540953               0.0               0.0 0.000927751761515       31.29209337      0.4531603287       12.21795228                23
    "BPM.31L4.B1"       5349.148372                 1     170.822927097               0.0               0.0    0.309716745781               0.0    -2.31466173918               0.0               0.0  0.00580936853656        178.098214      -2.505334494       12.35679135                23
    "BPM.30L4.B1"       5402.596888                 1     33.8924432031               0.0               0.0   0.0359952025491               0.0    0.519944471829               0.0               0.0 0.000673381048138       35.04776075      0.5825517253       12.46510348                22
    "BPM.29L4.B1"       5456.045404                 1     166.996665637               0.0               0.0    0.276811950917               0.0    -2.26775420298               0.0               0.0  0.00524919995132       163.1112529      -2.198086261       12.60156739                22
    "BPM.28L4.B1"        5509.49392                 1     32.0893435367               0.0               0.0   0.0507753772938               0.0    0.490309849216               0.0               0.0 0.000942542268414        31.3765362      0.4505503564       12.72384078                22
    "BPM.27L4.B1"       5562.942436                 1     176.622780539               0.0               0.0    0.349470972394               0.0    -2.46180744243               0.0               0.0  0.00657563091027       178.6896691      -2.510344338       12.86211227                21
    "BPM.26L4.B1"       5616.390952                 1     33.9791211257               0.0               0.0   0.0519366243314               0.0    0.570826937804               0.0               0.0 0.000969875734121       34.95881945      0.5849999519       12.97037452                22
