@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ Q1 %le 0.309853386094
@ Q2 %le 0.319421650825
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds.linx"
*            NAME                 S             COUNT              BETX           SYSBETX          STATBETX           ERRBETX     CORR_ALFABETA              ALFX           SYSALFX          STATALFX           ERRALFX           BETXMDL           ALFXMDL            MUXMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     178.544067184               0.0               0.0   0.0528553512937               0.0     2.53350632077               0.0               0.0 0.000870205424978        175.128565       2.690097133     0.03145312858                35
   "BPMYB.4L2.B1"            48.858                 1     84.2247695404               0.0               0.0    0.010463199588               0.0     1.67036173334               0.0               0.0 0.000292489120756       84.35832101       1.722651722     0.05851807485                42
   "BPMWI.4L2.B1"           73.3255                 1       81.75047347               0.0               0.0  0.00873361278133               0.0   -0.295477131069               0.0               0.0 6.13517897447e-05       83.45002126     -0.4942360246      0.1097876872                34
   "BPMSX.4L2.B1"          123.4825                 1     149.281427952               0.0               0.0   0.0389769959234               0.0   -0.960306588633               0.0               0.0 0.000125381522325       170.5391556      -1.242094584      0.1788502064                34
    "BPMS.2L2.B1"           161.394                 1     57.7667286412               0.0               0.0    0.043087698196               0.0    0.231556733466               0.0               0.0  0.00532501296944       63.40330267      -1.298296023       0.229253766                42
   "BPMSW.1L2.B1"           171.328                 1     58.2906507046               0.0               0.0   0.0361074405932               0.0     2.11223371189               0.0               0.0 0.000685733978289        56.6340898       2.159488951      0.2526788187                34
   "BPMSW.1R2.B1"           214.518                 1     46.0114311914               0.0               0.0   0.0335844979226               0.0    -1.83645119734               0.0               0.0 0.000672072283636        56.6345024      -2.159498505      0.6146370966                34
    "BPMS.2R2.B1"           224.452                 1     194.046515604               0.0               0.0    0.154252302247               0.0    -18.7334906934               0.0               0.0   0.0193494856109       173.4266688      -10.83847471       0.632582971                42
   "BPMSX.4R2.B1"          262.3635                 1     96.8023997517               0.0               0.0   0.0205739138269               0.0    0.178184554753               0.0               0.0 0.000102017033944       100.2196997      0.2152920739      0.6761117673                34
   "BPMWB.4R2.B1"          312.5965                 1     101.289940659               0.0               0.0   0.0137891819635               0.0    -0.38364609475               0.0               0.0 0.000106810266039       104.9354204     -0.3091690223      0.7575836096                34
