@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ Q1 %le 0.309853386094
@ Q2 %le 0.319421650825
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds.liny"
*            NAME                 S             COUNT              BETY           SYSBETY          STATBETY           ERRBETY     CORR_ALFABETA              ALFY           SYSALFY          STATALFY           ERRALFY           BETYMDL           ALFYMDL            MUYMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     35.4168774481               0.0               0.0   0.0109825600027               0.0   -0.967570037943               0.0               0.0 3.08968939201e-05       38.64523318     -0.9925421098      0.1162609817                43
   "BPMYB.4L2.B1"            48.858                 1     104.053290125               0.0               0.0   0.0233740687833               0.0     -2.0248639126               0.0               0.0 6.52004074036e-05       101.2136214      -2.049187992      0.1696003151                41
   "BPMWI.4L2.B1"           73.3255                 1     108.251893969               0.0               0.0    0.013617891068               0.0    0.330218603741               0.0               0.0 0.000183663261861       104.8860506      0.3084022915      0.2045427787                35
   "BPMSX.4L2.B1"          123.4825                 1     90.6839972924               0.0               0.0   0.0205792652826               0.0  -0.0969034686753               0.0               0.0  6.6746843865e-05       100.2155855     -0.2152853768      0.2859021958                35
    "BPMS.2L2.B1"           161.394                 1     226.996665914               0.0               0.0    0.158543267982               0.0     12.0096694159               0.0               0.0  0.00994974824084       173.4189685       10.83799366      0.3294328583                42
   "BPMSW.1L2.B1"           171.328                 1     59.4166303019               0.0               0.0   0.0340849766874               0.0      2.3456255395               0.0               0.0 7.70693955546e-05       56.63204898       2.159395214      0.3473795232                34
   "BPMSW.1R2.B1"           214.518                 1     48.8060729549               0.0               0.0    0.036545144387               0.0    -2.02819672604               0.0               0.0  0.00010635274499        56.6339459      -2.159439135      0.7093334983                34
    "BPMS.2R2.B1"           224.452                 1     57.5987381486               0.0               0.0   0.0427979301694               0.0    0.886731917123               0.0               0.0  0.00520935627986       63.40233304       1.298317853      0.7327587614                40
   "BPMSX.4R2.B1"          262.3635                 1      175.09619077               0.0               0.0    0.039027877514               0.0      1.3102500775               0.0               0.0 8.07043108791e-05       170.5322612        1.24211527      0.7831637028                33
   "BPMWB.4R2.B1"          312.5965                 1     79.0614585543               0.0               0.0   0.0084684380669               0.0    0.478635945892               0.0               0.0 8.38530545888e-05       83.36829239       0.493078106      0.8523756946                33
