@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ Q1 %le 0.309853386094
@ Q2 %le 0.319421650825
@ RMSbetabeat %le 0
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds.liny"
*            NAME                 S             COUNT              BETY           SYSBETY          STATBETY           ERRBETY     CORR_ALFABETA              ALFY           SYSALFY          STATALFY           ERRALFY           BETYMDL           ALFYMDL            MUYMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     36.6887114792               0.0               0.0  0.00883848876057               0.0    -1.00191689278               0.0               0.0 3.48435705744e-05       38.64523318     -0.9925421098      0.1162609817                43
   "BPMYB.4L2.B1"            48.858                 1     100.721449051               0.0               0.0   0.0274982634904               0.0     -2.2140615928               0.0               0.0 7.79102108439e-05       101.2136214      -2.049187992      0.1696003151                41
   "BPMWI.4L2.B1"           73.3255                 1     107.225783112               0.0               0.0   0.0129399476367               0.0    0.216236158154               0.0               0.0 8.64224536967e-05       104.8860506      0.3084022915      0.2045427787                35
   "BPMSX.4L2.B1"          123.4825                 1     90.1113607514               0.0               0.0   0.0221252021784               0.0   -0.142746260253               0.0               0.0 4.79566394785e-05       100.2155855     -0.2152853768      0.2859021958                35
    "BPMS.2L2.B1"           161.394                 1     221.935565185               0.0               0.0    0.160626765364               0.0     13.9327086571               0.0               0.0   0.0108481993859       173.4189685       10.83799366      0.3294328583                42
   "BPMSW.1L2.B1"           171.328                 1     57.8955655095               0.0               0.0    0.040294914412               0.0     2.80762061422               0.0               0.0 9.36938147898e-05       56.63204898       2.159395214      0.3473795232                34
   "BPMSW.1R2.B1"           214.518                 1      49.256881136               0.0               0.0   0.0473231561076               0.0     -2.3633291876               0.0               0.0 9.37532952875e-05        56.6339459      -2.159439135      0.7093334983                34
    "BPMS.2R2.B1"           224.452                 1     57.1738921494               0.0               0.0   0.0594573338802               0.0    0.931519428168               0.0               0.0  0.00177116708581       63.40233304       1.298317853      0.7327587614                40
   "BPMSX.4R2.B1"          262.3635                 1     174.628123977               0.0               0.0   0.0407069403782               0.0     1.53318495954               0.0               0.0 6.91347212938e-05       170.5322612        1.24211527      0.7831637028                33
   "BPMWB.4R2.B1"          312.5965                 1     79.2806110934               0.0               0.0  0.00838953157358               0.0    0.662375259542               0.0               0.0 8.63166152258e-05       83.36829239       0.493078106      0.8523756946                33
   "BPMYB.4R2.B1"           336.988                 1     80.7541536398               0.0               0.0   0.0242117875133               0.0    -1.83408162128               0.0               0.0 0.000976305663597        84.3514057      -1.722529733      0.9035045484                41
    "BPMR.5R2.B1"           366.522                 1     201.071802811               0.0               0.0     0.10944056532               0.0     2.62889305899               0.0               0.0 0.000182682364782       177.6713376       2.547373094      0.9382608249                34
     "BPM.6R2.B1"           439.818                 1     37.1166594868               0.0               0.0   0.0143714562986               0.0    -1.70976900936               0.0               0.0 7.34763134126e-06       41.49103593      -1.793600967       1.202622917                42
   "BPM_A.7R2.B1"           452.693                 1     100.713952833               0.0               0.0    0.062741700215               0.0    -3.19608951957               0.0               0.0 2.65569295957e-05       104.5241018      -3.102171138       1.233940504                44
     "BPM.8R2.B1"       494.1300106                 1     39.3877261968               0.0               0.0   0.0248925504046               0.0    0.826064145203               0.0               0.0 0.000195888062264       37.19868334      0.6128231884       1.328247327                42
     "BPM.9R2.B1"       533.1950212                 1     119.944985077               0.0               0.0    0.131800034562               0.0    -1.78954785479               0.0               0.0 0.000881416830536       129.4722727      -2.061083495       1.433617497                33
    "BPM.10R2.B1"       573.6580318                 1     25.3690923887               0.0               0.0   0.0272676069401               0.0    0.532092525121               0.0               0.0 0.000186908917646       23.62376198      0.6110104275       1.545209058                41
    "BPM.11R2.B1"       625.4967424                 1     173.614910964               0.0               0.0    0.395189787707               0.0    -3.85702369354               0.0               0.0  0.00235395041843       177.7202555      -2.924280436       1.717704706                35
    "BPM.14R2.B1"       787.1172901                 1     35.6992019748               0.0               0.0   0.0443631464772               0.0    0.452386915888               0.0               0.0  0.00434381323036       34.91220257      0.5307588712       2.092608637                42
    "BPM.15R2.B1"        840.565806                 1     169.363940067               0.0               0.0    0.300701035522               0.0    -2.80984959383               0.0               0.0 0.000925894937724       173.2968611      -2.335549409       2.224249713                35
    "BPM.16R2.B1"       894.0143219                 1     37.4526693653               0.0               0.0   0.0364308851579               0.0    0.738567129527               0.0               0.0 0.000337865252193       36.76838923       0.567638538       2.331482339                43
    "BPM.17R2.B1"       947.4628378                 1     176.807069972               0.0               0.0    0.218216788615               0.0    -1.99486633745               0.0               0.0 0.000716779586304        171.291828      -2.257639794       2.459722589                43
    "BPM.18R2.B1"       1000.911354                 1     33.4830033668               0.0               0.0   0.0360371083158               0.0    0.412694171871               0.0               0.0 0.000242597277441       34.88902532      0.5372658641       2.571138337                44
    "BPM.19R2.B1"        1054.35987                 1        177.944792               0.0               0.0    0.275439584015               0.0    -2.68799608129               0.0               0.0  0.00090527149312       172.1263455      -2.321031202       2.703425811                45
    "BPM.20R2.B1"       1107.808386                 1     36.3070703643               0.0               0.0   0.0350666977754               0.0    0.778231672766               0.0               0.0   0.0003011691572       36.75915125      0.5606076777       2.811106284                45
    "BPM.21R2.B1"       1161.256901                 1     179.785127786               0.0               0.0     0.21311115183               0.0     -2.0353463874               0.0               0.0 0.000730404254962       172.4767374      -2.273251375       2.938797872                44
    "BPM.22R2.B1"       1214.705417                 1     33.9262821891               0.0               0.0   0.0456613654233               0.0    0.512523579096               0.0               0.0 0.000457946380633       34.93051921      0.5446993236       3.049673702                36
    "BPM.23R2.B1"       1268.153933                 1     172.472377895               0.0               0.0    0.277667414289               0.0    -2.57345592595               0.0               0.0 0.000962744297496         172.39216       -2.32365105        3.18175462                44
    "BPM.24R2.B1"       1321.602449                 1     36.0826788292               0.0               0.0   0.0337906010704               0.0    0.654331002411               0.0               0.0  0.00032602033333       34.92687363      0.5446170729       3.292640446                44
    "BPM.25R2.B1"       1375.050965                 1     165.463609222               0.0               0.0     0.21370652306               0.0    -2.11326151141               0.0               0.0 0.000796405125602       172.3981218       -2.32383311       3.424727436                44
    "BPM.26R2.B1"       1428.499481                 1     35.3165239035               0.0               0.0   0.0309187566011               0.0     0.44638853475               0.0               0.0    0.000280200621       34.93058331      0.5446910088       3.535603889                36
    "BPM.27R2.B1"       1481.947997                 1     170.789551883               0.0               0.0    0.226151062724               0.0    -2.54676231088               0.0               0.0 0.000721196231937       172.3937313      -2.323669573       3.667683855                44
    "BPM.28R2.B1"       1535.396513                 1     35.1886694273               0.0               0.0   0.0303220566172               0.0    0.581303914226               0.0               0.0 0.000322275493009        34.9268385      0.5446259652       3.778569141                45
    "BPM.29R2.B1"       1588.845029                 1     175.708785528               0.0               0.0    0.185863751413               0.0     -2.2221109287               0.0               0.0 0.000698955478845       172.3965162      -2.323813309       3.910657029                45
    "BPM.30R2.B1"       1642.293545                 1     34.8018417387               0.0               0.0   0.0371252965474               0.0    0.529529310576               0.0               0.0 0.000480566233614       34.93058919      0.5446816084        4.02153409                45
    "BPM.31R2.B1"        1695.74206                 1     168.668244826               0.0               0.0    0.245800000825               0.0    -2.37636146639               0.0               0.0   0.0013352901535       172.3953586      -2.323690497       4.153613221                45
    "BPM.32R2.B1"       1749.190576                 1     35.0086802936               0.0               0.0   0.0450617340582               0.0    0.556039032594               0.0               0.0 0.000494172422683       34.92686191      0.5446358002       4.264497834                45
    "BPM.33R2.B1"       1802.639092                 1     176.663327362               0.0               0.0    0.363439508705               0.0    -2.29196251873               0.0               0.0  0.00239614479161       172.3948798      -2.323791426       4.396586489                45
    "BPM.33L3.B1"       1909.536124                 1     168.431533882               0.0               0.0    0.224683037896               0.0    -2.25113239712               0.0               0.0  0.00123075306141       172.3969913      -2.323713168       4.639542719                45
    "BPM.32L3.B1"        1962.98464                 1     33.7944774858               0.0               0.0   0.0396225617372               0.0    0.547064294006               0.0               0.0 0.000882076153898       34.92694315      0.5446462713       4.750426547                45
    "BPM.31L3.B1"       2016.433156                 1      176.59041485               0.0               0.0    0.244807343669               0.0    -2.43107588765               0.0               0.0  0.00150698645217       172.3932637      -2.323768144       4.882515816                45
    "BPM.30L3.B1"       2069.881672                 1     35.8344732785               0.0               0.0   0.0572207188463               0.0    0.624878766357               0.0               0.0  0.00055536621159       34.93042737      0.5446607481       4.993394442                45
    "BPM.29L3.B1"       2123.330188                 1     167.886401957               0.0               0.0    0.447466990178               0.0    -2.22537614393               0.0               0.0  0.00259460606387       172.3985783       -2.32373688        5.12547235                45
    "BPM.26L3.B1"       2283.675735                 1     35.6902847978               0.0               0.0   0.0480315294038               0.0    0.475798965573               0.0               0.0  0.00331593190342        34.9302647      0.5446499388       5.479324546                45
    "BPM.25L3.B1"       2337.124251                 1     172.967507199               0.0               0.0     0.28546996129               0.0    -2.20521762081               0.0               0.0 0.000910706642672       172.4000702      -2.323760893       5.611402107                45
    "BPM.24L3.B1"       2390.572767                 1     33.3292397986               0.0               0.0   0.0368249090401               0.0    0.482295285293               0.0               0.0 0.000339300706508        34.9272672      0.5446678055       5.722284128                45
    "BPM.23L3.B1"       2444.021283                 1     175.493958298               0.0               0.0    0.220200644699               0.0    -2.57120501187               0.0               0.0 0.000813624501347       172.3902915      -2.323720305       5.854374089                45
    "BPM.22L3.B1"       2497.469799                 1     34.1389842871               0.0               0.0   0.0345736851849               0.0    0.666564321245               0.0               0.0 0.000258895755056       34.93005375      0.5446393245       5.965254575                45
    "BPM.21L3.B1"       2550.918315                 1     180.633841259               0.0               0.0    0.255036757212               0.0    -2.19861875169               0.0               0.0 0.000799125012565       172.4014206      -2.323784459        6.09733198                45
    "BPM.20L3.B1"       2604.366831                 1     35.2800153164               0.0               0.0   0.0466373331086               0.0    0.476021783698               0.0               0.0 0.000461619868703       36.73757379      0.5620437366       6.204947961                45
    "BPM.19L3.B1"       2657.815347                 1     173.762227854               0.0               0.0    0.234923420329               0.0    -2.58665865779               0.0               0.0   0.0010272778767       172.1761995      -2.269938354       6.332831672                45
    "BPM.18L3.B1"       2711.263863                 1     35.7099612824               0.0               0.0   0.0526211562267               0.0     0.70806942515               0.0               0.0 0.000550284264797       34.94210476      0.5430487487       6.443801585                45
    "BPM.17L3.B1"       2764.712379                 1     170.312322027               0.0               0.0     0.34153316438               0.0    -2.09771937126               0.0               0.0  0.00226247146029       171.2538155      -2.308218099        6.57640033                45
    "BPM.16L3.B1"       2818.160894                 1     37.8622532972               0.0               0.0   0.0940454530686               0.0    0.407930385996               0.0               0.0  0.00053870491685       36.68170673      0.5546900847       6.684541688                45
    "BPM.14L3.B1"       2925.057926                 1     35.5433276273               0.0               0.0   0.0365510415094               0.0    0.733676163541               0.0               0.0  0.00163179963902       35.02797645      0.5506031902       6.922383399                45
    "BPM.13L3.B1"       2978.506442                 1     173.855225923               0.0               0.0    0.199137649978               0.0    -1.93558372766               0.0               0.0 0.000615631368883       170.1575485      -2.291611118       7.055330313                44
    "BPM.12L3.B1"       3031.954958                 1     33.7742191181               0.0               0.0   0.0290324143334               0.0    0.415022045499               0.0               0.0 0.000219193518111       33.59156211      0.5171349923       7.169737579                44
    "BPM.11L3.B1"       3085.403474                 1     170.133059515               0.0               0.0    0.186404804928               0.0    -2.85794541231               0.0               0.0 0.000999855632434       179.5494178      -2.457863594       7.301795446                44
    "BPM.10L3.B1"       3138.184185                 1     35.1537309438               0.0               0.0   0.0235181845357               0.0    0.719074623182               0.0               0.0 0.000534092401637       34.50689136      0.5918614198       7.409621911                43
     "BPM.9L3.B1"       3177.249195                 1     112.631728985               0.0               0.0    0.102745552994               0.0    -1.50728304834               0.0               0.0 0.000702426028699        111.608586       -1.77498357        7.52721441                35
     "BPM.8L3.B1"       3217.712206                 1     15.2127639676               0.0               0.0  0.00949962065848               0.0   0.0732258851487               0.0               0.0 2.33661857536e-05       15.18648925      0.2091678028       7.693751159                43
     "BPM.7L3.B1"       3256.776216                 1     146.534099552               0.0               0.0    0.108165224964               0.0    -3.43065363362               0.0               0.0 0.000666327776634       145.3515986      -3.215082454       7.866931697                43
     "BPM.6L3.B1"       3329.415216                 1     81.6089942349               0.0               0.0   0.0306877987856               0.0    -1.12804309503               0.0               0.0 2.93262060089e-05       80.21117239      -1.380825111       7.986287904                43
  "BPMWG.A5L3.B1"       3371.119716                 1     263.814509688               0.0               0.0   0.0902160439497               0.0      -2.372243128               0.0               0.0 9.44848467164e-05       258.4111636      -2.892090348       8.033061368                35
    "BPMW.5L3.B1"       3400.089716                 1     280.169047715               0.0               0.0   0.0545369666724               0.0     1.55481918274               0.0               0.0 0.000107086473005       293.4058189       1.893834817       8.048660806                43
   "BPMWE.4L3.B1"       3475.217716                 1     96.5074297585               0.0               0.0   0.0197897483171               0.0     0.48463227616               0.0               0.0 6.93254748171e-05       97.07790712      0.7194107344        8.12208579                44
    "BPMW.4L3.B1"       3502.762716                 1     126.976610177               0.0               0.0   0.0156355518487               0.0    -2.02665099216               0.0               0.0 4.15390138207e-05       118.3475155      -1.822922334       8.167712979                45
    "BPMW.4R3.B1"       3547.727716                 1     355.748083908               0.0               0.0     0.09981060474               0.0    -3.84841772421               0.0               0.0 8.13636219303e-05       356.1379191      -3.465422012       8.202856154                44
   "BPMWE.4R3.B1"       3575.272716                 1     361.692426813               0.0               0.0   0.0441975269668               0.0     3.08604625744               0.0               0.0 2.25620087391e-05       367.4677756        2.87839903       8.214145088                44
    "BPMW.5R3.B1"       3650.400716                 1     80.4469628841               0.0               0.0    0.010648392201               0.0       1.149473268               0.0               0.0 5.29352957098e-06       77.58919075      0.9800636584       8.287530793                44
  "BPMWJ.A5R3.B1"       3679.118716                 1     84.8479784024               0.0               0.0   0.0167358601261               0.0     -1.1395211316               0.0               0.0 4.02354247085e-05       87.49877352      -1.247967269       8.350892092                44
   "BPMWC.6R3.B1"       3718.936716                 1     224.950363019               0.0               0.0   0.0711635111232               0.0    -2.35879499703               0.0               0.0  0.00011542878132       233.2218455      -2.411757901       8.395849882                36
    "BPMR.6R3.B1"       3731.015216                 1     241.359542651               0.0               0.0    0.104074616885               0.0     2.57825907762               0.0               0.0 3.77015923278e-05        244.974992       2.314650916        8.40352483                36
   "BPM_A.7R3.B1"       3786.839216                 1     66.7212695527               0.0               0.0   0.0256367820921               0.0    0.894390859124               0.0               0.0 6.50498575431e-06       67.42378392      0.8659023956       8.475038195                44
     "BPM.8R3.B1"       3825.903227                 1      191.14027512               0.0               0.0    0.135734613841               0.0    -1.85353943151               0.0               0.0 0.000161363975196       179.5009916      -2.185146424       8.537054472                44
     "BPM.9R3.B1"       3864.968238                 1     59.3587861713               0.0               0.0   0.0563590652183               0.0    0.793629234208               0.0               0.0 2.03297456534e-05       72.67252719       1.050469175       8.589817924                44
    "BPM.10R3.B1"       3905.431248                 1     195.707782766               0.0               0.0    0.158155572045               0.0    -2.04100454197               0.0               0.0 0.000185700685087       170.3706474      -1.845596458       8.653033727                44
    "BPM.11R3.B1"       3958.211959                 1      41.236895873               0.0               0.0   0.0347524007999               0.0    0.606740363073               0.0               0.0 6.89345168409e-05       41.73516558      0.5568329218       8.754732451                44
    "BPM.12R3.B1"       4012.935475                 1     157.725349089               0.0               0.0    0.212479966935               0.0    -1.90636416631               0.0               0.0 0.000927064689338       162.4919066      -1.936079959       8.876804075                44
    "BPM.13R3.B1"       4066.383991                 1       36.52816549               0.0               0.0   0.0491848864039               0.0    0.599529940191               0.0               0.0 0.000238360266367       34.98876353      0.4829507402       8.991775721                45
    "BPM.14R3.B1"       4119.832506                 1     170.251436042               0.0               0.0     0.42133630954               0.0     -2.2475947957               0.0               0.0  0.00191398254204       174.5302343      -2.347591655       9.122466035                45
    "BPM.15R3.B1"       4173.281022                 1      37.884798781               0.0               0.0    0.101600400016               0.0     0.62085395912               0.0               0.0 0.000652203925402        36.6631262      0.5739333722       9.229430697                45
    "BPM.17R3.B1"       4280.178054                 1     28.3105301952               0.0               0.0    0.159552652524               0.0     1.12896516806               0.0               0.0  0.00290044612373       34.95471978      0.5300487218       9.470372048                45
    "BPM.19R3.B1"       4387.075086                 1     40.4535199882               0.0               0.0   0.0438589167964               0.0    0.355098888367               0.0               0.0  0.00334624883094        36.7311209      0.5685759567       9.709017423                45
    "BPM.20R3.B1"       4440.523602                 1     158.179496331               0.0               0.0    0.223177332907               0.0    -2.51731945633               0.0               0.0 0.000729109492718       171.0402801      -2.255400369       9.837463804                45
    "BPM.21R3.B1"       4493.972118                 1     36.2169879883               0.0               0.0   0.0346286342381               0.0     0.59400831783               0.0               0.0 0.000309470778782       34.91736442      0.5360706543       9.948923651                45
    "BPM.22R3.B1"       4547.420634                 1     171.926865332               0.0               0.0    0.244802661799               0.0    -2.10366619257               0.0               0.0 0.000804921413231       172.3935382      -2.323677734       10.08100529                45
    "BPM.23R3.B1"        4600.86915                 1     35.4280053354               0.0               0.0   0.0361717527123               0.0    0.415993626579               0.0               0.0 0.000312414997679       34.92720164      0.5446286257       10.19188996                45
    "BPM.24R3.B1"       4654.317666                 1     168.194054093               0.0               0.0    0.206213007733               0.0    -2.55983054775               0.0               0.0 0.000760092077912       172.3968723      -2.323807486       10.32397676                45
    "BPM.25R3.B1"       4707.766181                 1     35.4124315623               0.0               0.0    0.028424349657               0.0    0.676532020724               0.0               0.0 0.000279360156009        34.9302367      0.5446800201       10.43485436                45
    "BPM.26R3.B1"       4761.214697                 1     167.350585574               0.0               0.0     0.20739849328               0.0    -2.02631714593               0.0               0.0  0.00066584340956       172.3948421      -2.323693933       10.56693462                45
    "BPM.27R3.B1"       4814.663213                 1     36.4355522403               0.0               0.0   0.0329138677821               0.0     0.36335012422               0.0               0.0 0.000284754984597       34.92720095      0.5446363029       10.67781879                45
    "BPM.28R3.B1"       4868.111729                 1     164.834166023               0.0               0.0    0.200246927016               0.0      -2.629453035               0.0               0.0  0.00073336921736       172.3955525      -2.323790399       10.80990626                45
    "BPM.29R3.B1"       4921.560245                 1     35.9542396598               0.0               0.0   0.0282981663192               0.0     0.66397900081               0.0               0.0 0.000283185153357       34.93021368      0.5446720015       10.92078441                45
    "BPM.30R3.B1"       4975.008761                 1      167.61118745               0.0               0.0    0.185656323684               0.0    -1.91265775766               0.0               0.0 0.000661353000691       172.3961675      -2.323711774       11.05286407                45
    "BPM.31R3.B1"       5028.457277                 1     36.5107800924               0.0               0.0    0.031455297913               0.0    0.361331034872               0.0               0.0 0.000262061891689        34.9272475      0.5446446003       11.16374763                45
    "BPM.32R3.B1"       5081.905793                 1     164.644578191               0.0               0.0     0.19577357802               0.0    -2.67254716784               0.0               0.0 0.000735752350879       172.3942319      -2.323771944       11.29583566                45
    "BPM.33R3.B1"       5135.354309                 1     34.5788315011               0.0               0.0   0.0276890047117               0.0    0.673371638172               0.0               0.0 0.000257905300291       34.93014395        0.54466349       11.40671445                45
    "BPM.34R3.B1"       5188.802825                 1     180.936853083               0.0               0.0    0.182543537732               0.0    -2.02115221684               0.0               0.0 0.000658255946839       172.3974729      -2.323730698       11.53879362                45
    "BPM.33L4.B1"        5242.25134                 1     33.6256720877               0.0               0.0   0.0314448181953               0.0    0.408768611834               0.0               0.0 0.000258114247377       34.92733985      0.5446532593       11.64967651                45
    "BPM.32L4.B1"       5295.699856                 1     177.314654734               0.0               0.0    0.181263387799               0.0    -2.71992475056               0.0               0.0 0.000737424622447       172.3929518      -2.323752698       11.78176494                45
    "BPM.31L4.B1"       5349.148372                 1     34.0885242953               0.0               0.0   0.0264657716138               0.0     0.81182001767               0.0               0.0 0.000241590534556       34.93002971      0.5446547511       11.89264445                45
    "BPM.30L4.B1"       5402.596888                 1     177.696996331               0.0               0.0    0.189110628255               0.0    -1.96465840179               0.0               0.0 0.000652546366326       172.3987177      -2.323750116       12.02472328                45
    "BPM.29L4.B1"       5456.045404                 1     34.7633368964               0.0               0.0   0.0322218635623               0.0    0.393492295241               0.0               0.0 0.000243437629829        34.9274751      0.5446620099       12.13560542                45
    "BPM.28L4.B1"        5509.49392                 1     169.332447062               0.0               0.0    0.208375775526               0.0    -2.80008273904               0.0               0.0  0.00085797284954        172.391752      -2.323733259       12.26769413                45
    "BPM.27L4.B1"       5562.942436                 1     35.1014557325               0.0               0.0   0.0309374233007               0.0    0.738071076078               0.0               0.0 0.000276377208779        34.9298745      0.5446460572       12.37857439                45
    "BPM.26L4.B1"       5616.390952                 1     174.337877733               0.0               0.0    0.195593136929               0.0    -1.97084389216               0.0               0.0 0.000682904482753       172.3998631      -2.323769423       12.51065303                45
    "BPM.25L4.B1"       5669.839468                 1     33.8022167386               0.0               0.0     0.03505737448               0.0    0.380830793183               0.0               0.0 0.000241758607823       34.92764906      0.5446705791        12.6215344                45
    "BPM.24L4.B1"       5723.287984                 1     179.973703068               0.0               0.0    0.248600631004               0.0     -2.8424388921               0.0               0.0 0.000920555188583         172.39067      -2.323714235       12.75362322                45
    "BPM.23L4.B1"         5776.7365                 1     34.5386387774               0.0               0.0   0.0421769504317               0.0    0.816367711958               0.0               0.0 0.000516492758667       34.92968316      0.5446376795       12.86450427                45
    "BPM.22L4.B1"       5830.185015                 1     174.209376597               0.0               0.0    0.241514363578               0.0    -1.92746121052               0.0               0.0  0.00110775242231       172.4008733      -2.323788017       12.99658287                45
    "BPM.21L4.B1"       5883.633531                 1     35.2313705231               0.0               0.0    0.058368771243               0.0    0.438850425505               0.0               0.0 0.000596158314974       34.92785628      0.5446786999       13.10746346                45
    "BPM.20L4.B1"       5937.082047                 1     168.520285027               0.0               0.0    0.370609889505               0.0    -2.68260159843               0.0               0.0  0.00256015109162       170.9451972      -2.304642659        13.2402561                45
    "BPM.19L4.B1"       5990.530563                 1     36.3276138055               0.0               0.0   0.0867920106815               0.0    0.789755336722               0.0               0.0 0.000512289893558       36.68881019      0.5529110774       13.34850102                45
    "BPM.17L4.B1"       6097.427595                 1     35.2934503354               0.0               0.0   0.0406467119168               0.0    0.366923394356               0.0               0.0  0.00194781140424       35.03145393      0.5525514999       13.58604195                45
    "BPM.16L4.B1"       6150.876111                 1     172.848857397               0.0               0.0    0.283971302326               0.0    -2.73763750398               0.0               0.0 0.000868013825799       169.8355877      -2.287366883       13.71914686                45
    "BPM.15L4.B1"       6204.324627                 1     35.8511218755               0.0               0.0   0.0355189452647               0.0    0.676417218265               0.0               0.0 0.000321459039845       36.55662649      0.5450320754       13.82804602                45
    "BPM.14L4.B1"       6257.773143                 1     171.054310079               0.0               0.0    0.187572335689               0.0    -1.99650798237               0.0               0.0 0.000636099369542       174.6780453        -2.3074424       13.95515061                45
    "BPM.13L4.B1"       6311.221659                 1     36.9036313847               0.0               0.0   0.0312335204788               0.0    0.423863504444               0.0               0.0  0.00012439124542       35.18994378       0.560300807       14.06470084                45
    "BPM.12L4.B1"       6364.670174                 1     161.301881232               0.0               0.0    0.216535861966               0.0    -2.58888376442               0.0               0.0 0.000582332720438       169.7550071      -2.282020347       14.19746998                36
    "BPM.11L4.B1"        6418.11869                 1      39.214896811               0.0               0.0   0.0331265482664               0.0    0.592431303262               0.0               0.0 0.000341686820571       38.84974355      0.5636651929       14.30258266                42
    "BPM.10L4.B1"       6469.957401                 1     171.878836188               0.0               0.0    0.186319867785               0.0    -2.16555842784               0.0               0.0 0.000183231193116       175.3024595      -2.289383393         14.419632                43
     "BPM.9L4.B1"       6509.022412                 1     55.8550560482               0.0               0.0   0.0597748564611               0.0     1.04781942029               0.0               0.0 0.000640178736089       53.72387578        1.13360772       14.48026195                42
     "BPM.7L4.B1"       6588.549433                 1      70.097739777               0.0               0.0    0.126539001321               0.0    -16.4119057616               0.0               0.0  0.00343389129882       84.07281104       0.769265945       14.61796582                40
   "BPMYB.6L4.B1"       6685.153433                 1     530.113408237               0.0               0.0    0.724427440469               0.0    -2.28218589877               0.0               0.0 4.60935288206e-05       566.5931612      -3.990733871        14.6956054                33
   "BPMYA.5L4.B1"       6722.153433                 1     237.642725516               0.0               0.0   0.0792227856014               0.0     2.81266152451               0.0               0.0  0.00226130693435       246.7046717       3.872986147       14.71069821                41
  "BPMWI.A5L4.B1"       6798.755933                 1     215.335952835               0.0               0.0  0.00409335985598               0.0 -9.92860580146e-05               0.0               0.0 2.45287584336e-05       215.0565958    -0.09809955074       14.76688731                43
