@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ FILES %s ""
*            NAME                 S                S1                S2             X3000            X3000i            X3000r          X3000RMS        X3000PHASE     X3000PHASERMS            X3000M           X3000Mi           X3000Mr       X3000MPHASE
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288            48.858           73.3255     3.60156713385    0.686301283862    -3.53557298996 1.48323969742e-08    0.469485414933 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMYB.4L2.B1"            48.858           73.3255          123.4825     3.53660797665   -0.719388339572     3.46266897023 1.48323969742e-08    0.967398466307 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMWI.4L2.B1"           73.3255          123.4825           161.394    0.668295866808   -0.525369740408   -0.413044793523 1.48323969742e-08    0.643960086331 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSX.4L2.B1"          123.4825           161.394           171.328     3.57957652099     3.35905946782    -1.23696708175 1.48323969742e-08    0.306155919464 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPMS.2L2.B1"           161.394           171.328           214.518     4.53312884781    -4.51053090696     -0.4520708884 1.48323969742e-08     0.73410168447 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSW.1L2.B1"           171.328           214.518           224.452     3.91228822979      2.7231038119     2.80903983997 1.48323969742e-08    0.122527894328 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSW.1R2.B1"           214.518           224.452          262.3635      3.6313528171    -2.11117945141    -2.95459719864 1.48323969742e-08    0.598742622627 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPMS.2R2.B1"           224.452          262.3635          312.5965     1.71512568546     1.25660965198     1.16729957571 1.48323969742e-08    0.130861487246 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSX.4R2.B1"          262.3635          312.5965           336.988    0.711801533096    -0.48311113472    -0.52274760069 1.48323969742e-08    0.618731647295 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMWB.4R2.B1"          312.5965           336.988           439.818    0.251787102316     0.23396513357   0.0930433295087 1.48323969742e-08    0.189759049353 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMYB.4R2.B1"           336.988           439.818           452.693     0.89573363562   -0.598522836907   -0.666415155652 1.48323969742e-08    0.616465953059 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.6R2.B1"           439.818           452.693       494.1300106    0.867061697802    0.416397916525    0.760531894735 1.48323969742e-08   0.0797252598367 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPM_A.7R2.B1"           452.693       494.1300106       533.1950212    0.260597533503   -0.146912835289   -0.215238689122 1.48323969742e-08     0.59532164939 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.8R2.B1"       494.1300106       533.1950212       573.6580318    0.174964354233    0.170951940067   0.0372553276635 1.48323969742e-08    0.215849529337 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.9R2.B1"       533.1950212       573.6580318       625.4967424    0.333257421381   -0.268759087479   -0.197050911703 1.48323969742e-08    0.649309947801 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.10R2.B1"       573.6580318       625.4967424       787.1172901   0.0770649003599  -0.0750103817069   0.0176760149258 1.48323969742e-08    0.786832521972 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.11R2.B1"       625.4967424       787.1172901        840.565806    0.302701289276   0.0687654776502   -0.294787007198 1.48323969742e-08    0.463525901789 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.14R2.B1"       787.1172901        840.565806       894.0143219    0.358357695194   -0.340154284598    0.112762140696 1.48323969742e-08    0.800945860849 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.15R2.B1"        840.565806       894.0143219       947.4628378    0.390485157809    0.390410714943 -0.00762444275612 1.48323969742e-08    0.253107787446 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.16R2.B1"       894.0143219       947.4628378       1000.911354     0.40561731833   -0.365070266154    -0.17677417713 1.48323969742e-08    0.678230068825 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.17R2.B1"       947.4628378       1000.911354        1054.35987   0.0107751881582   0.0101233400887  0.00369088949893 1.48323969742e-08    0.194357071036 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.18R2.B1"       1000.911354        1054.35987       1107.808386    0.278838795074    0.266645613618   0.0815548304926 1.48323969742e-08    0.202759718567 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.19R2.B1"        1054.35987       1107.808386       1161.256901    0.195565135854   -0.172883513995  -0.0914166995161 1.48323969742e-08    0.672586601542 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.20R2.B1"       1107.808386       1161.256901       1214.705417   0.0525877098224   0.0354983270004   0.0387986598292 1.48323969742e-08    0.117934852017 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.21R2.B1"       1161.256901       1214.705417       1268.153933    0.122055243516   -0.120869944264   0.0169687667071 1.48323969742e-08    0.772198467858 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.22R2.B1"       1214.705417       1268.153933       1481.947997    0.588119961293    0.544114982715    0.223212845636 1.48323969742e-08    0.188041777831 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.23R2.B1"       1268.153933       1481.947997       1535.396513    0.476758734195    0.411436581812    0.240870981602 1.48323969742e-08    0.165704538581 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.27R2.B1"       1481.947997       1535.396513       1588.845029    0.136004298201    0.108844237858   0.0815481515077 1.48323969742e-08     0.14766321778 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.28R2.B1"       1535.396513       1588.845029       1642.293545    0.251379926474  -0.0723392959949   -0.240746534116 1.48323969742e-08    0.546456731899 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.29R2.B1"       1588.845029       1642.293545       1856.087608     2.85499862161   -0.606082611983     2.78992490882 1.48323969742e-08    0.965954215748 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.30R2.B1"       1642.293545       1856.087608       1909.536124     2.58261823977   -0.621489952775     2.50672439869 1.48323969742e-08    0.961320790023 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.34R2.B1"       1856.087608       1909.536124        1962.98464    0.258009006613  0.00455357279764    0.257968820729 1.48323969742e-08  0.00280905406166 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.33L3.B1"       1909.536124        1962.98464       2016.433156    0.207656041309  -0.0958258898876   -0.184223859257 1.48323969742e-08    0.576337913953 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.32L3.B1"        1962.98464       2016.433156       2069.881672    0.110497340434    0.106815879549  -0.0282848036787 1.48323969742e-08    0.291198607287 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.31L3.B1"       2016.433156       2069.881672       2123.330188    0.103517689028  -0.0592308543222   0.0848976904165 1.48323969742e-08    0.903048739899 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.30L3.B1"       2069.881672       2123.330188       2176.778704   0.0130279365553 -0.00394989478703   0.0124147276274 1.48323969742e-08    0.950974738865 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.29L3.B1"       2123.330188       2176.778704        2230.22722    0.319429838022    0.271460159186   -0.168359150015 1.48323969742e-08    0.338353117358 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.28L3.B1"       2176.778704        2230.22722       2283.675735    0.445666239765   -0.352852300031    0.272238225878 1.48323969742e-08    0.854587434944 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.27L3.B1"        2230.22722       2283.675735       2337.124251    0.320051922268  -0.0498846629005   -0.316140401333 1.48323969742e-08    0.524908125483 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.26L3.B1"       2283.675735       2337.124251       2390.572767    0.371237590405    0.323500717262    0.182111598919 1.48323969742e-08    0.168397458848 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.25L3.B1"       2337.124251       2390.572767       2444.021283     0.18543730849   -0.182659188401   0.0319783719527 1.48323969742e-08     0.77758390647 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.24L3.B1"       2390.572767       2444.021283       2497.469799    0.200966426459  -0.0717458538048   -0.187723299101 1.48323969742e-08    0.558100905259 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.23L3.B1"       2444.021283       2497.469799       2550.918315     0.16168484701   -0.146162510801   0.0691267689742 1.48323969742e-08    0.820309874789 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.22L3.B1"       2497.469799       2550.918315       2604.366831    0.184651920692     0.18155395134   -0.033682258953 1.48323969742e-08    0.279194822694 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.21L3.B1"       2550.918315       2604.366831       2657.815347    0.117562664957   0.0152338384949    0.116571481746 1.48323969742e-08   0.0206815455821 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.20L3.B1"       2604.366831       2657.815347       2711.263863    0.374768775372   -0.288162829153   -0.239611808743 1.48323969742e-08    0.639599882861 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.19L3.B1"       2657.815347       2711.263863       2764.712379    0.198584419907    0.081930501938    0.180895452353 1.48323969742e-08   0.0676848553579 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.18L3.B1"       2711.263863       2764.712379       2818.160894    0.144102718818    0.135114252492   0.0500972289094 1.48323969742e-08    0.193489968504 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.17L3.B1"       2764.712379       2818.160894       2978.506442    0.125507622463   -0.122861552225    0.025635956804 1.48323969742e-08     0.78273910071 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.16L3.B1"       2818.160894       2978.506442       3031.954958    0.158119856247   0.0450908919864    0.151554282022 1.48323969742e-08   0.0460248745442 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.13L3.B1"       2978.506442       3031.954958       3085.403474    0.148215390746    -0.14526903527  -0.0294059423539 1.48323969742e-08    0.718212737649 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.12L3.B1"       3031.954958       3085.403474       3138.184185    0.148369655887     0.14835951998  0.00173424887374 1.48323969742e-08    0.248139642741 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.11L3.B1"       3085.403474       3138.184185       3177.249195    0.301870995042   -0.298259812726   0.0465529994777 1.48323969742e-08      0.7746424021 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.10L3.B1"       3138.184185       3177.249195       3217.712206    0.265339708682    0.261776602916  -0.0433378722269 1.48323969742e-08    0.276111724554 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.9L3.B1"       3177.249195       3217.712206       3256.776216    0.561088212937    -0.55701490553    0.067486129791 1.48323969742e-08    0.769189172033 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.8L3.B1"       3217.712206       3256.776216       3329.415216    0.643194616458    0.639004561123  -0.0732972407748 1.48323969742e-08     0.26817648306 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.7L3.B1"       3256.776216       3329.415216       3371.119716    0.126798070875  0.00104727087385    0.126793745908 1.48323969742e-08  0.00131453286542 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.6L3.B1"       3329.415216       3371.119716       3400.089716    0.877430097168   -0.615498094474   -0.625336446335 1.48323969742e-08    0.623738115786 1.48323969742e-08               0.0               0.0               0.0                 0
