@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ CG %le 0.00050128196747
@ QG %le -2.98911642079
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds"
*            NAME                 S             COUNT            F1001W            FWSTD1            F1001R            F1001I            F1010W            FWSTD2            F1010R            F1010I             Q1001          Q1001STD             Q1010          Q1010STD         MDLF1001R         MDLF1001I         MDLF1010R         MDLF1010I
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1   0.0610783360241               0.0   0.0133574262632  -0.0595998514687   0.0196197624332               0.0   0.0141890207592  -0.0135501574835    0.789981581429   0.0131054617364    0.879175905094   0.0373826813323               0.0               0.0               0.0               0.0
   "BPMYB.4L2.B1"            48.858                 1   0.0829085879538               0.0   0.0362227184697  -0.0745771320389   0.0574580028175               0.0   0.0123183262968  -0.0561220181838    0.835315791066    0.149613432894    0.784068660072     0.19854491224               0.0               0.0               0.0               0.0
   "BPMWI.4L2.B1"           73.3255                 1   0.0953459393759               0.0  0.00435085564517  -0.0952466178435   0.0458242732412               0.0  -0.0241990292621  -0.0389136351535    0.754580125888   0.0373568938636    0.662680227765    0.110168699739               0.0               0.0               0.0               0.0
   "BPMSX.4L2.B1"          123.4825                 1   0.0993290595374               0.0   0.0774297747322  -0.0622164934202   0.0453590108318               0.0   0.0331207603599   0.0309912099928    0.897706753291   0.0645674251011    0.119653517999    0.024177464939               0.0               0.0               0.0               0.0
    "BPMS.2L2.B1"           161.394                 1   0.0781704508791               0.0  -0.0766540067991   0.0153226183233    0.130838295843               0.0   -0.130588488304  0.00808123637705    0.459012747775   0.0175607840364    0.489861283434     0.16196491444               0.0               0.0               0.0               0.0
   "BPMSW.1L2.B1"           171.328                 1    0.146638261704               0.0   0.0597790968568   -0.133900109688   0.0796749269114               0.0   0.0765006043594  -0.0222654780092    0.823274759041   0.0745907418698     0.95521304693    0.247027693105               0.0               0.0               0.0               0.0
   "BPMSW.1R2.B1"           214.518                 1   0.0830192863256               0.0  0.00427545811336  -0.0829091210901   0.0751843456308               0.0  -0.0521701750557     0.05413832896    0.745197118394    0.257777120992    0.371523530022    0.290541121461               0.0               0.0               0.0               0.0
    "BPMS.2R2.B1"           224.452                 1   0.0850736809737               0.0 -0.00589048488459  -0.0848695079651   0.0144824733468               0.0  0.00624069602295  -0.0130688847034    0.746262499733   0.0624544485342    0.832843101213    0.350883662865               0.0               0.0               0.0               0.0
   "BPMSX.4R2.B1"          262.3635                 1   0.0793244538316               0.0   0.0164596577835  -0.0775979937971   0.0181961180967               0.0  -0.0104560093572   0.0148919636754     0.78416641035   0.0427484331549    0.344728237629    0.122373010709               0.0               0.0               0.0               0.0
   "BPMWB.4R2.B1"          312.5965                 1   0.0751688322258               0.0  0.00120178211984  -0.0751592247028   0.0109723754048               0.0 0.000788535988863   0.0109440044325    0.758932693896   0.0221341376805    0.240827741251     0.26770607676               0.0               0.0               0.0               0.0
