@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ CG %le 0.00050128196747
@ QG %le -2.98911642079
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds"
*            NAME                 S             COUNT            F1001W            FWSTD1            F1001R            F1001I            F1010W            FWSTD2            F1010R            F1010I             Q1001          Q1001STD             Q1010          Q1010STD         MDLF1001R         MDLF1001I         MDLF1010R         MDLF1010I
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1   0.0358054283116  0.00105484131691 -0.00627943479622  -0.0352504949641   0.0195471106709  0.00076033578686   0.0143512332077  -0.0132714596409     1.54922971867    0.036138897265    0.879399027889   0.0372353356412               0.0               0.0               0.0               0.0
   "BPMWI.4L2.B1"           73.3255                 1    0.115891588071 0.000258959123626  -0.0186467698518   -0.114381633839   0.0437665357644 0.000336107196535  -0.0245267405245  -0.0362484296495     1.55424597763   0.0544006628054    0.653970972391    0.115304294999               0.0               0.0               0.0               0.0
   "BPMSX.4L2.B1"          123.4825                 1    0.159907021188 0.000544772712265    0.151082547666  -0.0523862502567   0.0462422126606 0.000775588214782   0.0335795068461   0.0317924354481     2.03192484733     0.12046251216    0.120401197544   0.0264231393919               0.0               0.0               0.0               0.0
    "BPMS.2L2.B1"           161.394                 1    0.233643558173  0.00133855142125   -0.194961292666    0.128761044723    0.134435902537  0.00161851679372    -0.13427068369  0.00666298674732    0.873611715609   0.0585003833648    0.491092732092    0.156549863622               0.0               0.0               0.0               0.0
   "BPMSX.4R2.B1"          262.3635                 1   0.0844000253819 0.000449800901011   0.0292027021124  -0.0791869084748   0.0180048763139 0.000581861698841  -0.0110334663282   0.0142280775885     1.73010456145    0.118768781267    0.354246492534    0.145445153812               0.0               0.0               0.0               0.0
   "BPMYB.4R2.B1"           336.988                 1    0.197639794772  0.00076755796283    0.113031739031   -0.162127463588   0.0493313891086  0.00076162230306   0.0333834366733   0.0363198583046     1.81737369203     0.17041152081    0.131428945478    0.175658471792               0.0               0.0               0.0               0.0
     "BPM.6R2.B1"           439.818                 1   0.0783652935831 0.000668992349925     0.04952196546  -0.0607346208957   0.0119019990864  0.00160712274151 -0.00187794023874  -0.0117529112442     1.84306414597   0.0501954297753    0.723286337187    0.172560408862               0.0               0.0               0.0               0.0
   "BPM_A.7R2.B1"           452.693                 1   0.0735693449152 0.000290500795264   0.0364418924595  -0.0639096001022   0.0179076131182 0.000361345005617  -0.0147622097524  -0.0101370494138     1.78642986709   0.0698389907581    0.594539438357   0.0142997851568               0.0               0.0               0.0               0.0
     "BPM.8R2.B1"       494.1300106                 1   0.0752030480048 0.000309174216731   0.0387762408928  -0.0644352510001   0.0152028092812 0.000133861299597  -0.0135035150345  0.00698430324044     1.79445753817   0.0520349185799     0.42315529688  0.00454049960647               0.0               0.0               0.0               0.0
     "BPM.9R2.B1"       533.1950212                 1   0.0739305459997 0.000269901243674   0.0164153441589   -0.072085103232   0.0174523574227 0.000471765677327  0.00880797625294   0.0150666629994     1.68590857126   0.0772852772486    0.165461684678   0.0193097847782               0.0               0.0               0.0               0.0
    "BPM.10R2.B1"       573.6580318                 1    0.062649499576 0.000311191434871 -0.00728959613782  -0.0622239631112   0.0209637809527 0.000132774251293   0.0122807658162  -0.0169900824835     1.56960864626    0.082846885455    0.847857570946   0.0247932184247               0.0               0.0               0.0               0.0
    "BPM.11R2.B1"       625.4967424                 1   0.0692843505806 0.000287172238661   0.0277968363879  -0.0634638253038   0.0190518952954 0.000169960075577  -0.0162184969333 -0.00999675305148     1.75043184378    0.063561390607    0.586699754188   0.0479479735936               0.0               0.0               0.0               0.0
    "BPM.14R2.B1"       787.1172901                 1   0.0802282407627 0.000323601839778    0.027172149163  -0.0754867201947   0.0167757414202 0.000194249792485   0.0122951703296  -0.0114129000155     1.72744451646   0.0452160886994    0.879101476231   0.0377398597161               0.0               0.0               0.0               0.0
    "BPM.15R2.B1"        840.565806                 1   0.0686268635138 0.000227079806245   0.0304455874094  -0.0615037608853   0.0183775947338 0.000264824880487  -0.0168924336311 -0.00723751851261     1.76642578422    0.082271649641    0.563258648866   0.0457147311699               0.0               0.0               0.0               0.0
    "BPM.16R2.B1"       894.0143219                 1   0.0687626655872   0.0002347231401  0.00876658117651  -0.0682015486124   0.0106513532451 0.000163344000388 -0.00591030690975  0.00886112849391     1.65309911185   0.0315111184975    0.342910057311   0.0259616681559               0.0               0.0               0.0               0.0
    "BPM.17R2.B1"       947.4628378                 1   0.0767092766366 0.000216450369003   0.0131864886447  -0.0755673847591   0.0143606280863 0.000395925043911  0.00938117523388   0.0108729568317     1.66844143491   0.0350220965246    0.136418936378   0.0389937892342               0.0               0.0               0.0               0.0
    "BPM.18R2.B1"       1000.911354                 1   0.0823817730644 0.000369333638234   0.0135440255811  -0.0812607894639   0.0153003690275 0.000118701829178   0.0121130688226 -0.00934745184943      1.6658441299   0.0593929768075    0.893549412017   0.0124590680377               0.0               0.0               0.0               0.0
    "BPM.19R2.B1"        1054.35987                 1   0.0766010992438 0.000300928952865   0.0183465537612  -0.0743715830842   0.0193100144708 0.000329846760037  -0.0139226543413  -0.0133804467397       1.692040893    0.071119052031    0.620556058305  0.00448553963068               0.0               0.0               0.0               0.0
    "BPM.20R2.B1"       1107.808386                 1   0.0712183211924  0.00023785566181   0.0101317881877  -0.0704939440064   0.0123148483148 0.000427440384068 -0.00204086517392   0.0121445608549     1.65819128973   0.0254128115012    0.275927231049     0.15172744292               0.0               0.0               0.0               0.0
    "BPM.21R2.B1"       1161.256901                 1   0.0920751963868 0.000316578966608   0.0339581610865  -0.0855843740719   0.0202274046112 0.000408187660732  0.00940884382551   0.0179059083872     1.73844455192    0.107640047197    0.172642461654    0.110194815059               0.0               0.0               0.0               0.0
    "BPM.22R2.B1"       1214.705417                 1   0.0555081923789 0.000361805257899  0.00601068746522  -0.0551818000555   0.0148638929844 9.20232725429e-05   0.0068426670382  -0.0131951969464     1.64649354688   0.0861053762097    0.824433450496   0.0623051346619               0.0               0.0               0.0               0.0
    "BPM.27R2.B1"       1481.947997                 1   0.0625481088837  0.00031652958857  0.00279814317121  -0.0624854888732   0.0166566605407 0.000321449132543  -0.0142612856491 -0.00860581617293     1.62472194206   0.0694632903152    0.585201687653  0.00287130287787               0.0               0.0               0.0               0.0
    "BPM.28R2.B1"       1535.396513                 1   0.0705002290384 0.000247390124076  -0.0197764803418  -0.0676695878497   0.0165731030442 0.000240755778233  -0.0114423773341   0.0119891511566     1.51232911679   0.0599304241828    0.370520314696   0.0271822824484               0.0               0.0               0.0               0.0
    "BPM.29R2.B1"       1588.845029                 1   0.0719689753967 0.000156249989565  -0.0146440162937  -0.0704633678335   0.0181575999557 0.000278992690537   0.0114749806182   0.0140720736198     1.53945523785   0.0687776953001    0.140832833472  0.00104547968949               0.0               0.0               0.0               0.0
