@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ DQMIN %le 0.00207082609699
@ DQMINE %le 0.00121318977949
@ FILES %s ""
*            NAME                 S              DETC             DETCE             GAMMA            GAMMAE               C11               C12               C21               C22
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le
     BPMYB.5L2.B1            28.288   0.0132057856267               0.0     1.00666901821               0.0   0.0927136004655  -0.0554603095582   0.0554603095582  -0.0927136004655
     BPMYB.4L2.B1            48.858   0.0140883302027               0.0     1.00711948024               0.0    0.037173009347   -0.097773263551    0.097773263551   -0.037173009347
     BPMWI.4L2.B1           73.3255   0.0272032272294               0.0     1.01388556383               0.0    0.114230395834   0.0402475533973  -0.0402475533973   -0.114230395834
     BPMSX.4L2.B1          123.4825   0.0302891970033               0.0     1.01549755727               0.0    0.189304390269   -0.224527596682    0.224527596682   -0.189304390269
      BPMS.2L2.B1           161.394  -0.0460602954206                -1     0.97773607836                -1   -0.014160320772    0.405256928864   -0.405256928864    0.014160320772
     BPMSW.1L2.B1           171.328   0.0571541316365               0.0     1.02986345856               0.0    0.229936855751   -0.280698968851    0.280698968851   -0.229936855751
     BPMSW.1R2.B1           214.518  0.00493360317458               0.0     1.00247596694               0.0    0.274773550012   0.0960266053565  -0.0960266053565   -0.274773550012
      BPMS.2R2.B1           224.452   0.0273425265927               0.0     1.01395816316               0.0    0.145605656152 -0.000710198885147 0.000710198885147   -0.145605656152
     BPMSX.4R2.B1          262.3635   0.0232897354189               0.0     1.01185230199               0.0    0.187172352759   -0.012149610961    0.012149610961   -0.187172352759
     BPMWB.4R2.B1          312.5965    0.021641142625               0.0     1.01099942694               0.0    0.174100630626 -0.00402442093464  0.00402442093464   -0.174100630626
