@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ Q1 %le 0.299853386094
@ MUX %le 0.0
@ Q2 %le 0.331421650825
@ MUY %le 0.0
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds.linx"
*            NAME             NAME2                 S                S1             COUNT            PHASEX            STDPHX            PHXMDL            MUXMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.5L2.B1"            28.288            28.288                 1               0.0                 0               0.0      0.0307105773
   "BPMYB.4L2.B1"    "BPMYB.5L2.B1"            48.858            28.288                 1     0.02750854823                 0     0.02706012988     0.05777070718
   "BPMWI.4L2.B1"    "BPMYB.5L2.B1"           73.3255            28.288                 1    0.078419656435                 0      0.0799524483      0.1106630256
   "BPMSX.4L2.B1"    "BPMYB.5L2.B1"          123.4825            28.288                 1    0.159215938181                 0      0.1534107169      0.1841212942
    "BPMS.2L2.B1"    "BPMYB.5L2.B1"           161.394            28.288                 1    0.210296807667                 0      0.2068480051      0.2375585824
   "BPMSW.1L2.B1"    "BPMYB.5L2.B1"           171.328            28.288                 1    0.238247305718                 0      0.2311993172      0.2619098945
   "BPMSW.1R2.B1"    "BPMYB.5L2.B1"           214.518            28.288                 1    0.587216644804                 0       0.585052202      0.6157627793
    "BPMS.2R2.B1"    "BPMYB.5L2.B1"           224.452            28.288                 1    0.610837216455                 0       0.604033998      0.6347445753
   "BPMSX.4R2.B1"    "BPMYB.5L2.B1"          262.3635            28.288                 1    0.651537630455                 0      0.6504846596      0.6811952369
   "BPMWB.4R2.B1"    "BPMYB.5L2.B1"          312.5965            28.288                 1    0.742012315278                 0      0.7362458313      0.7669564086
   "BPMYB.4R2.B1"    "BPMYB.5L2.B1"           336.988            28.288                 1    0.777063849278                 0       0.771508659      0.8022192363
     "BPM.6R2.B1"    "BPMYB.5L2.B1"           439.818            28.288                 1  0.00558902614257                 0      0.0045901267       1.035300704
   "BPM_A.7R2.B1"    "BPMYB.5L2.B1"           452.693            28.288                 1   0.0240871483406                 0      0.0210785977       1.051789175
     "BPM.8R2.B1"    "BPMYB.5L2.B1"       494.1300106            28.288                 1    0.111130642262                 0      0.1063328637       1.137043441
     "BPM.9R2.B1"    "BPMYB.5L2.B1"       533.1950212            28.288                 1    0.276177297015                 0      0.2719032717       1.302613849
    "BPM.10R2.B1"    "BPMYB.5L2.B1"       573.6580318            28.288                 1    0.432428638361                 0      0.4314242647       1.462134842
