@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ Q1 %le 0.309853386094
@ MUX %le 64.3098533861
@ Q2 %le 0.319421650825
@ MUY %le 61.3194216508
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds.linx"
*            NAME             NAME2                 S                S1             COUNT            PHASEX            STDPHX            PHXMDL            MUXMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.5L2.B1"            28.288            28.288                 1               0.0                 0               0.0     0.03145312858
   "BPMYB.4L2.B1"    "BPMYB.5L2.B1"            48.858            28.288                 1     0.02751336462                 0     0.02706494627     0.05851807485
   "BPMWI.4L2.B1"    "BPMYB.5L2.B1"           73.3255            28.288                 1    0.076801766755                 0     0.07833455862      0.1097876872
   "BPMSX.4L2.B1"    "BPMYB.5L2.B1"          123.4825            28.288                 1    0.153202299101                 0     0.14739707782      0.1788502064
    "BPMS.2L2.B1"    "BPMYB.5L2.B1"           161.394            28.288                 1    0.201249439987                 0     0.19780063742       0.229253766
   "BPMSW.1L2.B1"    "BPMYB.5L2.B1"           171.328            28.288                 1    0.228273678638                 0     0.22122569012      0.2526788187
   "BPMSW.1R2.B1"    "BPMYB.5L2.B1"           214.518            28.288                 1    0.585348410824                 0     0.58318396802      0.6146370966
    "BPMS.2R2.B1"    "BPMYB.5L2.B1"           224.452            28.288                 1    0.607933060875                 0     0.60112984242       0.632582971
   "BPMSX.4R2.B1"    "BPMYB.5L2.B1"          262.3635            28.288                 1    0.645711609575                 0     0.64465863872      0.6761117673
   "BPMWB.4R2.B1"    "BPMYB.5L2.B1"          312.5965            28.288                 1    0.731896964998                 0     0.72613048102      0.7575836096
   "BPMYB.4R2.B1"    "BPMYB.5L2.B1"           336.988            28.288                 1    0.766512194298                 0     0.76095700402      0.7924101326
     "BPM.6R2.B1"    "BPMYB.5L2.B1"           439.818            28.288                 1  0.00563317486257                 0     0.00463427542       1.036087404
