@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ Q1 %le 0.299853386094
@ MUX %le 0.0
@ Q2 %le 0.331421650825
@ MUY %le 0.0
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds.linx"
*            NAME             NAME2                 S                S1             COUNT            PHASEX            STDPHX            PHXMDL            MUXMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.4L2.B1"            28.288            48.858                 1     0.02750854823                 0     0.02706012988      0.0307105773
   "BPMYB.4L2.B1"    "BPMWI.4L2.B1"            48.858           73.3255                 1    0.050911108205                 0     0.05289231842     0.05777070718
   "BPMWI.4L2.B1"    "BPMSX.4L2.B1"           73.3255          123.4825                 1    0.080796281746                 0      0.0734582686      0.1106630256
   "BPMSX.4L2.B1"     "BPMS.2L2.B1"          123.4825           161.394                 1    0.051080869486                 0      0.0534372882      0.1841212942
    "BPMS.2L2.B1"    "BPMSW.1L2.B1"           161.394           171.328                 1    0.027950498051                 0      0.0243513121      0.2375585824
   "BPMSW.1L2.B1"    "BPMSW.1R2.B1"           171.328           214.518                 1    0.348969339086                 0      0.3538528848      0.2619098945
   "BPMSW.1R2.B1"     "BPMS.2R2.B1"           214.518           224.452                 1    0.023620571651                 0       0.018981796      0.6157627793
    "BPMS.2R2.B1"    "BPMSX.4R2.B1"           224.452          262.3635                 1       0.040700414                 0      0.0464506616      0.6347445753
   "BPMSX.4R2.B1"    "BPMWB.4R2.B1"          262.3635          312.5965                 1    0.090474684823                 0      0.0857611717      0.6811952369
   "BPMWB.4R2.B1"    "BPMYB.4R2.B1"          312.5965           336.988                 1       0.035051534                 0      0.0352628277      0.7669564086
   "BPMYB.4R2.B1"      "BPM.6R2.B1"           336.988           439.818                 1    0.228525176865                 0      0.2330814677      0.8022192363
     "BPM.6R2.B1"    "BPM_A.7R2.B1"           439.818           452.693                 1    0.018498122198                 0       0.016488471       1.035300704
   "BPM_A.7R2.B1"      "BPM.8R2.B1"           452.693       494.1300106                 1   0.0870434939215                 0       0.085254266       1.051789175
     "BPM.8R2.B1"      "BPM.9R2.B1"       494.1300106       533.1950212                 1    0.165046654753                 0       0.165570408       1.137043441
     "BPM.9R2.B1"     "BPM.10R2.B1"       533.1950212       573.6580318                 1    0.156251341346                 0       0.159520993       1.302613849
    "BPM.10R2.B1"     "BPM.11R2.B1"       573.6580318       625.4967424                 1    0.104085559665                 0       0.103925854       1.462134842
    "BPM.11R2.B1"     "BPM.14R2.B1"       625.4967424       787.1172901                 1    0.394997328981                 0       0.396271609       1.566060696
    "BPM.14R2.B1"     "BPM.15R2.B1"       787.1172901        840.565806                 1    0.115091019159                 0       0.109867227       1.962332305
    "BPM.15R2.B1"     "BPM.16R2.B1"        840.565806       894.0143219                 1    0.142070550501                 0       0.142198097       2.072199532
    "BPM.16R2.B1"     "BPM.17R2.B1"       894.0143219       947.4628378                 1    0.118017918923                 0       0.118048864       2.214397629
    "BPM.17R2.B1"     "BPM.18R2.B1"       947.4628378       1000.911354                 1    0.128653766279                 0       0.130150496       2.332446493
    "BPM.18R2.B1"     "BPM.19R2.B1"       1000.911354        1054.35987                 1    0.111329688744                 0         0.1098847       2.462596989
    "BPM.19R2.B1"     "BPM.20R2.B1"        1054.35987       1107.808386                 1    0.145522977191                 0       0.142215835       2.572481689
    "BPM.20R2.B1"     "BPM.21R2.B1"       1107.808386       1161.256901                 1    0.116591963033                 0       0.118029176       2.714697524
    "BPM.21R2.B1"     "BPM.22R2.B1"       1161.256901       1214.705417                 1     0.12729306243                 0       0.130134983         2.8327267
    "BPM.22R2.B1"     "BPM.23R2.B1"       1214.705417       1268.153933                 1    0.112846381668                 0       0.112875395       2.962861683
    "BPM.23R2.B1"     "BPM.27R2.B1"       1268.153933       1481.947997                 1    0.508856256894                 0       0.505727634       3.075737078
    "BPM.27R2.B1"     "BPM.28R2.B1"       1481.947997       1535.396513                 1    0.143831500438                 0        0.14574858       3.581464712
    "BPM.28R2.B1"     "BPM.29R2.B1"       1535.396513       1588.845029                 1    0.116488773095                 0       0.116314675       3.727213292
    "BPM.29R2.B1"     "BPM.30R2.B1"       1588.845029       1642.293545                 1    0.127166789903                 0       0.129878098       3.843527967
    "BPM.30R2.B1"     "BPM.34R2.B1"       1642.293545       1856.087608                 1    0.504633880173                 0       0.505293815       3.973406065
    "BPM.34R2.B1"     "BPM.33L3.B1"       1856.087608       1909.536124                 1    0.114829664848                 0       0.114292505        4.47869988
    "BPM.33L3.B1"     "BPM.32L3.B1"       1909.536124        1962.98464                 1     0.14750261041                 0       0.145925104       4.592992385
    "BPM.32L3.B1"     "BPM.31L3.B1"        1962.98464       2016.433156                 1    0.113001716626                 0       0.115326999       4.738917489
    "BPM.31L3.B1"     "BPM.30L3.B1"       2016.433156       2069.881672                 1    0.130615481687                 0       0.129765412       4.854244488
    "BPM.30L3.B1"     "BPM.29L3.B1"       2069.881672       2123.330188                 1    0.113484128365                 0       0.114780831         4.9840099
    "BPM.29L3.B1"     "BPM.28L3.B1"       2123.330188       2176.778704                 1    0.145628188576                 0       0.145949034       5.098790731
    "BPM.28L3.B1"     "BPM.27L3.B1"       2176.778704        2230.22722                 1    0.113849077231                 0       0.114834194       5.244739765
    "BPM.27L3.B1"     "BPM.26L3.B1"        2230.22722       2283.675735                 1    0.128842526405                 0       0.129763439       5.359573959
    "BPM.26L3.B1"     "BPM.25L3.B1"       2283.675735       2337.124251                 1    0.116641015436                 0       0.115273325       5.489337398
    "BPM.25L3.B1"     "BPM.24L3.B1"       2337.124251       2390.572767                 1    0.143094262491                 0       0.145929793       5.604610723
    "BPM.24L3.B1"     "BPM.23L3.B1"       2390.572767       2444.021283                 1    0.113888644381                 0       0.114345302       5.750540516
    "BPM.23L3.B1"     "BPM.22L3.B1"       2444.021283       2497.469799                 1    0.129815429111                 0       0.129797765       5.864885818
    "BPM.22L3.B1"     "BPM.21L3.B1"       2497.469799       2550.918315                 1    0.114447152116                 0       0.115767594       5.994683583
    "BPM.21L3.B1"     "BPM.20L3.B1"       2550.918315       2604.366831                 1    0.147452399967                 0       0.146741911       6.110451177
    "BPM.20L3.B1"     "BPM.19L3.B1"       2604.366831       2657.815347                 1    0.113497753182                 0       0.111667712       6.257193088
    "BPM.19L3.B1"     "BPM.18L3.B1"       2657.815347       2711.263863                 1    0.125722582501                 0       0.126092414         6.3688608
    "BPM.18L3.B1"     "BPM.17L3.B1"       2711.263863       2764.712379                 1    0.118201560315                 0       0.115800136       6.494953214
    "BPM.17L3.B1"     "BPM.16L3.B1"       2764.712379       2818.160894                 1    0.144855355459                 0         0.1467325        6.61075335
    "BPM.16L3.B1"     "BPM.13L3.B1"       2818.160894       2978.506442                 1    0.357763791783                 0       0.353569732        6.75748585
    "BPM.13L3.B1"     "BPM.12L3.B1"       2978.506442       3031.954958                 1    0.142271410481                 0       0.145248051       7.111055582
    "BPM.12L3.B1"     "BPM.11L3.B1"       3031.954958       3085.403474                 1    0.126554367592                 0       0.124607214       7.256303633
    "BPM.11L3.B1"     "BPM.10L3.B1"       3085.403474       3138.184185                 1    0.140606670169                 0       0.141263871       7.380910847
    "BPM.10L3.B1"      "BPM.9L3.B1"       3138.184185       3177.249195                 1    0.062201868866                 0       0.061348051       7.522174718
     "BPM.9L3.B1"      "BPM.8L3.B1"       3177.249195       3217.712206                 1    0.079481428142                 0       0.080894586       7.583522769
     "BPM.8L3.B1"      "BPM.7L3.B1"       3217.712206       3256.776216                 1    0.059953846845                 0       0.062749277       7.664417355
     "BPM.7L3.B1"      "BPM.6L3.B1"       3256.776216       3329.415216                 1    0.116210678662                 0       0.113457592       7.727166632
     "BPM.6L3.B1"   "BPMWG.A5L3.B1"       3329.415216       3371.119716                 1    0.053655876513                 0       0.054301946       7.840624224
  "BPMWG.A5L3.B1"     "BPMW.5L3.B1"       3371.119716       3400.089716                 1   0.0832500570369                 0        0.07825065        7.89492617
    "BPMW.5L3.B1"    "BPMWE.4L3.B1"       3400.089716       3475.217716                 1   0.0990604675662                 0       0.101706712        7.97317682
   "BPMWE.4L3.B1"     "BPMW.4L3.B1"       3475.217716       3502.762716                 1   0.0204092620059                 0       0.015676608       8.074883532
    "BPMW.4L3.B1"     "BPMW.4R3.B1"       3502.762716       3547.727716                 1   0.0709803931094                 0       0.074137771        8.09056014
    "BPMW.4R3.B1"    "BPMWE.4R3.B1"       3547.727716       3575.272716                 1    0.142440261583                 0       0.153295956       8.164697911
   "BPMWE.4R3.B1"     "BPMW.5R3.B1"       3575.272716       3650.400716                 1     0.13242045247                 0       0.123054373       8.317993867
    "BPMW.5R3.B1"   "BPMWJ.A5R3.B1"       3650.400716       3679.118716                 1    0.010070013216                 0       0.011852382        8.44104824
  "BPMWJ.A5R3.B1"    "BPMWC.6R3.B1"       3679.118716       3718.936716                 1    0.045028557618                 0       0.043601927       8.452900622
   "BPMWC.6R3.B1"     "BPMR.6R3.B1"       3718.936716       3731.015216                 1    0.039842957091                 0       0.039189557       8.496502549
    "BPMR.6R3.B1"      "BPM.8R3.B1"       3731.015216       3825.903227                 1    0.304212197113                 0       0.309226849       8.535692106
     "BPM.8R3.B1"      "BPM.9R3.B1"       3825.903227       3864.968238                 1    0.102466351196                 0       0.098227334       8.844918955
     "BPM.9R3.B1"     "BPM.10R3.B1"       3864.968238       3905.431248                 1   0.0731299423232                 0       0.071233028       8.943146289
    "BPM.10R3.B1"     "BPM.11R3.B1"       3905.431248       3958.211959                 1   0.0954364039824                 0       0.094277989       9.014379317
    "BPM.11R3.B1"     "BPM.12R3.B1"       3958.211959       4012.935475                 1    0.105828412499                 0       0.107199806       9.108657306
    "BPM.12R3.B1"     "BPM.13R3.B1"       4012.935475       4066.383991                 1    0.111600074017                 0       0.118912924       9.215857112
    "BPM.13R3.B1"     "BPM.14R3.B1"       4066.383991       4119.832506                 1    0.111086404438                 0       0.108821756       9.334770036
    "BPM.14R3.B1"     "BPM.15R3.B1"       4119.832506       4173.281022                 1    0.136115057986                 0       0.135164144       9.443591792
    "BPM.15R3.B1"     "BPM.16R3.B1"       4173.281022       4226.729538                 1    0.192712758306                 0       0.119378134       9.578755936
    "BPM.16R3.B1"     "BPM.18R3.B1"       4226.729538        4333.62657                 1    0.173962964121                 0       0.245727563        9.69813407
    "BPM.18R3.B1"     "BPM.19R3.B1"        4333.62657       4387.075086                 1    0.137609552545                 0       0.135185417       9.943861633
    "BPM.19R3.B1"     "BPM.20R3.B1"       4387.075086       4440.523602                 1    0.118095376479                 0        0.11938099       10.07904705
    "BPM.20R3.B1"     "BPM.22R3.B1"       4440.523602       4547.420634                 1    0.245898555225                 0        0.24570346       10.19842804
    "BPM.22R3.B1"     "BPM.25R3.B1"       4547.420634       4707.766181                 1    0.392825433173                 0        0.39658301        10.4441315
    "BPM.25R3.B1"     "BPM.30R3.B1"       4707.766181       4975.008761                 1    0.618232169931                 0         0.6138835       10.84071451
    "BPM.30R3.B1"     "BPM.31R3.B1"       4975.008761       5028.457277                 1    0.136674590815                 0        0.13537397       11.45459801
    "BPM.31R3.B1"     "BPM.32R3.B1"       5028.457277       5081.905793                 1    0.117919836645                 0        0.12207676       11.58997198
    "BPM.32R3.B1"     "BPM.33R3.B1"       5081.905793       5135.354309                 1    0.137450992718                 0        0.13940345       11.71204874
    "BPM.33R3.B1"     "BPM.34R3.B1"       5135.354309       5188.802825                 1     0.10764135194                 0        0.10839294       11.85145219
    "BPM.34R3.B1"     "BPM.33L4.B1"       5188.802825        5242.25134                 1      0.1415689043                 0        0.13591345       11.95984513
    "BPM.33L4.B1"     "BPM.32L4.B1"        5242.25134       5295.699856                 1    0.121472957829                 0         0.1221937       12.09575858
    "BPM.32L4.B1"     "BPM.31L4.B1"       5295.699856       5349.148372                 1    0.134145515604                 0        0.13883907       12.21795228
    "BPM.31L4.B1"     "BPM.30L4.B1"       5349.148372       5402.596888                 1    0.113827295413                 0        0.10831213       12.35679135
    "BPM.30L4.B1"     "BPM.29L4.B1"       5402.596888       5456.045404                 1    0.136273516568                 0        0.13646391       12.46510348
