@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned/Beam1@Turn@2017_09_11@19_02_33_250_dbscanOnCleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscanOnCleanedData' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:57:29"
@ f2h_factor %le 0.0963530879924
@ p_f2h_factor %le 587.256532932
@ FILES %s ""
*            NAME                 S            AMP_20         AMP_20std          PHASE_20       PHASE_20std             f3000          f3000std      phase_f_3000   phase_f_3000std             h3000         h3000_std      phase_h_3000  phase_h_3000_std
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
     BPMWB.4R5.B1       10340.87015  0.00121798519456               0.0   0.0126237177379   0.0126237177379    0.118942051359               0.0    0.256949501673               0.0     1.23443943352               0.0 0.000416569643107               0.0
      BPM.12L3.B1       3031.954958  0.00199100120782               0.0   0.0915827769404   0.0915827769404    0.194430744294               0.0    0.215028409348               0.0     2.01789842282               0.0    0.958495477319               0.0
      BPM.25R7.B1       18037.25725  0.00230307486082               0.0    0.745998277716    0.745998277716    0.224906221851               0.0    0.881406301953               0.0       2.334188001               0.0    0.624873369923               0.0
      BPM.16L2.B1       26145.16812  0.00301393364728               0.0    0.467012179555    0.467012179555    0.294324965746               0.0    0.570870914306               0.0     3.05465005719               0.0    0.314337982276               0.0
       BPM.8R3.B1       3825.903227   0.0020332239492               0.0    0.695657231738    0.695657231738    0.198553995952               0.0    0.843190880542               0.0     2.06069156774               0.0    0.586657948512               0.0
       BPM.9L5.B1       9841.817628  0.00332738071148               0.0    0.100024370829    0.100024370829    0.324934563445               0.0    0.154321264697               0.0     3.37233160052               0.0    0.897788332667               0.0
      BPM.22L3.B1       2497.469799  0.00155066911322               0.0    0.715000370447    0.715000370447    0.151430219455               0.0    0.850553218331               0.0     1.57161770952               0.0    0.594020286302               0.0
      BPM.20R4.B1       7772.376818 0.000846743978824               0.0     0.46282999624     0.46282999624   0.0826885796865               0.0    0.603860914515               0.0    0.858182974821               0.0    0.347327982485               0.0
    BPMWA.B5R4.B1       6890.438933  0.00065475320517               0.0    0.412786038892    0.412786038892   0.0639397668418               0.0    0.583136481307               0.0    0.663598522622               0.0    0.326603549277               0.0
      BPM.27L2.B1        25557.2018  0.00167192924944               0.0    0.178101239981    0.178101239981    0.163271848906               0.0    0.308551151252               0.0     1.69451599641               0.0   0.0520182192225               0.0
