@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscan_after_holeInOneCleaning' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:03:12"
@ Q1 %le 0.30985339184
@ Q2 %le 0.319421650825
@ RMSbetabeat %le 1.92042467696
@ RescalingFactor %le 1.02332091172
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan.sdds.linx"
*            NAME                 S             COUNT              BETX           BETXSTD           BETXMDL            MUXMDL           BETXRES        BETXSTDRES
$              %s               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1      147.98341734               0.0        175.128565     0.03145312858     151.434525552               0.0
   "BPMYB.4L2.B1"            48.858                 1     74.2240682948               0.0       84.35832101     0.05851807485     75.9550412392               0.0
   "BPMWI.4L2.B1"           73.3255                 1     73.3319363514               0.0       83.45002126      0.1097876872     75.0421039656               0.0
   "BPMSX.4L2.B1"          123.4825                 1      161.71466631               0.0       170.5391556      0.1788502064     165.485999767               0.0
    "BPMS.2L2.B1"           161.394                 1      66.874228803               0.0       63.40330267       0.229253766     68.4337967895               0.0
   "BPMSW.1L2.B1"           171.328                 1     54.5288521907               0.0        56.6340898      0.2526788187      55.800514739               0.0
   "BPMSW.1R2.B1"           214.518                 1     54.6997725361               0.0        56.6345024      0.6146370966     55.9754211027               0.0
    "BPMS.2R2.B1"           224.452                 1     163.366124146               0.0       173.4266688       0.632582971     167.175971106               0.0
   "BPMSX.4R2.B1"          262.3635                 1     81.7931354571               0.0       100.2196997      0.6761117673     83.7006259486               0.0
   "BPMWB.4R2.B1"          312.5965                 1     95.2323835714               0.0       104.9354204      0.7575836096     97.4532895819               0.0
   "BPMYB.4R2.B1"           336.988                 1     94.7444213156               0.0       101.2151279      0.7924101326     96.9539476013               0.0
     "BPM.6R2.B1"           439.818                 1     162.603861494               0.0       181.6208991       1.036087404     166.395931794               0.0
   "BPM_A.7R2.B1"           452.693                 1     80.9182823491               0.0       85.21587822        1.05258811     82.8053704685               0.0
     "BPM.8R2.B1"       494.1300106                 1      107.76596354               0.0       113.0897601       1.134746992     110.279164063               0.0
     "BPM.9R2.B1"       533.1950212                 1     16.0176601981               0.0       15.94722448       1.292805637     16.3912066376               0.0
    "BPM.10R2.B1"       573.6580318                 1     166.907892412               0.0       171.7411105       1.460281322     170.800336637               0.0
    "BPM.11R2.B1"       625.4967424                 1     32.5289533968               0.0       32.90159014       1.566688573     33.2875582474               0.0
    "BPM.14R2.B1"       787.1172901                 1     169.643831927               0.0         170.35043       1.960490566     173.600080756               0.0
    "BPM.15R2.B1"        840.565806                 1     34.0937339328               0.0       34.55300863       2.072703938     34.8888308922               0.0
    "BPM.16R2.B1"       894.0143219                 1     162.834378007               0.0       168.8433479       2.207282493     166.631824162               0.0
    "BPM.17R2.B1"       947.4628378                 1     33.8233788662               0.0       33.10170512       2.323083936     34.6121708989               0.0
    "BPM.18R2.B1"       1000.911354                 1     169.909404006               0.0       170.3630625       2.460771013     173.871846218               0.0
    "BPM.19R2.B1"        1054.35987                 1     33.7298332332               0.0       34.55282647       2.572979721     34.5164436964               0.0
    "BPM.20R2.B1"       1107.808386                 1     163.046955318               0.0       168.8307202       2.707565464     166.849358969               0.0
    "BPM.21R2.B1"       1161.256901                 1     32.9399025493               0.0       33.10189183       2.823371809     33.7080911088               0.0
    "BPM.22R2.B1"       1214.705417                 1     167.366512688               0.0       170.3756854        2.96105144     171.269652356               0.0
    "BPM.23R2.B1"       1268.153933                 1      33.120360102               0.0       33.11661624       3.076157208     33.8927570962               0.0
    "BPM.24R2.B1"       1321.602449                 1     172.910525629               0.0       170.3730582       3.213836773     176.942956733               0.0
    "BPM.26R2.B1"       1428.499481                 1     180.611114822               0.0       170.3757138       3.466622864     184.823130687               0.0
    "BPM.27R2.B1"       1481.947997                 1     32.4624638276               0.0       33.11659909       3.581728657     33.2195180808               0.0
    "BPM.28R2.B1"       1535.396513                 1     176.395889165               0.0       170.3730331       3.719408284     180.509602124               0.0
    "BPM.29R2.B1"       1588.845029                 1     33.5891509433               0.0       33.11640494       3.834515594     34.3724805673               0.0
    "BPM.30R2.B1"       1642.293545                 1     172.860605186               0.0       170.3757357       3.972194287       176.8918721               0.0
    "BPM.33R2.B1"       1802.639092                 1     33.2597265904               0.0       33.11642281       4.340087075     34.0353737382               0.0
    "BPM.34R2.B1"       1856.087608                 1     172.911036917               0.0       170.3757509        4.47776571     176.943479945               0.0
    "BPM.33L3.B1"       1909.536124                 1     33.6397892184               0.0       33.11656339       4.592871563     34.4242997731               0.0
    "BPM.32L3.B1"        1962.98464                 1     166.409516872               0.0       170.3730027       4.730551308     170.290338525               0.0
    "BPM.31L3.B1"       2016.433156                 1     33.0137098812               0.0       33.11644104       4.845658554      33.783619695               0.0
    "BPM.30L3.B1"       2069.881672                 1     166.082886652               0.0       170.3757594       4.983337132      169.95609099               0.0
    "BPM.29L3.B1"       2123.330188                 1     31.6224559733               0.0         33.116545       5.098443021     32.3599204776               0.0
    "BPM.28L3.B1"       2176.778704                 1     165.646926079               0.0       170.3729976        5.23612282     169.509963419               0.0
    "BPM.27L3.B1"        2230.22722                 1     33.4806733795               0.0       33.11645955       5.351230029     34.2614732078               0.0
    "BPM.26L3.B1"       2283.675735                 1     168.358488454               0.0       170.3757611       5.488908554     172.284761901               0.0
    "BPM.25L3.B1"       2337.124251                 1     34.6487086027               0.0       33.11652639       5.604014482     35.4567480773               0.0
    "BPM.24L3.B1"       2390.572767                 1     168.538611599               0.0       170.3729992       5.741694333     172.469085682               0.0
    "BPM.23L3.B1"       2444.021283                 1     33.4774156568               0.0       33.11647824       5.856801501     34.2581395121               0.0
    "BPM.22L3.B1"       2497.469799                 1     172.269785288               0.0       170.3757561       5.994479976     176.287273744               0.0
    "BPM.21L3.B1"       2550.918315                 1     32.9092255043               0.0       33.11650764       6.109585946     33.6766986471               0.0
    "BPM.20L3.B1"       2604.366831                 1     163.713092548               0.0       168.7740195       6.248110946     167.531031127               0.0
    "BPM.19L3.B1"       2657.815347                 1      32.688767665               0.0       34.54002499       6.360982089       33.45109953               0.0
    "BPM.18L3.B1"       2711.263863                 1     178.104113194               0.0       170.4266924       6.494760431     182.257663495               0.0
    "BPM.17L3.B1"       2764.712379                 1     36.6625893602               0.0       33.11556542       6.609873695     37.5175943702               0.0
    "BPM.16L3.B1"       2818.160894                 1     162.728445602               0.0       168.7871945       6.748394012     166.523421317               0.0
    "BPM.13L3.B1"       2978.506442                 1     34.1982340245               0.0       33.11463215       7.110161452     34.9957680213               0.0
    "BPM.12L3.B1"       3031.954958                 1     179.564570963               0.0       171.5175732       7.247251311     183.752180471               0.0
    "BPM.11L3.B1"       3085.403474                 1     27.6191303824               0.0        28.2592413       7.373708861      28.263233684               0.0
    "BPM.10L3.B1"       3138.184185                 1     173.924940381               0.0       172.7569671       7.522788108     177.981028562               0.0
     "BPM.9L3.B1"       3177.249195                 1     52.9587245917               0.0       54.93815126       7.583724784     54.1937703329               0.0
     "BPM.8L3.B1"       3217.712206                 1     171.001947758               0.0       175.5991319       7.660416551     174.989869086               0.0
     "BPM.7L3.B1"       3256.776216                 1     56.3844717682               0.0       58.10046323       7.719364003     57.6994090569               0.0
