@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscan_after_holeInOneCleaning' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:03:12"
@ Q1 %le 0.29985339184
@ Q2 %le 0.331421650825
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan.sdds.linx"
*            NAME                 S             COUNT              BETX           SYSBETX          STATBETX           ERRBETX     CORR_ALFABETA              ALFX           SYSALFX          STATALFX           ERRALFX           BETXMDL           ALFXMDL            MUXMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     181.186957294               0.0               0.0   0.0536388916922               0.0     2.63167177765               0.0               0.0 0.000871076100731       177.1517339       2.787395652      0.0307105773                36
   "BPMYB.4L2.B1"            48.858                 1     83.4855690946               0.0               0.0    0.010344565967               0.0     1.71829935055               0.0               0.0 0.000295695010708       83.42430573       1.769115199     0.05777070718                43
   "BPMWI.4L2.B1"           73.3255                 1     78.1447004707               0.0               0.0  0.00848499687541               0.0   -0.234391260668               0.0               0.0 6.18001516998e-05       79.46384864     -0.4262203305      0.1106630256                35
   "BPMSX.4L2.B1"          123.4825                 1     138.596769482               0.0               0.0   0.0373399745921               0.0   -0.909055262452               0.0               0.0 0.000124155380972       159.6296909      -1.172077859      0.1841212942                35
    "BPMS.2L2.B1"           161.394                 1     58.5317139381               0.0               0.0   0.0613417709194               0.0   -0.125975012436               0.0               0.0  0.00690799437454       60.51586181      -1.285964729      0.2375585824                42
   "BPMSW.1L2.B1"           171.328                 1     52.3459543806               0.0               0.0   0.0266220370074               0.0     1.79107843695               0.0               0.0 0.000233533760685       54.94020744       2.036257855      0.2619098945                34
   "BPMSW.1R2.B1"           214.518                 1     53.0875300592               0.0               0.0   0.0262234392747               0.0    -2.05480166597               0.0               0.0 0.000299829899548       53.78132057      -2.009425559      0.6157627793                34
    "BPMS.2R2.B1"           224.452                 1     171.878302825               0.0               0.0    0.183970398673               0.0    -12.5047100773               0.0               0.0   0.0236111360098       163.3198522      -10.17836893      0.6347445753                42
   "BPMSX.4R2.B1"          262.3635                 1     94.5948611972               0.0               0.0   0.0200256843423               0.0    0.237677080477               0.0               0.0 0.000228332835031       93.77997746      0.1943010118      0.6811952369                34
   "BPMWB.4R2.B1"          312.5965                 1     96.6421099842               0.0               0.0    0.017331448049               0.0   -0.387866670644               0.0               0.0 0.000252319521222       102.1823307     -0.3615686098      0.7669564086                34
