@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscan_after_holeInOneCleaning' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:03:12"
@ Q1 %le 0.30985339184
@ Q2 %le 0.319421650825
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan.sdds.linx"
*            NAME                 S             COUNT              BETX           SYSBETX          STATBETX           ERRBETX     CORR_ALFABETA              ALFX           SYSALFX          STATALFX           ERRALFX           BETXMDL           ALFXMDL            MUXMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     178.544066735               0.0               0.0   0.0528553512937               0.0     2.53350631398               0.0               0.0 0.000870205424978        175.128565       2.690097133     0.03145312858                35
   "BPMYB.4L2.B1"            48.858                 1     84.2247693525               0.0               0.0    0.010463199588               0.0     1.67036172839               0.0               0.0 0.000292489120756       84.35832101       1.722651722     0.05851807485                42
   "BPMWI.4L2.B1"           73.3255                 1     81.7504733825               0.0               0.0  0.00873361278133               0.0   -0.295477133058               0.0               0.0 6.13517897447e-05       83.45002126     -0.4942360246      0.1097876872                34
   "BPMSX.4L2.B1"          123.4825                 1     149.281428587               0.0               0.0   0.0389769959234               0.0   -0.960306592207               0.0               0.0 0.000125381522325       170.5391556      -1.242094584      0.1788502064                34
    "BPMS.2L2.B1"           161.394                 1      57.766727413               0.0               0.0    0.043087698196               0.0    0.231556792305               0.0               0.0  0.00532501296944       63.40330267      -1.298296023       0.229253766                42
   "BPMSW.1L2.B1"           171.328                 1     58.2906530173               0.0               0.0   0.0361074405932               0.0     2.11223382019               0.0               0.0 0.000685733978289        56.6340898       2.159488951      0.2526788187                34
   "BPMSW.1R2.B1"           214.518                 1     46.0114323312               0.0               0.0   0.0335844979226               0.0    -1.83645128399               0.0               0.0 0.000672072283636        56.6345024      -2.159498505      0.6146370966                34
    "BPMS.2R2.B1"           224.452                 1     194.046514377               0.0               0.0    0.154252302247               0.0    -18.7334904544               0.0               0.0   0.0193494856109       173.4266688      -10.83847471       0.632582971                42
   "BPMSX.4R2.B1"          262.3635                 1     96.8023998095               0.0               0.0   0.0205739138269               0.0    0.178184557484               0.0               0.0 0.000102017033944       100.2196997      0.2152920739      0.6761117673                34
   "BPMWB.4R2.B1"          312.5965                 1     101.289940482               0.0               0.0   0.0137891819635               0.0   -0.383646092307               0.0               0.0 0.000106810266039       104.9354204     -0.3091690223      0.7575836096                34
   "BPMYB.4R2.B1"           336.988                 1      102.68977584               0.0               0.0   0.0354979865077               0.0     2.01408222039               0.0               0.0   0.0011645048636       101.2151279       2.049233201      0.7924101326                34
     "BPM.6R2.B1"           439.818                 1     158.689061984               0.0               0.0    0.135879878304               0.0     3.63451153961               0.0               0.0  0.00594550434698       181.6208991       4.495719562       1.036087404                43
   "BPM_A.7R2.B1"           452.693                 1     78.3811514561               0.0               0.0   0.0390975888296               0.0     2.47349125415               0.0               0.0  0.00278967419295       85.21587822       2.992049051        1.05258811                42
     "BPM.8R2.B1"       494.1300106                 1     114.626916295               0.0               0.0    0.100200464549               0.0    -1.10624636966               0.0               0.0  0.00250901173282       113.0897601      -1.026351501       1.134746992                42
     "BPM.9R2.B1"       533.1950212                 1      16.074553215               0.0               0.0   0.0136477396668               0.0    0.248581790352               0.0               0.0 0.000350530897959       15.94722448      0.2479066568       1.292805637                34
    "BPM.10R2.B1"       573.6580318                 1     176.722387489               0.0               0.0    0.277100238069               0.0    -3.86412672764               0.0               0.0  0.00686561729461       171.7411105      -3.735870934       1.460281322                34
    "BPM.11R2.B1"       625.4967424                 1     31.4902914965               0.0               0.0   0.0617639715533               0.0     0.66301636367               0.0               0.0  0.00116149192302       32.90159014      0.6368100146       1.566688573                33
    "BPM.14R2.B1"       787.1172901                 1      163.23600597               0.0               0.0    0.287961097956               0.0    -2.24018984395               0.0               0.0   0.0124336573053         170.35043      -2.347473783       1.960490566                25
    "BPM.15R2.B1"        840.565806                 1     34.4407599568               0.0               0.0   0.0476202130576               0.0    0.456245789311               0.0               0.0 0.000883731918692       34.55300863      0.5316580846       2.072703938                24
    "BPM.16R2.B1"       894.0143219                 1     167.890684371               0.0               0.0    0.269881205341               0.0    -2.26188575284               0.0               0.0  0.00510849145507       168.8433479       -2.28480196       2.207282493                29
    "BPM.17R2.B1"       947.4628378                 1     33.3536308377               0.0               0.0   0.0447973530046               0.0    0.499906563746               0.0               0.0 0.000833656238603       33.10170512      0.5063851365       2.323083936                26
    "BPM.18R2.B1"       1000.911354                 1     171.382936198               0.0               0.0    0.272968062224               0.0    -2.34976137357               0.0               0.0  0.00516798690634       170.3630625        -2.3476305       2.460771013                20
    "BPM.19R2.B1"        1054.35987                 1     33.6793332887               0.0               0.0    0.046763244272               0.0    0.527471104205               0.0               0.0 0.000870255638811       34.55282647      0.5317312573       2.572979721                21
    "BPM.20R2.B1"       1107.808386                 1     167.430660493               0.0               0.0    0.277690659385               0.0    -2.29219236127               0.0               0.0  0.00526549002086       168.8307202      -2.284645441       2.707565464                21
