@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscan_after_holeInOneCleaning' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:03:12"
@ CG %le 0.000521137979972
@ QG %le -2.95606035965
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan.sdds"
*            NAME                 S             COUNT            F1001W            FWSTD1            F1001R            F1001I            F1010W            FWSTD2            F1010R            F1010I             Q1001          Q1001STD             Q1010          Q1010STD         MDLF1001R         MDLF1001I         MDLF1010R         MDLF1010I
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1   0.0610783615782               0.0   0.0133574342138  -0.0595998758749   0.0196197624283               0.0   0.0141890207567  -0.0135501574791    0.789981590374   0.0131054666677    0.879175905093   0.0373826810922               0.0               0.0               0.0               0.0
   "BPMYB.4L2.B1"            48.858                 1     0.08290861024               0.0   0.0362227315406  -0.0745771504663   0.0574580027819               0.0   0.0123183262946  -0.0561220181479    0.835315802049    0.149613401262     0.78406866008    0.198544912086               0.0               0.0               0.0               0.0
   "BPMWI.4L2.B1"           73.3255                 1   0.0953459635381               0.0  0.00435086304591  -0.0952466416929   0.0458242732744               0.0  -0.0241990293269  -0.0389136351522    0.754580137002   0.0373568830859    0.662680227582    0.110168699614               0.0               0.0               0.0               0.0
   "BPMSX.4L2.B1"          123.4825                 1   0.0993290776867               0.0   0.0774297791411  -0.0622165169087    0.045359010899               0.0   0.0331207604217   0.0309912100252    0.897706730552    0.064567396746    0.119653517961   0.0241774646181               0.0               0.0               0.0               0.0
    "BPMS.2L2.B1"           161.394                 1   0.0781704402685               0.0  -0.0766540015489   0.0153225904571    0.130838295864               0.0   -0.130588488327  0.00808123635489    0.459012796633   0.0175607369856     0.48986128345     0.16196491434               0.0               0.0               0.0               0.0
   "BPMSW.1L2.B1"           171.328                 1    0.146638286181               0.0   0.0597791001289   -0.133900135033   0.0796749269255               0.0   0.0765006043748   -0.022265478007    0.823274754072   0.0745907403749    0.955213046942    0.247027693022               0.0               0.0               0.0               0.0
   "BPMSW.1R2.B1"           214.518                 1    0.083019297102               0.0  0.00427544964229  -0.0829091323176   0.0751843456079               0.0  -0.0521701750182   0.0541383289644    0.745197096404    0.257777058694    0.371523529939    0.290541121503               0.0               0.0               0.0               0.0
    "BPMS.2R2.B1"           224.452                 1   0.0850737057245               0.0  -0.0058904833117  -0.0848695328846   0.0144824734091               0.0  0.00624069603154  -0.0130688847683    0.746262508436   0.0624544401487    0.832843101055    0.350883662598               0.0               0.0               0.0               0.0
   "BPMSX.4R2.B1"          262.3635                 1   0.0793244783607               0.0      0.0164596601  -0.0775980183805   0.0181961180653               0.0  -0.0104560093481   0.0148919636435    0.784166406777   0.0427484106541    0.344728237662     0.12237301053               0.0               0.0               0.0               0.0
   "BPMWB.4R2.B1"          312.5965                 1     0.07516885758               0.0  0.00120178292646  -0.0751592500474   0.0109723753938               0.0 0.000788535990073   0.0109440044214    0.758932697323   0.0221341413127    0.240827741172    0.267706077111               0.0               0.0               0.0               0.0
