@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscan_after_holeInOneCleaning' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:03:12"
@ CG %le 0.000521137979972
@ QG %le -2.95606035965
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan.sdds"
*            NAME                 S             COUNT            F1001W            FWSTD1            F1001R            F1001I            F1010W            FWSTD2            F1010R            F1010I             Q1001          Q1001STD             Q1010          Q1010STD         MDLF1001R         MDLF1001I         MDLF1010R         MDLF1010I
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1   0.0358054397942  0.00105484131691 -0.00627943681001  -0.0352505062688   0.0195471106694  0.00076033578686   0.0143512332066  -0.0132714596398      1.5492302155    0.036138897265     0.87939902782   0.0372353356412               0.0               0.0               0.0               0.0
   "BPMWI.4L2.B1"           73.3255                 1    0.115891625237 0.000258959123626  -0.0186467758317   -0.114381670521   0.0437665357609 0.000336107196535  -0.0245267405226  -0.0362484296467     1.55424647607   0.0544006628054    0.653970972339    0.115304294999               0.0               0.0               0.0               0.0
   "BPMSX.4L2.B1"          123.4825                 1     0.15990707247 0.000544772712265    0.151082596118  -0.0523862670567    0.046242212657 0.000775588214782   0.0335795068434   0.0317924354456     2.03192549896     0.12046251216    0.120401197534   0.0264231393919               0.0               0.0               0.0               0.0
    "BPMS.2L2.B1"           161.394                 1    0.233643633102  0.00133855142125   -0.194961355189    0.128761086016    0.134435902527  0.00161851679372    -0.13427068368   0.0066629867468    0.873611995773   0.0585003833648    0.491092732054    0.156549863622               0.0               0.0               0.0               0.0
   "BPMSX.4R2.B1"          262.3635                 1   0.0844000524486 0.000449800901011   0.0292027114776  -0.0791869338697   0.0180048763125 0.000581861698841  -0.0110334663273   0.0142280775874     1.73010511629    0.118768781267    0.354246492506    0.145445153812               0.0               0.0               0.0               0.0
   "BPMYB.4R2.B1"           336.988                 1    0.197639858155  0.00076755796283     0.11303177528   -0.162127515581   0.0493313891047  0.00076162230306   0.0333834366707   0.0363198583017     1.81737427485     0.17041152081    0.131428945467    0.175658471792               0.0               0.0               0.0               0.0
     "BPM.6R2.B1"           439.818                 1   0.0783653187145 0.000668992349925   0.0495219813414   -0.060734640373   0.0119019990855  0.00160712274151 -0.00187794023859  -0.0117529112433     1.84306473703   0.0501954297753     0.72328633713    0.172560408862               0.0               0.0               0.0               0.0
   "BPM_A.7R2.B1"           452.693                 1   0.0735693685086 0.000290500795264   0.0364419041463  -0.0639096205977   0.0179076131167 0.000361345005617  -0.0147622097512   -0.010137049413     1.78643043999   0.0698389907581     0.59453943831   0.0142997851568               0.0               0.0               0.0               0.0
     "BPM.8R2.B1"       494.1300106                 1   0.0752030721221 0.000309174216731   0.0387762533281  -0.0644352716642     0.01520280928 0.000133861299597  -0.0135035150334  0.00698430323989     1.79445811365   0.0520349185799    0.423155296847  0.00454049960647               0.0               0.0               0.0               0.0
     "BPM.9R2.B1"       533.1950212                 1   0.0739305697089 0.000269901243674   0.0164153494232  -0.0720851263494   0.0174523574213 0.000471765677327  0.00880797625225   0.0150666629982     1.68590911192   0.0772852772486    0.165461684665   0.0193097847782               0.0               0.0               0.0               0.0
