@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscan_after_holeInOneCleaning' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:03:12"
@ DQMIN %le 0.0020554074756
@ DQMINE %le 0.00120575428993
@ FILES %s ""
*            NAME                 S              DETC             DETCE             GAMMA            GAMMAE               C11               C12               C21               C22
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le
     BPMYB.5L2.B1            28.288   0.0132057977863               0.0     1.00666902441               0.0   0.0927136501835   -0.055460325902    0.055460325902  -0.0927136501835
     BPMYB.4L2.B1            48.858   0.0140883445869               0.0     1.00711948758               0.0   0.0371730468077  -0.0977732905877   0.0977732905877  -0.0371730468077
     BPMWI.4L2.B1           73.3255    0.027203244659               0.0     1.01388557292               0.0    0.114230445221   0.0402475388823  -0.0402475388823   -0.114230445221
     BPMSX.4L2.B1          123.4825   0.0302892105419               0.0     1.01549756436               0.0    0.189304439361   -0.224527607329    0.224527607329   -0.189304439361
      BPMS.2L2.B1           161.394   -0.046060302706                -1    0.977736074955                -1  -0.0141602662744    0.405256917231   -0.405256917231   0.0141602662744
     BPMSW.1L2.B1           171.328   0.0571541571545               0.0     1.02986347249               0.0    0.229936911072   -0.280698979421    0.280698979421   -0.229936911072
     BPMSW.1R2.B1           214.518  0.00493361027493               0.0     1.00247597052               0.0    0.274773573512   0.0960266226079  -0.0960266226079   -0.274773573512
      BPMS.2R2.B1           224.452   0.0273425425224               0.0     1.01395817146               0.0    0.145605707748 -0.00071020209805  0.00071020209805   -0.145605707748
     BPMSX.4R2.B1          262.3635   0.0232897502727               0.0     1.01185230969               0.0    0.187172403868  -0.0121496157596   0.0121496157596   -0.187172403868
     BPMWB.4R2.B1          312.5965   0.0216411572199               0.0     1.01099943448               0.0    0.174100683149 -0.00402442259809  0.00402442259809   -0.174100683149
     BPMYB.4R2.B1           336.988   0.0247088009212               0.0     1.01258816568               0.0    0.192629773701  -0.0304131178638   0.0304131178638   -0.192629773701
