@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan/Beam1@Turn@2017_09_11@19_02_33_250_addDbscan.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_dbscan_after_holeInOneCleaning' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "21. December 2017, 14:03:12"
@ f2h_factor %le 0.0963530416079
@ p_f2h_factor %le 587.256532986
@ FILES %s ""
*            NAME                 S            AMP_20         AMP_20std          PHASE_20       PHASE_20std             f3000          f3000std      phase_f_3000   phase_f_3000std             h3000         h3000_std      phase_h_3000  phase_h_3000_std
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
     BPMWB.4R5.B1       10340.87015  0.00121798519456               0.0   0.0126237177379   0.0126237177379     0.11850121844               0.0    0.256949501673               0.0     1.22986484352               0.0 0.000416515490883               0.0
      BPM.12L3.B1       3031.954958  0.00199100120782               0.0   0.0915827769404   0.0915827769404    0.193710128904               0.0    0.215028409348               0.0     2.01042048774               0.0    0.958495423166               0.0
      BPM.25R7.B1       18037.25725  0.00230307486082               0.0    0.745998277716    0.745998277716    0.224072655713               0.0    0.881406301953               0.0     2.32553795888               0.0    0.624873315771               0.0
      BPM.16L2.B1       26145.16812  0.00301393364728               0.0    0.467012179555    0.467012179555    0.293234114088               0.0    0.570870914306               0.0     3.04333012424               0.0    0.314337928124               0.0
       BPM.8R3.B1       3825.903227   0.0020332239492               0.0    0.695657231738    0.695657231738    0.197818098624               0.0    0.843190880542               0.0     2.05305504967               0.0     0.58665789436               0.0
       BPM.9L5.B1       9841.817628  0.00332738071148               0.0    0.100024370829    0.100024370829     0.32373026395               0.0    0.154321264697               0.0     3.35983440219               0.0    0.897788278515               0.0
      BPM.22L3.B1       2497.469799  0.00155066911322               0.0    0.715000370447    0.715000370447    0.150868976186               0.0    0.850553218331               0.0     1.56579360307               0.0    0.594020232149               0.0
      BPM.20R4.B1       7772.376818 0.000846743978824               0.0     0.46282999624     0.46282999624   0.0823821123977               0.0    0.603860914515               0.0    0.855002717329               0.0    0.347327928333               0.0
    BPMWA.B5R4.B1       6890.438933  0.00065475320517               0.0    0.412786038892    0.412786038892   0.0637027879619               0.0    0.583136481307               0.0    0.661139356878               0.0    0.326603495125               0.0
      BPM.27L2.B1        25557.2018  0.00167192924944               0.0    0.178101239981    0.178101239981    0.162666717205               0.0    0.308551151252               0.0     1.68823645306               0.0   0.0520181650703               0.0
      BPM.17R8.B1       20941.62524  0.00173528760304               0.0    0.668103227432    0.668103227432    0.168831030313               0.0      0.7893439505               0.0     1.75221277393               0.0    0.532810964317               0.0
      BPM.19L4.B1       5990.530563 0.000920251311398               0.0    0.648024502336    0.648024502336   0.0895338483245               0.0    0.788016556974               0.0    0.929227005504               0.0    0.531483570792               0.0
      BPM.20R2.B1       1107.808386  0.00199177162341               0.0    0.615662650987    0.615662650987    0.193785084811               0.0    0.749070687954               0.0     2.01119841759               0.0    0.492537701772               0.0
      BPM.32R4.B1       8413.759009  0.00114244958002               0.0   0.0495316974822   0.0495316974822    0.111152145234               0.0    0.186538917399               0.0     1.15359249048               0.0    0.930005931217               0.0
      BPM.13L8.B1       19640.80177  0.00167392737637               0.0    0.909950275965    0.909950275965    0.162861120615               0.0   0.0428798829934               0.0     1.69025406876               0.0    0.786346896811               0.0
      BPM.14R1.B1       24114.01173  0.00261188282782               0.0    0.877838611014    0.877838611014    0.254117454712               0.0    0.991373407149               0.0     2.63735789209               0.0    0.734840420967               0.0
     BPMWI.4L2.B1           73.3255   0.0103321240044               0.0    0.463668455895    0.463668455895     1.00524151612               0.0    0.632872174149               0.0     10.4328986334               0.0    0.376339187967               0.0
      BPMW.4R7.B1       16912.63432  0.00109055362476               0.0    0.708310269325    0.708310269325    0.106103041223               0.0    0.850781241081               0.0     1.10119036672               0.0    0.594248254899               0.0
       BPM.8R1.B1       23820.06761  0.00299053447764               0.0      0.4105167333      0.4105167333    0.290957542808               0.0    0.441116415366               0.0     3.01970273022               0.0    0.184583429184               0.0
      BPM.15R7.B1       17502.74241    0.001454486492               0.0    0.139488869758    0.139488869758    0.141511097406               0.0    0.276070974453               0.0     1.46867286226               0.0   0.0195379882706               0.0
      BPM.10R1.B1       23899.59958  0.00143763879451               0.0    0.554527680099    0.554527680099    0.139871937349               0.0    0.685642161537               0.0     1.45166084033               0.0    0.429109175355               0.0
     BPMSY.4L5.B1       10131.46115    0.004660840838               0.0    0.554014373317    0.554014373317    0.453466364552               0.0     0.80155598924               0.0      4.7063004653               0.0    0.545023003058               0.0
      BPM.25L7.B1       15666.51638  0.00207625058345               0.0    0.450875828559    0.450875828559    0.202004281352               0.0    0.564864508756               0.0     2.09650134527               0.0    0.308331522574               0.0
      BPM.12R1.B1       24007.10876  0.00081781898642               0.0    0.504695491834    0.504695491834   0.0795679182199               0.0    0.620745354014               0.0    0.825795604291               0.0    0.364212367832               0.0
      BPM.10R7.B1       17234.87878  0.00157757641563               0.0    0.147487951306    0.147487951306    0.153486863607               0.0    0.265886547655               0.0     1.59296334652               0.0  0.00935356147295               0.0
      BPM.26L7.B1        15613.0649  0.00153572100492               0.0    0.501374666756    0.501374666756    0.149414632525               0.0    0.644865570293               0.0     1.55069969802               0.0    0.388332584111               0.0
    BPMWA.B5L4.B1       6824.619933  0.00350425231798               0.0    0.429535271404    0.429535271404    0.340938601926               0.0    0.672824668087               0.0     3.53843113031               0.0    0.416291681905               0.0
     BPMSW.1L1.B1       23497.79062  0.00566460029216               0.0    0.863557891999    0.863557891999    0.551124955863               0.0    0.618595745732               0.0     5.71985011232               0.0     0.36206275955               0.0
      BPM.18R2.B1       1000.911354  0.00129149264315               0.0    0.798021252356    0.798021252356    0.125652965654               0.0    0.936691563612               0.0     1.30408924884               0.0     0.68015857743               0.0
      BPM.32L3.B1        1962.98464  0.00117441797818               0.0    0.745844470145    0.745844470145     0.11426244095               0.0    0.882842753519               0.0      1.1858726932               0.0    0.626309767337               0.0
      BPMR.5L1.B1       23326.02462     1.20664725553               0.0    0.186481876065    0.186481876065      117.39811834               0.0    0.534729184465               0.0     1218.41631961               0.0    0.278196198283               0.0
      BPM.20R1.B1       24434.72063  0.00225261990675               0.0     0.59361494016     0.59361494016    0.219163750778               0.0    0.700477924571               0.0     2.27459089117               0.0    0.443944938389               0.0
      BPM.33L2.B1       25236.49289  0.00205954861208               0.0    0.315534030605    0.315534030605    0.200379299401               0.0    0.454501209336               0.0     2.07963647081               0.0    0.197968223154               0.0
     BPMSW.1R5.B1       10211.33965   0.0031620642844               0.0    0.984761741918    0.984761741918    0.307646162005               0.0     0.22372619803               0.0     3.19290555722               0.0    0.967193211848               0.0
      BPM.27R2.B1       1481.947997   0.0031131292459               0.0     0.67765532056     0.67765532056    0.302885133946               0.0    0.783823820122               0.0      3.1434932296               0.0     0.52729083394               0.0
      BPMW.5L3.B1       3400.089716  0.00673768481736               0.0    0.308327915176    0.308327915176    0.655528379068               0.0    0.459267447609               0.0     6.80340099418               0.0    0.202734461427               0.0
      BPM.15L8.B1       19533.89881  0.00156209543463               0.0    0.432704298512    0.432704298512    0.151980675257               0.0    0.568173223233               0.0     1.57733137139               0.0    0.311640237051               0.0
      BPM.22L6.B1       12494.86525  0.00193323796711               0.0    0.450629080236    0.450629080236    0.188090180126               0.0    0.570304812066               0.0     1.95209385181               0.0    0.313771825884               0.0
      BPM.13R5.B1       10730.96627 0.000696849642133               0.0    0.536593994675    0.536593994675   0.0677984691692               0.0    0.670302504738               0.0    0.703646382488               0.0    0.413769518556               0.0
      BPM.18R4.B1       7665.479786 0.000622637470354               0.0     0.85046408999     0.85046408999   0.0605781574461               0.0    0.983844726008               0.0    0.628710380442               0.0    0.727311739826               0.0
      BPM.22L4.B1       5830.185015  0.00116312501713               0.0    0.459140949872    0.459140949872    0.113163716885               0.0    0.573185330487               0.0     1.17446958598               0.0    0.316652344305               0.0
