@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_notcleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:53:14"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB1"
@ Q1 %le 0.299858442458
@ Q2 %le 0.33142165071
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds.linx"
*            NAME                 S             COUNT                 X              STDX              XMDL            MUXMDL
$              %s               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1  -0.0930665380485 1.48323969742e-08               0.0     0.03145312858
   "BPMYB.4L2.B1"            48.858                 1    0.611762150023 1.48323969742e-08               0.0     0.05851807485
   "BPMWI.4L2.B1"           73.3255                 1   -0.504748788136 1.48323969742e-08               0.0      0.1097876872
   "BPMSX.4L2.B1"          123.4825                 1     1.68206204242 1.48323969742e-08               0.0      0.1788502064
    "BPMS.2L2.B1"           161.394                 1     2.03931294545 1.48323969742e-08               0.0       0.229253766
   "BPMSW.1L2.B1"           171.328                 1     4.06761569697 1.48323969742e-08               0.0      0.2526788187
   "BPMSW.1R2.B1"           214.518                 1     3.24464814394 1.48323969742e-08               0.0      0.6146370966
    "BPMS.2R2.B1"           224.452                 1      1.9795079197 1.48323969742e-08               0.0       0.632582971
   "BPMSX.4R2.B1"          262.3635                 1     1.22952336015 1.48323969742e-08               0.0      0.6761117673
   "BPMWB.4R2.B1"          312.5965                 1     1.87113106364 1.48323969742e-08               0.0      0.7575836096
   "BPMYB.4R2.B1"           336.988                 1   -0.107022740802 1.48323969742e-08               0.0      0.7924101326
    "BPMR.5R2.B1"           366.522                 1   -0.157304272939 1.48323969742e-08               0.0      0.8883971562
     "BPM.6R2.B1"           439.818                 1 -0.00446943831818 1.48323969742e-08               0.0       1.036087404
   "BPM_A.7R2.B1"           452.693                 1     0.64195138832 1.48323969742e-08               0.0        1.05258811
     "BPM.8R2.B1"       494.1300106                 1   -0.223831786709 1.48323969742e-08               0.0       1.134746992
     "BPM.9R2.B1"       533.1950212                 1 -4.02921666667e-06 1.48323969742e-08               0.0       1.292805637
    "BPM.10R2.B1"       573.6580318                 1  -0.0568473857229 1.48323969742e-08               0.0       1.460281322
    "BPM.11R2.B1"       625.4967424                 1   0.0890729838939 1.48323969742e-08               0.0       1.566688573
    "BPM.12R2.B1"       680.2202583                 1 -0.000569625386364 1.48323969742e-08               0.0       1.709291425
    "BPM.13R2.B1"       733.6687742                 1   -0.391793559582 1.48323969742e-08               0.0       1.822798755
    "BPM.14R2.B1"       787.1172901                 1    0.238793265461 1.48323969742e-08               0.0       1.960490566
