@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_notcleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:53:14"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ SEQUENCE %s "LHCB1"
@ Q1 %le 0.299858442458
@ Q2 %le 0.33142165071
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds.liny"
*            NAME                 S             COUNT                 Y              STDY              YMDL            MUYMDL
$              %s               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1   -0.331137719076 1.48323969742e-08               0.0      0.1162609817
   "BPMYB.4L2.B1"            48.858                 1   -0.779615015773 1.48323969742e-08               0.0      0.1696003151
   "BPMWI.4L2.B1"           73.3255                 1    -1.52701410621 1.48323969742e-08               0.0      0.2045427787
   "BPMSX.4L2.B1"          123.4825                 1    -4.94754905606 1.48323969742e-08               0.0      0.2859021958
    "BPMS.2L2.B1"           161.394                 1    -8.18028274697 1.48323969742e-08               0.0      0.3294328583
   "BPMSW.1L2.B1"           171.328                 1    -4.00184532727 1.48323969742e-08               0.0      0.3473795232
   "BPMSW.1R2.B1"           214.518                 1     6.08893006061 1.48323969742e-08               0.0      0.7093334983
    "BPMS.2R2.B1"           224.452                 1     5.90949876061 1.48323969742e-08               0.0      0.7327587614
   "BPMSX.4R2.B1"          262.3635                 1     7.30380281667 1.48323969742e-08               0.0      0.7831637028
   "BPMWB.4R2.B1"          312.5965                 1     2.38643143788 1.48323969742e-08               0.0      0.8523756946
   "BPMYB.4R2.B1"           336.988                 1    0.519065467086 1.48323969742e-08               0.0      0.9035045484
    "BPMR.5R2.B1"           366.522                 1  -0.0163655381223 1.48323969742e-08               0.0      0.9382608249
     "BPM.6R2.B1"           439.818                 1   -0.238275054842 1.48323969742e-08               0.0       1.202622917
   "BPM_A.7R2.B1"           452.693                 1  -0.0683057752273 1.48323969742e-08               0.0       1.233940504
     "BPM.8R2.B1"       494.1300106                 1    0.405248348091 1.48323969742e-08               0.0       1.328247327
     "BPM.9R2.B1"       533.1950212                 1    0.117947347965 1.48323969742e-08               0.0       1.433617497
    "BPM.10R2.B1"       573.6580318                 1  -0.0759838818333 1.48323969742e-08               0.0       1.545209058
    "BPM.11R2.B1"       625.4967424                 1    -0.11473059451 1.48323969742e-08               0.0       1.717704706
    "BPM.12R2.B1"       680.2202583                 1    0.143821471265 1.48323969742e-08               0.0       1.836418256
    "BPM.13R2.B1"       733.6687742                 1  -0.0829472283924 1.48323969742e-08               0.0       1.980789832
    "BPM.14R2.B1"       787.1172901                 1  -0.0629697977879 1.48323969742e-08               0.0       2.092608637
    "BPM.15R2.B1"        840.565806                 1  -0.0734436955561 1.48323969742e-08               0.0       2.224249713
    "BPM.16R2.B1"       894.0143219                 1    0.303329481441 1.48323969742e-08               0.0       2.331482339
    "BPM.17R2.B1"       947.4628378                 1  -0.0613847693545 1.48323969742e-08               0.0       2.459722589
    "BPM.18R2.B1"       1000.911354                 1    0.173534682977 1.48323969742e-08               0.0       2.571138337
    "BPM.19R2.B1"        1054.35987                 1  -0.0468009934918 1.48323969742e-08               0.0       2.703425811
    "BPM.20R2.B1"       1107.808386                 1    0.218265568321 1.48323969742e-08               0.0       2.811106284
    "BPM.21R2.B1"       1161.256901                 1    -0.35357083261 1.48323969742e-08               0.0       2.938797872
    "BPM.22R2.B1"       1214.705417                 1    0.345954950694 1.48323969742e-08               0.0       3.049673702
    "BPM.23R2.B1"       1268.153933                 1   0.0403356068939 1.48323969742e-08               0.0        3.18175462
    "BPM.24R2.B1"       1321.602449                 1   -0.215230804909 1.48323969742e-08               0.0       3.292640446
    "BPM.25R2.B1"       1375.050965                 1 -0.00805512064697 1.48323969742e-08               0.0       3.424727436
    "BPM.26R2.B1"       1428.499481                 1    0.314373970492 1.48323969742e-08               0.0       3.535603889
    "BPM.27R2.B1"       1481.947997                 1  0.00637634190909 1.48323969742e-08               0.0       3.667683855
