@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_notcleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:53:14"
@ Q1 %le 0.309858442458
@ Q2 %le 0.31942165071
@ RMSbetabeat %le 1.86348691228
@ RescalingFactor %le 1.01975129399
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds.linx"
*            NAME                 S             COUNT              BETX           BETXSTD           BETXMDL            MUXMDL           BETXRES        BETXSTDRES
$              %s               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     160.866123577               0.0        175.128565     0.03145312858     164.043437676               0.0
   "BPMYB.4L2.B1"            48.858                 1     76.7259197292               0.0       84.35832101     0.05851807485     78.2413559261               0.0
   "BPMWI.4L2.B1"           73.3255                 1       70.74649884               0.0       83.45002126      0.1097876872      72.143833737               0.0
   "BPMSX.4L2.B1"          123.4825                 1     145.713038772               0.0       170.5391556      0.1788502064     148.591059839               0.0
    "BPMS.2L2.B1"           161.394                 1     61.1587304715               0.0       63.40330267       0.229253766     62.3666945368               0.0
   "BPMSW.1L2.B1"           171.328                 1     51.6526711061               0.0        56.6340898      0.2526788187     52.6728781983               0.0
   "BPMSW.1R2.B1"           214.518                 1     55.7094414526               0.0        56.6345024      0.6146370966     56.8097750085               0.0
    "BPMS.2R2.B1"           224.452                 1     167.414117261               0.0       173.4266688       0.632582971     170.720762709               0.0
   "BPMSX.4R2.B1"          262.3635                 1     83.3442896246               0.0       100.2196997      0.6761117673      84.990447191               0.0
   "BPMWB.4R2.B1"          312.5965                 1      98.036007574               0.0       104.9354204      0.7575836096     99.9723455807               0.0
   "BPMYB.4R2.B1"           336.988                 1     97.4318586208               0.0       101.2151279      0.7924101326      99.356263904               0.0
    "BPMR.5R2.B1"           366.522                 1     36.5606068399               0.0       32.77197257      0.8883971562     37.2827261339               0.0
     "BPM.6R2.B1"           439.818                 1     167.390407921               0.0       181.6208991       1.036087404     170.696585078               0.0
   "BPM_A.7R2.B1"           452.693                 1     82.4171178944               0.0       85.21587822        1.05258811     84.0449626194               0.0
     "BPM.8R2.B1"       494.1300106                 1      110.35473873               0.0       113.0897601       1.134746992     112.534387617               0.0
     "BPM.9R2.B1"       533.1950212                 1     16.5079518381               0.0       15.94722448       1.292805637     16.8340052479               0.0
    "BPM.10R2.B1"       573.6580318                 1     171.909220847               0.0       171.7411105       1.460281322     175.304650406               0.0
    "BPM.11R2.B1"       625.4967424                 1     33.4514207315               0.0       32.90159014       1.566688573     34.1121295766               0.0
    "BPM.12R2.B1"       680.2202583                 1     174.080741075               0.0       174.1654418       1.709291425     177.519060969               0.0
    "BPM.13R2.B1"       733.6687742                 1     34.0038830286               0.0       33.14947812       1.822798755      34.675503719               0.0
    "BPM.14R2.B1"       787.1172901                 1     174.932041825               0.0         170.35043       1.960490566     178.387176011               0.0
    "BPM.15R2.B1"        840.565806                 1     35.2596574068               0.0       34.55300863       2.072703938     35.9560812661               0.0
    "BPM.16R2.B1"       894.0143219                 1      167.50620682               0.0       168.8433479       2.207282493     170.814671156               0.0
    "BPM.17R2.B1"       947.4628378                 1     35.0973255279               0.0       33.10170512       2.323083936     35.7905431225               0.0
    "BPM.18R2.B1"       1000.911354                 1     175.359302354               0.0       170.3630625       2.460771013     178.822875488               0.0
    "BPM.19R2.B1"        1054.35987                 1     34.6298343584               0.0       34.55282647       2.572979721     35.3138183974               0.0
    "BPM.20R2.B1"       1107.808386                 1     167.301884295               0.0       168.8307202       2.707565464     170.606312996               0.0
    "BPM.21R2.B1"       1161.256901                 1     34.0250244591               0.0       33.10189183       2.823371809       34.69706272               0.0
    "BPM.22R2.B1"       1214.705417                 1     172.990513513               0.0       170.3756854        2.96105144     176.407300002               0.0
    "BPM.23R2.B1"       1268.153933                 1     33.8877096717               0.0       33.11661624       3.076157208     34.5570357879               0.0
    "BPM.24R2.B1"       1321.602449                 1     177.192939438               0.0       170.3730582       3.213836773     180.692729277               0.0
    "BPM.25R2.B1"       1375.050965                 1     9.04998845062               0.0       33.11638753        3.32894411     9.22873743308               0.0
    "BPM.26R2.B1"       1428.499481                 1     185.544418882               0.0       170.3757138       3.466622864     189.209161247               0.0
    "BPM.27R2.B1"       1481.947997                 1     33.4393612675               0.0       33.11659909       3.581728657     34.0998319226               0.0
    "BPM.28R2.B1"       1535.396513                 1     181.847154993               0.0       170.3730331       3.719408284     185.438871612               0.0
    "BPM.29R2.B1"       1588.845029                 1     34.6661261688               0.0       33.11640494       3.834515594     35.3508270181               0.0
    "BPM.30R2.B1"       1642.293545                 1      177.76707996               0.0       170.3757357       3.972194287     181.278209817               0.0
    "BPM.31R2.B1"        1695.74206                 1     34.2476550372               0.0       33.11658144       4.087300109     34.9240905402               0.0
    "BPM.32R2.B1"       1749.190576                 1     2.25173877954               0.0       170.3730145       4.224979796     2.29621353415               0.0
    "BPM.33R2.B1"       1802.639092                 1     34.4468183327               0.0       33.11642281       4.340087075     35.1271875685               0.0
    "BPM.34R2.B1"       1856.087608                 1     177.958041383               0.0       170.3757509        4.47776571     181.472942975               0.0
    "BPM.33L3.B1"       1909.536124                 1      34.466538308               0.0       33.11656339       4.592871563     35.1472970387               0.0
    "BPM.32L3.B1"        1962.98464                 1     171.399376024               0.0       170.3730027       4.730551308     174.784735489               0.0
    "BPM.31L3.B1"       2016.433156                 1     33.9436951405               0.0       33.11644104       4.845658554     34.6141270422               0.0
    "BPM.30L3.B1"       2069.881672                 1     170.986463246               0.0       170.3757594       4.983337132     174.363667149               0.0
    "BPM.29L3.B1"       2123.330188                 1     32.2152395963               0.0         33.116545       5.098443021     32.8515322644               0.0
    "BPM.28L3.B1"       2176.778704                 1     170.369354226               0.0       170.3729976        5.23612282     173.734369427               0.0
    "BPM.27L3.B1"        2230.22722                 1     34.5053759544               0.0       33.11645955       5.351230029     35.1869017789               0.0
    "BPM.26L3.B1"       2283.675735                 1     173.121030423               0.0       170.3757611       5.488908554      176.54039479               0.0
