@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_notcleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:53:14"
@ Q1 %le 0.309858442458
@ Q2 %le 0.31942165071
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds.linx"
*            NAME                 S             COUNT              BETX           SYSBETX          STATBETX           ERRBETX     CORR_ALFABETA              ALFX           SYSALFX          STATALFX           ERRALFX           BETXMDL           ALFXMDL            MUXMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     145.104545832               0.0               0.0   0.0528553512937               0.0     1.65385375671               0.0               0.0 0.000870205424978        175.128565       2.690097133     0.03145312858                36
   "BPMYB.4L2.B1"            48.858                 1     68.1160531797               0.0               0.0    0.010463199588               0.0      1.1564493308               0.0               0.0 0.000292489120756       84.35832101       1.722651722     0.05851807485                43
   "BPMWI.4L2.B1"           73.3255                 1     80.7087173387               0.0               0.0  0.00873361278132               0.0   -0.310670219756               0.0               0.0 6.13517897482e-05       83.45002126     -0.4942360246      0.1097876872                35
   "BPMSX.4L2.B1"          123.4825                 1     148.054843244               0.0               0.0   0.0389769959235               0.0   -0.981722461432               0.0               0.0 0.000125381522323       170.5391556      -1.242094584      0.1788502064                35
    "BPMS.2L2.B1"           161.394                 1     51.5874166617               0.0               0.0    0.043087698196               0.0    -1.84652017189               0.0               0.0  0.00532501296944       63.40330267      -1.298296023       0.229253766                41
   "BPMSW.1L2.B1"           171.328                 1     67.0306502921               0.0               0.0   0.0361074405932               0.0     0.79099132512               0.0               0.0 0.000685733978289        56.6340898       2.159488951      0.2526788187                33
   "BPMSW.1R2.B1"           214.518                 1     44.7267857739               0.0               0.0   0.0335919050077               0.0   -0.273195710226               0.0               0.0 0.000671851101302        56.6345024      -2.159498505      0.6146370966                33
    "BPMS.2R2.B1"           224.452                 1     112.173151768               0.0               0.0    0.154198944101               0.0    -7.92872347248               0.0               0.0   0.0193277161081       173.4266688      -10.83847471       0.632582971                41
   "BPMSX.4R2.B1"          262.3635                 1     114.209277535               0.0               0.0   0.0205107647599               0.0    0.375261966689               0.0               0.0 9.71738481141e-05       100.2196997      0.2152920739      0.6761117673                34
   "BPMWB.4R2.B1"          312.5965                 1     101.575555364               0.0               0.0   0.0137186760521               0.0   -0.124989921012               0.0               0.0 0.000101201558224       104.9354204     -0.3091690223      0.7575836096                34
   "BPMYB.4R2.B1"           336.988                 1     93.5917952007               0.0               0.0    0.029921942646               0.0     1.92505113147               0.0               0.0 0.000913579769775       101.2151279       2.049233201      0.7924101326                33
    "BPMR.5R2.B1"           366.522                 1     29.7453097677               0.0               0.0   0.0114816826328               0.0   -0.467357546483               0.0               0.0 0.000141057045862       32.77197257     -0.3096752397      0.8883971562                42
     "BPM.6R2.B1"           439.818                 1     208.276029198               0.0               0.0    0.122590095659               0.0     5.57296846659               0.0               0.0  0.00483144948314       181.6208991       4.495719562       1.036087404                34
   "BPM_A.7R2.B1"           452.693                 1     86.8150567594               0.0               0.0   0.0593577014355               0.0     3.84564078382               0.0               0.0  0.00236440092365       85.21587822       2.992049051        1.05258811                35
     "BPM.8R2.B1"       494.1300106                 1     88.6483190418               0.0               0.0   0.0853862521643               0.0   -0.431882276292               0.0               0.0  0.00201642313702       113.0897601      -1.026351501       1.134746992                43
     "BPM.9R2.B1"       533.1950212                 1     17.1545477358               0.0               0.0   0.0092037318036               0.0    0.227321801032               0.0               0.0 0.000231765706104       15.94722448      0.2479066568       1.292805637                34
    "BPM.10R2.B1"       573.6580318                 1     157.272141061               0.0               0.0    0.194688995085               0.0    -3.27854871795               0.0               0.0  0.00495016075189       171.7411105      -3.735870934       1.460281322                34
    "BPM.11R2.B1"       625.4967424                 1     34.1663176374               0.0               0.0   0.0350338664666               0.0    0.579871235627               0.0               0.0 0.000673301576592       32.90159014      0.6368100146       1.566688573                33
    "BPM.12R2.B1"       680.2202583                 1     171.507253644               0.0               0.0    0.255651289255               0.0    -2.35313272109               0.0               0.0  0.00479496790653       174.1654418      -2.397279276       1.709291425                33
    "BPM.13R2.B1"       733.6687742                 1     36.0401877185               0.0               0.0   0.0427157901412               0.0    0.483613768903               0.0               0.0 0.000795628812943       33.14947812      0.5386228862       1.822798755                31
    "BPM.14R2.B1"       787.1172901                 1     154.540515805               0.0               0.0    0.271976274041               0.0    -2.00924519726               0.0               0.0  0.00514941774106         170.35043      -2.347473783       1.960490566                23
    "BPM.15R2.B1"        840.565806                 1     34.7734143351               0.0               0.0   0.0467294646294               0.0    0.393805752799               0.0               0.0 0.000869638171859       34.55300863      0.5316580846       2.072703938                21
    "BPM.16R2.B1"       894.0143219                 1     177.992952091               0.0               0.0    0.269676015512               0.0    -2.37773431456               0.0               0.0  0.00510489540708       168.8433479       -2.28480196       2.207282493                21
    "BPM.17R2.B1"       947.4628378                 1     31.4595601438               0.0               0.0   0.0447836811223               0.0    0.574179583414               0.0               0.0 0.000833411193019       33.10170512      0.5063851365       2.323083936                21
    "BPM.18R2.B1"       1000.911354                 1     171.836891373               0.0               0.0    0.272812393605               0.0    -2.43203129318               0.0               0.0  0.00516524070051       170.3630625        -2.3476305       2.460771013                21
    "BPM.19R2.B1"        1054.35987                 1     33.8632938697               0.0               0.0    0.046763244272               0.0    0.553627413197               0.0               0.0 0.000870255638811       34.55282647      0.5317312573       2.572979721                21
    "BPM.20R2.B1"       1107.808386                 1     172.542621095               0.0               0.0    0.270452008804               0.0    -2.37791979816               0.0               0.0  0.00512059390605       168.8307202      -2.284645441       2.707565464                21
    "BPM.21R2.B1"       1161.256901                 1     31.0462601858               0.0               0.0   0.0447080750351               0.0     0.55841275208               0.0               0.0 0.000831896131756       33.10189183      0.5063120432       2.823371809                21
    "BPM.22R2.B1"       1214.705417                 1     177.191492655               0.0               0.0    0.272138985239               0.0    -2.48680751051               0.0               0.0  0.00515156153192       170.3756854      -2.347786822        2.96105144                21
    "BPM.23R2.B1"       1268.153933                 1     49.3939778306               0.0               0.0   0.0446694978635               0.0    0.302093074341               0.0               0.0 0.000831117608433       33.11661624      0.5160399952       3.076157208                21
    "BPM.24R2.B1"       1321.602449                 1     76.2005835238               0.0               0.0    0.272093132462               0.0   -0.629152196291               0.0               0.0  0.00515102950517       170.3730582      -2.347745586       3.213836773                22
    "BPM.25R2.B1"       1375.050965                 1     66.0463031136               0.0               0.0   0.0446646902507               0.0   -0.710727430343               0.0               0.0  0.00083103247217       33.11638753      0.5160217545        3.32894411                21
    "BPM.26R2.B1"       1428.499481                 1     170.316573354               0.0               0.0    0.271468724414               0.0    -1.11520615838               0.0               0.0   0.0051389674642       170.3757138       -2.34778667       3.466622864                23
    "BPM.27R2.B1"       1481.947997                 1     35.5399727164               0.0               0.0   0.0417648701484               0.0    0.334759194913               0.0               0.0 0.000777190087874       33.11659909      0.5160399607       3.581728657                22
    "BPM.28R2.B1"       1535.396513                 1     165.393722217               0.0               0.0    0.249370107255               0.0    -2.11405389902               0.0               0.0  0.00471279483987       170.3730331      -2.347745788       3.719408284                23
    "BPM.29R2.B1"       1588.845029                 1     44.1253751723               0.0               0.0    0.031521252576               0.0    0.261343937288               0.0               0.0 0.000586597260178       33.11640494      0.5160218113       3.834515594                22
    "BPM.30R2.B1"       1642.293545                 1    -1815.07129238               0.0               0.0    0.249374065644               0.0     35.8235661898               0.0               0.0  0.00471286964978       170.3757357      -2.347786419       3.972194287                22
    "BPM.31R2.B1"        1695.74206                 1     -49.421580401               0.0               0.0    0.041563114241               0.0     1.99667118085               0.0               0.0  0.00077191805604       33.11658144      0.5160398816       4.087300109                22
    "BPM.32R2.B1"       1749.190576                 1    -1783.34125895               0.0               0.0    0.703193151068               0.0     31.8661875163               0.0               0.0   0.0134428614234       170.3730145       -2.34774609       4.224979796                16
    "BPM.33R2.B1"       1802.639092                 1      13.294234093               0.0               0.0   0.0315150614451               0.0    -1.02205355801               0.0               0.0 0.000586488665965       33.11642281      0.5160219126       4.340087075                21
    "BPM.34R2.B1"       1856.087608                 1     172.015790144               0.0               0.0    0.257297033173               0.0    -2.44291257747               0.0               0.0  0.00478685529591       170.3757509      -2.347786068        4.47776571                16
    "BPM.33L3.B1"       1909.536124                 1     35.1866893667               0.0               0.0   0.0314400482348               0.0    0.512233906489               0.0               0.0 0.000583879172495       33.11656339      0.5160397584       4.592871563                21
    "BPM.32L3.B1"        1962.98464                 1      164.47660148               0.0               0.0    0.248872068958               0.0    -2.22879534263               0.0               0.0   0.0047041281631       170.3730027       -2.34774649       4.730551308                22
    "BPM.31L3.B1"       2016.433156                 1     32.4674920376               0.0               0.0   0.0415479848865               0.0    0.475327064233               0.0               0.0 0.000771644738921       33.11644104      0.5160220577       4.845658554                19
    "BPM.30L3.B1"       2069.881672                 1     178.451444849               0.0               0.0    0.248747928146               0.0    -2.47901270927               0.0               0.0  0.00470196852169       170.3757594      -2.347785619       4.983337132                22
    "BPM.29L3.B1"       2123.330188                 1     33.1613350612               0.0               0.0   0.0315151778163               0.0    0.583635931809               0.0               0.0 0.000586490818442         33.116545      0.5160395916       5.098443021                21
    "BPM.28L3.B1"       2176.778704                 1     170.522455587               0.0               0.0    0.249249711461               0.0    -2.37447106689               0.0               0.0  0.00471069762742       170.3729976      -2.347746986        5.23612282                21
    "BPM.27L3.B1"        2230.22722                 1     33.5690184184               0.0               0.0   0.0444155065841               0.0    0.530248408195               0.0               0.0  0.00082479369298       33.11645955       0.516022246       5.351230029                21
    "BPM.26L3.B1"       2283.675735                 1     171.233615761               0.0               0.0    0.271470798888               0.0    -2.35059397848               0.0               0.0  0.00514005549122       170.3757611      -2.347785075       5.488908554                21
    "BPM.25L3.B1"       2337.124251                 1     32.5708488622               0.0               0.0   0.0446494549684               0.0    0.528907028887               0.0               0.0 0.000830761718327       33.11652639       0.516039382       5.604014482                21
    "BPM.24L3.B1"       2390.572767                 1     173.394812058               0.0               0.0    0.271337756309               0.0    -2.41384838426               0.0               0.0  0.00513613702111       170.3729992      -2.347747577       5.741694333                21
    "BPM.23L3.B1"       2444.021283                 1     33.2336296054               0.0               0.0   0.0448098551713               0.0    0.554578821663               0.0               0.0 0.000833823113372       33.11647824      0.5160224765       5.856801501                21
    "BPM.22L3.B1"       2497.469799                 1     172.504723226               0.0               0.0    0.272286046599               0.0    -2.38134795187               0.0               0.0  0.00515466131058       170.3757561      -2.347784439       5.994479976                21
    "BPM.21L3.B1"       2550.918315                 1     34.3789226845               0.0               0.0   0.0448010105892               0.0    0.501148613802               0.0               0.0 0.000833668581523       33.11650764      0.5160391308       6.109585946                21
    "BPM.20L3.B1"       2604.366831                 1     155.290270404               0.0               0.0    0.269558410003               0.0    -2.09222820964               0.0               0.0  0.00510267878426       168.7740195      -2.326832353       6.248110946                21
    "BPM.19L3.B1"       2657.815347                 1     38.9606613278               0.0               0.0   0.0467307896572               0.0    0.357387221354               0.0               0.0 0.000869645314405       34.54002499       0.522107244       6.360982089                21
    "BPM.18L3.B1"       2711.263863                 1     157.527658948               0.0               0.0    0.272186067015               0.0    -1.96892576282               0.0               0.0  0.00515243550513       170.4266924      -2.305521589       6.494760431                21
    "BPM.17L3.B1"       2764.712379                 1     45.8102268374               0.0               0.0   0.0447987932501               0.0    0.167523397718               0.0               0.0 0.000833690846473       33.11556542      0.5159501311       6.609873695                21
    "BPM.16L3.B1"       2818.160894                 1    -65.3861274149               0.0               0.0    0.272540720392               0.0     2.23843598702               0.0               0.0  0.00516278082357       168.7871945      -2.327029466       6.748394012                23
    "BPM.15L3.B1"        2871.60941                 1    -262.992580852               0.0               0.0   0.0312491096328               0.0     6.08599336852               0.0               0.0 0.000561875149437       34.54096274      0.5221962244       6.861257971                31
    "BPM.14L3.B1"       2925.057926                 1     488.204096511               0.0               0.0    0.170762255356               0.0    -15.5359998309               0.0               0.0  0.00301358066515       170.4135122      -2.305324543       6.995040774                33
    "BPM.13L3.B1"       2978.506442                 1     28.6217357841               0.0               0.0   0.0221697410393               0.0   -0.730721026258               0.0               0.0 0.000385471535202       33.11463215      0.5158611703       7.110161452                34
    "BPM.12L3.B1"       3031.954958                 1     156.498665948               0.0               0.0    0.156494423614               0.0    -1.84969654361               0.0               0.0  0.00262282362533       171.5175732      -2.362831568       7.247251311                35
    "BPM.11L3.B1"       3085.403474                 1     31.0715356106               0.0               0.0   0.0181769035478               0.0    0.277863594709               0.0               0.0 0.000313040430296        28.2592413      0.4555938493       7.373708861                44
    "BPM.10L3.B1"       3138.184185                 1     176.856160716               0.0               0.0    0.147344630208               0.0     -2.4892493232               0.0               0.0  0.00246760802075       172.7569671      -2.549373265       7.522788108                44
     "BPM.9L3.B1"       3177.249195                 1     61.8797223885               0.0               0.0   0.0275476276567               0.0    0.931850667041               0.0               0.0 0.000636436374877       54.93815126       1.085298677       7.583724784                44
     "BPM.8L3.B1"       3217.712206                 1     123.474857172               0.0               0.0    0.110040370115               0.0    -1.07733087399               0.0               0.0   0.0021464681299       175.5991319       -2.48555866       7.660416551                43
     "BPM.7L3.B1"       3256.776216                 1     75.6526499983               0.0               0.0   0.0255486571843               0.0    0.526860000274               0.0               0.0  0.00059205404649       58.10046323       1.096214317       7.719364003                42
     "BPM.6L3.B1"       3329.415216                 1     173.798220752               0.0               0.0   0.0666876890218               0.0     2.12170500435               0.0               0.0 0.000821199157594       206.7756234       2.290629312       7.831510896                41
  "BPMWG.A5L3.B1"       3371.119716                 1     58.9788714147               0.0               0.0   0.0143125517179               0.0    0.865702267507               0.0               0.0 0.000259388248142       68.26217692       1.030677667       7.888594994                42
    "BPMW.5L3.B1"       3400.089716                 1     63.7808841515               0.0               0.0   0.0119794948648               0.0   -0.556356089301               0.0               0.0 0.000119808317958       56.59279169     -0.5634984794       7.971952656                42
   "BPMWE.4L3.B1"       3475.217716                 1     265.320371145               0.0               0.0   0.0599905092598               0.0    -2.15438595038               0.0               0.0  0.00057406067304       272.6641978      -2.312545154        8.07532486                43
    "BPMW.4L3.B1"       3502.762716                 1     205.837816109               0.0               0.0   0.0529994215892               0.0     2.27598812684               0.0               0.0 0.000779918220936       250.6035005       3.453416752       8.090528029                44
    "BPMW.4R3.B1"       3547.727716                 1     45.9994224448               0.0               0.0  0.00823174619318               0.0    0.739200914698               0.0               0.0 0.000131708900168       44.32448505       1.134129461       8.160679045                44
   "BPMWE.4R3.B1"       3575.272716                 1     28.9876704374               0.0               0.0   0.0063721328794               0.0   -0.512849980472               0.0               0.0 5.74208167187e-05       30.72266468     -0.5357194778       8.308322669                44
    "BPMW.5R3.B1"       3650.400716                 1     298.805029099               0.0               0.0   0.0991077766632               0.0     -2.9904062002               0.0               0.0 0.000856902054652       347.6581685      -3.682887484       8.437850831                28
  "BPMWJ.A5R3.B1"       3679.118716                 1     269.078265862               0.0               0.0    0.105931758058               0.0     3.67288923539               0.0               0.0 0.000848876357591       302.5649998       4.227417524       8.450477678                28
   "BPMWC.6R3.B1"       3718.936716                 1     54.3266418158               0.0               0.0   0.0124337094899               0.0      1.6995728127               0.0               0.0 0.000140550563927       64.79675564       1.743958359       8.496370937                42
    "BPMR.6R3.B1"       3731.015216                 1      35.340620764               0.0               0.0   0.0121981578478               0.0    0.305372704788               0.0               0.0 0.000353189839231       39.70879417      0.3059387216       8.536481749                42
     "BPM.8R3.B1"       3825.903227                 1      35.145007345               0.0               0.0    0.026517522513               0.0    0.237075475119               0.0               0.0 0.000350411889521        35.2651492      0.2997553326       8.835957198                42
     "BPM.9R3.B1"       3864.968238                 1     131.302412813               0.0               0.0     0.11666939459               0.0    -2.05603072065               0.0               0.0  0.00283526844077       128.5117235      -1.994837028       8.940088827                21
    "BPM.10R3.B1"       3905.431248                 1     53.5686274525               0.0               0.0   0.0379957997061               0.0    0.655555678613               0.0               0.0 0.000906150345772       54.67179092      0.6264361896       9.014821952                42
    "BPM.11R3.B1"       3958.211959                 1     175.746211407               0.0               0.0    0.179214559895               0.0     -1.8807338533               0.0               0.0  0.00331221770608       183.5210003      -1.972514456       9.107876696                43
    "BPM.12R3.B1"       4012.935475                 1     45.7797066177               0.0               0.0   0.0370140075317               0.0    0.558580707796               0.0               0.0 0.000662518692077       42.56129302      0.5858132969       9.208659941                42
    "BPM.13R3.B1"       4066.383991                 1     188.369593379               0.0               0.0    0.255379454465               0.0     -2.3321051876               0.0               0.0  0.00485041496416       170.7795851      -2.098902737       9.325472939                31
    "BPM.14R3.B1"       4119.832506                 1    -535.537355305               0.0               0.0   0.0447749384779               0.0     11.2032421879               0.0               0.0  0.00083361146521       33.11851399      0.5162056838       9.440563908                26
    "BPM.15R3.B1"       4173.281022                 1    -151.827801902               0.0               0.0    0.266669707782               0.0      3.7967624432               0.0               0.0  0.00505306830814       168.7497879      -2.326461462       9.579096744                32
    "BPM.16R3.B1"       4226.729538                 1    -385.008803374               0.0               0.0    0.107143279374               0.0     6.23702596042               0.0               0.0  0.00200412554289       34.53801546       0.521940537       9.691981666                23
    "BPM.17R3.B1"       4280.178054                 1     109.252264971               0.0               0.0    0.272098672437               0.0    -2.89108957748               0.0               0.0  0.00515098064932       170.4508792      -2.305891616       9.825752567                21
    "BPM.18R3.B1"        4333.62657                 1     28.0019432415               0.0               0.0     0.11432989254               0.0    0.236610510582               0.0               0.0  0.00213444931371       33.11755551      0.5161166443        9.94085164                11
    "BPM.19R3.B1"       4387.075086                 1     286.592973141               0.0               0.0    0.270128107203               0.0     -4.5548982055               0.0               0.0  0.00511426587099        168.762939      -2.326658755       10.07937985                16
    "BPM.20R3.B1"       4440.523602                 1    -1.44108871843               0.0               0.0   0.0465770709823               0.0     1.14766181095               0.0               0.0 0.000866692602868       34.53896949      0.5220295583       10.19225756                19
    "BPM.21R3.B1"       4493.972118                 1    -28.3214099472               0.0               0.0    0.858845482638               0.0     0.66966371939               0.0               0.0   0.0164161326794       170.4377228      -2.305694388       10.32603287                11
    "BPM.22R3.B1"       4547.420634                 1    -188.622590436               0.0               0.0   0.0525988465353               0.0    -2.98343679384               0.0               0.0  0.00384988998017       33.11660593      0.5160276415       10.44113938                16
    "BPM.23R3.B1"        4600.86915                 1    -200.343715019               0.0               0.0    0.272081688357               0.0     4.67547204711               0.0               0.0  0.00515083306422       170.3751177      -2.347772339       10.57881784                19
    "BPM.24R3.B1"       4654.317666                 1      2.6686765628               0.0               0.0   0.0446637897455               0.0    -1.43895892043               0.0               0.0 0.000831016440765        33.1163837      0.5160338913       10.69392434                21
    "BPM.25R3.B1"       4707.766181                 1     1138.35100899               0.0               0.0    0.271446995675               0.0    -22.5937668562               0.0               0.0  0.00513858493376       170.3736653      -2.347760491       10.83160423                21
    "BPM.26R3.B1"       4761.214697                 1     18.5055894094               0.0               0.0   0.0417648933563               0.0     7.73726524732               0.0               0.0 0.000777190514985       33.11661706      0.5160280556       10.94671083                23
    "BPM.27R3.B1"       4814.663213                 1     172.425926387               0.0               0.0    0.249373065587               0.0    -3.23806876994               0.0               0.0  0.00471285073342       170.3750681      -2.347771362       11.08438929                22
    "BPM.28R3.B1"       4868.111729                 1     34.2436251583               0.0               0.0   0.0315212224201               0.0    0.662728442389               0.0               0.0 0.000586596680138       33.11637287        0.51603347       11.19949583                22
    "BPM.29R3.B1"       4921.560245                 1     176.702200292               0.0               0.0    0.249371127001               0.0    -2.50046336234               0.0               0.0  0.00471281408768       170.3737166      -2.347761481       11.33717572                23
    "BPM.30R3.B1"       4975.008761                 1     29.1637141641               0.0               0.0    0.041563169856               0.0    0.616841543722               0.0               0.0 0.000771919200747       33.11662759      0.5160284835       11.45228227                21
    "BPM.31R3.B1"       5028.457277                 1     188.873445582               0.0               0.0    0.248875011742               0.0    -2.79593059538               0.0               0.0  0.00470418383271       170.3750152       -2.34777036       11.58996073                23
    "BPM.32R3.B1"       5081.905793                 1     33.9422409936               0.0               0.0   0.0315150080911               0.0    0.701360356522               0.0               0.0 0.000586487567745       33.11636264       0.516033036       11.70506732                22
    "BPM.33R3.B1"       5135.354309                 1     173.736279756               0.0               0.0    0.249250864013               0.0    -2.44063477081               0.0               0.0  0.00471071939198       170.3737711      -2.347762494       11.84274721                22
    "BPM.34R3.B1"       5188.802825                 1     31.8860706028               0.0               0.0   0.0314401172542               0.0    0.523219710129               0.0               0.0 0.000583880476986       33.11663749      0.5160289231       11.95785372                22
    "BPM.33L4.B1"        5242.25134                 1     162.482848258               0.0               0.0    0.248874907928               0.0    -2.28016751265               0.0               0.0  0.00470418187122       170.3749591      -2.347769338       12.09553218                22
    "BPM.32L4.B1"       5295.699856                 1     33.5575686334               0.0               0.0   0.0415478723136               0.0    0.491560901178               0.0               0.0 0.000771642575201       33.11635308      0.5160325914       12.21063881                22
    "BPM.31L4.B1"       5349.148372                 1     184.356420764               0.0               0.0    0.248745073141               0.0    -2.53071841124               0.0               0.0  0.00470191458118       170.3738287      -2.347763525       12.34831869                22
    "BPM.30L4.B1"       5402.596888                 1     31.8816177743               0.0               0.0   0.0315152737231               0.0    0.614110675252               0.0               0.0 0.000586492603499       33.11664671      0.5160293722       12.46342516                23
    "BPM.29L4.B1"       5456.045404                 1     168.605262858               0.0               0.0    0.249252494092               0.0    -2.40330878855               0.0               0.0  0.00471075023757       170.3749002      -2.347768299       12.60110363                21
    "BPM.28L4.B1"        5509.49392                 1     30.7479656667               0.0               0.0   0.0444153528785               0.0    0.555190924066               0.0               0.0 0.000824790819149       33.11634423      0.5160321383        12.7162103                23
    "BPM.27L4.B1"       5562.942436                 1     191.451440383               0.0               0.0    0.271467778054               0.0    -2.74864025165               0.0               0.0  0.00513999819047       170.3738889      -2.347764569       12.85389018                22
    "BPM.26L4.B1"       5616.390952                 1     28.4097721564               0.0               0.0   0.0446474114985               0.0    0.718022960074               0.0               0.0 0.000830723087826       33.11665519      0.5160298287        12.9689966                23
    "BPM.25L4.B1"       5669.839468                 1     186.346575074               0.0               0.0    0.271209425646               0.0    -2.78475091299               0.0               0.0  0.00513353825503       170.3748387      -2.347767251       13.10667508                22
    "BPM.24L4.B1"       5723.287984                 1     35.8699613626               0.0               0.0   0.0446493292528               0.0     0.62702159752               0.0               0.0 0.000830741311209       33.11633612       0.516031679       13.22178179                22
    "BPM.23L4.B1"         5776.7365                 1     147.840074384               0.0               0.0     0.27127866506               0.0    -1.97463988659               0.0               0.0  0.00513461913069       170.3739515      -2.347765621       13.35946166                21
    "BPM.22L4.B1"       5830.185015                 1     36.9180114613               0.0               0.0   0.0447409451908               0.0    0.301838392063               0.0               0.0 0.000832559016401        33.1166629      0.5160302902       13.47456804                21
