@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_notcleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:53:14"
@ Q1 %le 0.299858442458
@ Q2 %le 0.33142165071
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds.liny"
*            NAME                 S             COUNT              BETY           SYSBETY          STATBETY           ERRBETY     CORR_ALFABETA              ALFY           SYSALFY          STATALFY           ERRALFY           BETYMDL           ALFYMDL            MUYMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1      38.662525728               0.0               0.0  0.00883848876057               0.0   -0.985170396323               0.0               0.0 3.48435705744e-05       36.79270806      -1.012453818      0.1253734494                43
   "BPMYB.4L2.B1"            48.858                 1     105.233522578               0.0               0.0   0.0274982634904               0.0    -1.98430153234               0.0               0.0 7.79102108439e-05       101.7337616      -2.144622191      0.1799473837                41
   "BPMWI.4L2.B1"           73.3255                 1     108.907049097               0.0               0.0   0.0129399476367               0.0    0.459956100676               0.0               0.0 8.64224536967e-05       109.1955534      0.2448795011      0.2140933253                35
   "BPMSX.4L2.B1"          123.4825                 1     100.816123967               0.0               0.0   0.0221252021784               0.0    -0.74078081215               0.0               0.0 4.79566394785e-05       109.0509593     -0.2419966722      0.2901034415                35
    "BPMS.2L2.B1"           161.394                 1     200.163197807               0.0               0.0    0.160626765364               0.0     11.0300216738               0.0               0.0   0.0108481993859       187.2656009       11.74073614      0.3301845247                40
   "BPMSW.1L2.B1"           171.328                 1     77.0028022847               0.0               0.0    0.040294914412               0.0     3.00631268634               0.0               0.0 9.36938147889e-05       60.57107152       2.363077673      0.3468791826                33
   "BPMSW.1R2.B1"           214.518                 1     30.8880395551               0.0               0.0   0.0473231561076               0.0    -2.18784577911               0.0               0.0 9.37532952882e-05       59.21667092      -2.331718548      0.7186849694                33
    "BPMS.2R2.B1"           224.452                 1      44.934403148               0.0               0.0   0.0594573338802               0.0     1.00750597684               0.0               0.0  0.00177116708581       67.53675791       1.324541322       0.740873163                40
   "BPMSX.4R2.B1"          262.3635                 1     200.175459133               0.0               0.0   0.0407069403782               0.0     2.51689452156               0.0               0.0 6.91347212938e-05       185.5131129       1.340596217      0.7875864765                33
   "BPMWB.4R2.B1"          312.5965                 1     94.3860478644               0.0               0.0  0.00838953157358               0.0    0.513031413233               0.0               0.0 8.63166152258e-05       88.87633786      0.5831745133      0.8515579821                33
   "BPMYB.4R2.B1"           336.988                 1     84.5469737697               0.0               0.0   0.0242117875133               0.0    -1.46666576114               0.0               0.0 0.000976305663597       85.96644093       -1.67202828      0.9005400248                41
    "BPMR.5R2.B1"           366.522                 1     143.715208251               0.0               0.0     0.10944056532               0.0     2.47208081903               0.0               0.0 0.000182682364782       174.5396444       2.584694135      0.9352754339                34
     "BPM.6R2.B1"           439.818                 1     40.4174104013               0.0               0.0   0.0143714562986               0.0    -1.62108199404               0.0               0.0 7.34763134126e-06       43.11908205      -1.941055619       1.212247596                42
   "BPM_A.7R2.B1"           452.693                 1     86.1463644851               0.0               0.0   0.0626415196749               0.0    -3.14103949561               0.0               0.0 2.65565350767e-05       111.4300463      -3.364650344       1.241982113                43
     "BPM.8R2.B1"       494.1300106                 1     44.9281897453               0.0               0.0   0.0248926486337               0.0    0.501148826006               0.0               0.0  0.00019589078523       40.18921261      0.6983333244       1.329086933                35
