@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_notcleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:53:14"
@ Q1 %le 0.309858442458
@ Q2 %le 0.31942165071
@ RMSbetabeat %le -1
@ DPP %le 0
@ BetaAlgorithmVersion %s "2017.3.2"
@ NumberOfBPMs %le 10
@ RangeOfBPMs %le 11
@ ErrorsFrom %s "Analytical Formula"
@ PhaseTheshold %le 0.01
@ RCond %le 1e-14
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds.liny"
*            NAME                 S             COUNT              BETY           SYSBETY          STATBETY           ERRBETY     CORR_ALFABETA              ALFY           SYSALFY          STATALFY           ERRALFY           BETYMDL           ALFYMDL            MUYMDL     NCOMBINATIONS
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1     35.5885181247               0.0               0.0   0.0109825600027               0.0    -0.89754534655               0.0               0.0 3.08968939201e-05       38.64523318     -0.9925421098      0.1162609817                43
   "BPMYB.4L2.B1"            48.858                 1     97.9500152597               0.0               0.0   0.0233740687833               0.0    -1.89836377209               0.0               0.0 6.52004074036e-05       101.2136214      -2.049187992      0.1696003151                41
   "BPMWI.4L2.B1"           73.3255                 1     104.421011769               0.0               0.0    0.013617891068               0.0    0.376500379161               0.0               0.0 0.000183663261861       104.8860506      0.3084022915      0.2045427787                35
   "BPMSX.4L2.B1"          123.4825                 1     104.698848053               0.0               0.0   0.0205792652826               0.0   -0.846708866274               0.0               0.0  6.6746843865e-05       100.2155855     -0.2152853768      0.2859021958                35
    "BPMS.2L2.B1"           161.394                 1     226.463014401               0.0               0.0    0.158543267982               0.0     13.0524323911               0.0               0.0  0.00994974824084       173.4189685       10.83799366      0.3294328583                40
   "BPMSW.1L2.B1"           171.328                 1     74.1560180253               0.0               0.0   0.0340849766874               0.0     3.19913178914               0.0               0.0 7.70693955548e-05       56.63204898       2.159395214      0.3473795232                33
   "BPMSW.1R2.B1"           214.518                 1      35.211091021               0.0               0.0    0.036545144387               0.0    -2.03729820669               0.0               0.0 0.000106352744991        56.6339459      -2.159439135      0.7093334983                33
    "BPMS.2R2.B1"           224.452                 1     43.7064958561               0.0               0.0   0.0427979301694               0.0     1.01062847598               0.0               0.0  0.00520935627986       63.40233304       1.298317853      0.7327587614                40
   "BPMSX.4R2.B1"          262.3635                 1      184.96317095               0.0               0.0    0.039027877514               0.0     2.26757768064               0.0               0.0 8.07043108791e-05       170.5322612        1.24211527      0.7831637028                33
   "BPMWB.4R2.B1"          312.5965                 1     88.4798098852               0.0               0.0   0.0084684380669               0.0    0.401051976539               0.0               0.0 8.38530545888e-05       83.36829239       0.493078106      0.8523756946                33
