@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_notcleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:53:14"
@ FILES %s ""
*            NAME                 S                S1                S2             X3000            X3000i            X3000r          X3000RMS        X3000PHASE     X3000PHASERMS            X3000M           X3000Mi           X3000Mr       X3000MPHASE
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288            48.858           73.3255    0.958410334664    0.211834471621    0.934706652498 1.48323969742e-08   0.0354704314327 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMYB.4L2.B1"            48.858           73.3255          123.4825      1.5239880841   -0.336842372077    -1.48629636911 1.48323969742e-08    0.535470431433 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMWI.4L2.B1"           73.3255          123.4825           161.394    0.970740029426   -0.242259995326    0.940024627015 1.48323969742e-08    0.959856651071 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSX.4L2.B1"          123.4825           161.394           171.328     1.67612356479     1.38038392217   -0.950752560809 1.48323969742e-08    0.345993048327 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPMS.2L2.B1"           161.394           171.328           214.518       1.244956958    -1.02529348355    0.706180642513 1.48323969742e-08    0.845993048327 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSW.1L2.B1"           171.328           214.518           224.452               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSW.1R2.B1"           214.518           224.452          262.3635               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPMS.2R2.B1"           224.452          262.3635          312.5965               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMSX.4R2.B1"          262.3635          312.5965           336.988    0.780880064988    0.234165158221   -0.744943188821 1.48323969742e-08    0.451527779854 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMWB.4R2.B1"          312.5965           336.988           366.522     4.32312517768    0.671243361963     4.27069592115 1.48323969742e-08   0.0248120682072 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPMYB.4R2.B1"           336.988           366.522           439.818     4.95512830541    -1.23237609915    -4.79943180734 1.48323969742e-08    0.540002845225 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPMR.5R2.B1"           366.522           439.818           452.693     2.80806574618    0.792017848652     2.69405659968 1.48323969742e-08    0.045507375195 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.6R2.B1"           439.818           452.693       494.1300106               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
   "BPM_A.7R2.B1"           452.693       494.1300106       533.1950212               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.8R2.B1"       494.1300106       533.1950212       573.6580318               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
     "BPM.9R2.B1"       533.1950212       573.6580318       625.4967424               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.10R2.B1"       573.6580318       625.4967424       680.2202583               0.0               0.0               0.0 1.48323969742e-08               0.0 1.48323969742e-08               0.0               0.0               0.0                 0
    "BPM.11R2.B1"       625.4967424       680.2202583       733.6687742    0.375128435733   0.0748667670741    -0.36758170586 1.48323969742e-08    0.468021703568 1.48323969742e-08               0.0               0.0               0.0                 0
