@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_notcleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:53:14"
@ CG %le nan
@ QG %le nan
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds"
*            NAME                 S             COUNT            F1001W            FWSTD1            F1001R            F1001I            F1010W            FWSTD2            F1010R            F1010I             Q1001          Q1001STD             Q1010          Q1010STD         MDLF1001R         MDLF1001I         MDLF1010R         MDLF1010I
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"            28.288                 1   0.0901606322345               0.0 -0.00830887791937  -0.0897769578045  0.00632942832767               0.0   0.0060536340614 -0.00184801991487    0.740740347394   0.0199659755597    0.945913348296    0.115252705989               0.0               0.0               0.0               0.0
   "BPMYB.4L2.B1"            48.858                 1   0.0719263298082               0.0 0.000259005307222  -0.0719258634702   0.0114830551718               0.0  0.00724954689743 -0.00890531447282    0.753685610155   0.0204072383734    0.851416432892    0.123620568332               0.0               0.0               0.0               0.0
   "BPMWI.4L2.B1"           73.3255                 1    0.150196323241               0.0  -0.0267978347722   -0.147786371383   0.0552901131737               0.0  -0.0550974419507 -0.00461177896771    0.720493540699   0.0219184893354    0.512274238813    0.217793341047               0.0               0.0               0.0               0.0
   "BPMSX.4L2.B1"          123.4825                 1    0.128613081043               0.0   0.0568353783104   -0.115373586179   0.0458725938724               0.0   0.0440695663004  -0.0127345276582    0.821670593787   0.0644574423839    0.954437851695   0.0635269174115               0.0               0.0               0.0               0.0
    "BPMS.2L2.B1"           161.394                 1    0.204385798115               0.0   -0.201558268036  -0.0338794784087    0.209273369138               0.0   -0.193051503692   0.0807865084815    0.521008414213    0.166402114538     0.43715310392    0.078136474682               0.0               0.0               0.0               0.0
   "BPMSW.1L2.B1"           171.328                 1    0.117692918727               0.0  -0.0257401466487   -0.114843667518   0.0335809848719               0.0  -0.0166007116118   0.0291907334431    0.714659245512    0.012380852522    0.333677625261    0.020351618423               0.0               0.0               0.0               0.0
   "BPMSW.1R2.B1"           214.518                 1     0.13742651805               0.0  -0.0781877521909   -0.113016473449   0.0688879978904               0.0  -0.0678824616263  -0.0117272186345    0.648066794274   0.0637422622869    0.528118633208  0.00760111106673               0.0               0.0               0.0               0.0
    "BPMS.2R2.B1"           224.452                 1    0.123905397841               0.0  -0.0112271482712   -0.123395699908   0.0591393138877               0.0  -0.0108688368774  -0.0581319777062    0.738795989034   0.0481894772313    0.721342882335    0.119609862286               0.0               0.0               0.0               0.0
   "BPMSX.4R2.B1"          262.3635                 1   0.0687897927968               0.0   0.0247519286912  -0.0641823777925   0.0402480763467               0.0  -0.0145255581773   0.0375355272942    0.802768365007   0.0339383459859    0.309615148872   0.0595049451511               0.0               0.0               0.0               0.0
   "BPMWB.4R2.B1"          312.5965                 1    0.118601342279               0.0  -0.0280647366953   -0.115233020201   0.0199483163648               0.0  -0.0199349795791 0.000729325011851    0.704340047698   0.0508383008297    0.496460044739   0.0350291939761               0.0               0.0               0.0               0.0
   "BPMYB.4R2.B1"           336.988                 1    0.144459803242               0.0 -0.00712420294336   -0.144284027131   0.0336843529121               0.0  -0.0231438457427  -0.0244744363642    0.743107319939    0.019308544985    0.632951270543    0.314653011375               0.0               0.0               0.0               0.0
    "BPMR.5R2.B1"           366.522                 1    0.103536665582               0.0  -0.0384986198354  -0.0961129408067   0.0347199338054               0.0    0.020137933217   0.0282831654734    0.688242963134  0.00070902768836    0.151788739959   0.0432168507526               0.0               0.0               0.0               0.0
     "BPM.6R2.B1"           439.818                 1    0.218248889019               0.0   0.0434802085335   -0.213873909171    0.121656947651               0.0    0.121557307859 -0.00492278557027    0.783582727898   0.0021286884552    0.992493593164    0.339516668125               0.0               0.0               0.0               0.0
   "BPM_A.7R2.B1"           452.693                 1   0.0945133666516               0.0   0.0536722902981  -0.0777949981038   0.0331045117455               0.0  -0.0116572339595  -0.0309841506955    0.847806203873   0.0322458671848    0.691820394817    0.038694679856               0.0               0.0               0.0               0.0
     "BPM.8R2.B1"       494.1300106                 1    0.105716622406               0.0   0.0628753169784  -0.0849864622617   0.0288637473243               0.0  -0.0282242802737  0.00604201230003    0.852417466675  0.00355707057213    0.468908344697   0.0410644911096               0.0               0.0               0.0               0.0
     "BPM.9R2.B1"       533.1950212                 1    0.102338424327               0.0   0.0266822419753  -0.0987988413741   0.0317704985877               0.0  0.00271081118428    0.031654637626    0.795188669662    0.016001561456     0.23891627368   0.0224346644255               0.0               0.0               0.0               0.0
    "BPM.10R2.B1"       573.6580318                 1    0.102356420423               0.0   -0.011370334635   -0.101722919208   0.0348355104075               0.0   0.0299406978789  -0.0178063863789    0.733540388501  0.00815097421894    0.916296840466   0.0049632174109               0.0               0.0               0.0               0.0
    "BPM.11R2.B1"       625.4967424                 1    0.109269238992               0.0   0.0419007906713   -0.100916254048   0.0190702539922               0.0 -0.00969828918492  -0.0164200418457    0.814067651439  0.00717379558504    0.672859026535   0.0374659850414               0.0               0.0               0.0               0.0
    "BPM.12R2.B1"       680.2202583                 1    0.104626817217               0.0    0.019949161214   -0.102707360242   0.0290163366655               0.0  -0.0264629919316   0.0119020103982    0.783709816447   0.0236156345381    0.434809574524   0.0965797749857               0.0               0.0               0.0               0.0
    "BPM.13R2.B1"       733.6687742                 1    0.101890042731               0.0   0.0393640135492  -0.0939790149184    0.027331645445               0.0    0.015293632195   0.0226522329366    0.815503177843  0.00589178481998    0.157516990099   0.0293929413162               0.0               0.0               0.0               0.0
    "BPM.14R2.B1"       787.1172901                 1    0.102284518019               0.0   0.0264042691684  -0.0988176967755   0.0283424878159               0.0   0.0259964176582  -0.0112908318798     0.79457498278   0.0175913130814    0.936988955911   0.0251239437252               0.0               0.0               0.0               0.0
    "BPM.15R2.B1"        840.565806                 1    0.101180671855               0.0   0.0346336323224  -0.0950686061182    0.027043949396               0.0  -0.0150871838301  -0.0224444220913    0.809243844101   0.0209883630261    0.658554286289  0.00876404157826               0.0               0.0               0.0               0.0
    "BPM.16R2.B1"       894.0143219                 1     0.10871926589               0.0   0.0233233108107   -0.106188049933   0.0234464436144               0.0  -0.0232255172272  0.00321108512673     0.78667521281   0.0217498434079     0.47982480304  0.00138607493645               0.0               0.0               0.0               0.0
    "BPM.17R2.B1"       947.4628378                 1    0.101708445668               0.0   0.0367583487731  -0.0948337055892   0.0316093281639               0.0  0.00621632821127   0.0309920456012    0.813381311623   0.0424612112738     0.22079805243  0.00412521257888               0.0               0.0               0.0               0.0
    "BPM.18R2.B1"       1000.911354                 1    0.104995422119               0.0  0.00857749859484   -0.104644470393    0.026760046244               0.0   0.0254997171683 -0.00811569462929    0.765965740695    0.019299305863    0.952952729195   0.0482071691513               0.0               0.0               0.0               0.0
