@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_notcleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:53:14"
@ CG %le nan
@ QG %le nan
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds"
*            NAME                 S             COUNT            F1001W            FWSTD1            F1001R            F1001I            F1010W            FWSTD2            F1010R            F1010I             Q1001          Q1001STD             Q1010          Q1010STD         MDLF1001R         MDLF1001I         MDLF1010R         MDLF1010I
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
   "BPMSX.4L2.B1"          123.4825                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     2.01461728522   0.0283520948295    0.956245779369   0.0516113815029               0.0               0.0               0.0               0.0
    "BPMS.2L2.B1"           161.394                 1               nan               0.0               nan               nan               nan               0.0               nan               nan    0.988735136585     0.13183406386     0.43208841503   0.0831358984065               0.0               0.0               0.0               0.0
   "BPMSW.1R2.B1"           214.518                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.22517390326   0.0703006697399    0.524811914835  0.00683971071448               0.0               0.0               0.0               0.0
   "BPMWB.4R2.B1"          312.5965                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.44613019407    0.122268236238    0.476009143586 0.000822639832013               0.0               0.0               0.0               0.0
    "BPMR.5R2.B1"           366.522                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.55715218645    0.111469539602    0.150828689252   0.0576036102771               0.0               0.0               0.0               0.0
     "BPM.8R2.B1"       494.1300106                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.82336696915   0.0742718765046    0.464150411525   0.0537516405066               0.0               0.0               0.0               0.0
     "BPM.9R2.B1"       533.1950212                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.66589953565   0.0184953187253    0.229213140073   0.0103221685261               0.0               0.0               0.0               0.0
    "BPM.10R2.B1"       573.6580318                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.52530993306  0.00141948158974     0.90813543613   0.0171761534234               0.0               0.0               0.0               0.0
    "BPM.11R2.B1"       625.4967424                 1               nan               0.0               nan               nan               nan               0.0               nan               nan     1.82262298041   0.0326135631001    0.650028981955  0.00784463700397               0.0               0.0               0.0               0.0
    "BPM.12R2.B1"       680.2202583                 1               nan               0.0               nan               nan               nan               0.0               nan               nan      1.6831426128   0.0514683144275    0.423227340513   0.0837849352762               0.0               0.0               0.0               0.0
